#id: 3740039012
#name: E.coli str. K-12 substr. MG1655 - Whole organism (Integrated)
#score: 23.3
#coverage: 91
#description: integrated dataset: weighted average of all E.coli str. K-12 substr. MG1655 WHOLE_ORGANISM: 23.3; Coverage: 91
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps:0.227;Ecoli_iBAQ_arike_2012:0.136;Escherichia_coli_SC_biomart_17112_E__2reps:0.079;Escherichia_coli_SC_biomart_18119_E__5reps:0.056;PXD014877_Mueller_Nature_2020_Escherichia_coli:0.054;Ecoli_Krug_2013:0.051;PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH:0.05;ecoli1_HCD_CID_PRIDE:0.047;Ecoli_emPAI_arike_2012:0.046;ecoli2_resolutionCombination_PRIDE:0.045;Escherichia_coli_SC_biomart_12189_E__2reps:0.044;WT-lewis-peptide_count:0.04;Ecoli_APEX_arike_2012:0.038;Ecoli_Krug_2013_emPAI:0.029;511145_GPM_201408:0.02;Taniguchi_2010_Table_S6:0.014;Lu_ecoli_2007:0.013;E_coli_Wisniewski_2014_cpc:0.007;Ecoli_strainK12_PRIDE:0.004;
#publication_year: 2026
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
uspA	511145.b3495	30087
rplL	511145.b3986	11544
tufA	511145.b3339	10692
tufB	511145.b3980	9197
gapA	511145.b1779	8977
hupB	511145.b0440	8903
hns	511145.b1237	8214
lpp	511145.b1677	8094
mdh	511145.b3236	7186
cspC	511145.b1823	7032
eno	511145.b2779	6953
aceA	511145.b4015	6677
rpsU	511145.b3065	6456
acpP	511145.b1094	6372
groL	511145.b4143	6197
pgk	511145.b2926	5981
rpsG	511145.b3341	5941
ompA	511145.b0957	5812
gatY	511145.b2096	5808
sodA	511145.b3908	5760
rplV	511145.b3315	5723
hupA	511145.b4000	5554
rplY	511145.b2185	5408
rpsE	511145.b3303	5375
rpsD	511145.b3296	5110
rpsM	511145.b3298	5009
livJ	511145.b3460	4945
rpsC	511145.b3314	4786
ahpC	511145.b0605	4777
rplI	511145.b4203	4654
dnaK	511145.b0014	4650
rplJ	511145.b3985	4464
rplB	511145.b3317	4457
hdeA	511145.b3510	4440
rpsT	511145.b0023	4422
rplF	511145.b3305	4413
gatB	511145.b2093	4398
rpmB	511145.b3637	4302
rplQ	511145.b3294	4295
groS	511145.b4142	4201
rpsJ	511145.b3321	4138
crr	511145.b2417	4137
fusA	511145.b3340	4112
rpsR	511145.b4202	4081
rplE	511145.b3308	4031
rpsF	511145.b4200	4020
gpmA	511145.b0755	4017
rplR	511145.b3304	4004
