uniprot,gene_name,bnum,cog_class
P0A8T7,rpoC,b3988,INFORMATION STORAGE AND PROCESSING
P0A8V2,rpoB,b3987,INFORMATION STORAGE AND PROCESSING
P36683,acnB,b0118,METABOLISM
P15254,purL,b2557,METABOLISM
P09831,gltB,b3212,METABOLISM
P0AFG8,aceE,b0114,METABOLISM
P0A9Q7,adhE,b1241,METABOLISM
P0CE47,tufA,b3339,INFORMATION STORAGE AND PROCESSING
P25665,metE,b3829,METABOLISM
P0A6F5,groL,b4143,CELLULAR PROCESSES AND SIGNALING
P00968,carB,b0033,METABOLISM
P09373,pflB,b0903,METABOLISM
P0A6Y8,dnaK,b0014,CELLULAR PROCESSES AND SIGNALING
P0A705,infB,b3168,INFORMATION STORAGE AND PROCESSING
P05793,ilvC,b3774,METABOLISM
P00864,ppc,b3956,METABOLISM
P00957,alaS,b2697,INFORMATION STORAGE AND PROCESSING
P0A6M8,fusA,b3340,INFORMATION STORAGE AND PROCESSING
P00961,glyS,b3559,INFORMATION STORAGE AND PROCESSING
P76558,maeB,b2463,METABOLISM
P0AG67,rpsA,b0911,INFORMATION STORAGE AND PROCESSING
P07813,leuS,b0642,INFORMATION STORAGE AND PROCESSING
P00561,thrA,b0002,METABOLISM
P0AFG3,sucA,b0726,METABOLISM
P00956,ileS,b0026,INFORMATION STORAGE AND PROCESSING
P25553,aldA,b1415,METABOLISM
P10408,secA,b0098,CELLULAR PROCESSES AND SIGNALING
P21889,aspS,b1866,INFORMATION STORAGE AND PROCESSING
P07395,pheT,b1713,INFORMATION STORAGE AND PROCESSING
P07118,valS,b4258,INFORMATION STORAGE AND PROCESSING
P23847,dppA,b3544,METABOLISM
P06959,aceF,b0115,METABOLISM
P13029,katG,b3942,METABOLISM
P0AES4,gyrA,b2231,INFORMATION STORAGE AND PROCESSING
P08200,icd,b1136,METABOLISM
P0ABB4,atpD,b3732,METABOLISM
P04825,pepN,b0932,METABOLISM
P0AD61,pykF,b1676,METABOLISM
P0A9G6,aceA,b4015,METABOLISM
P0AC33,fumA,b1612,METABOLISM
P09546,putA,b1014,METABOLISM
P21179,katE,b1732,METABOLISM
P0A6Z3,htpG,b0473,CELLULAR PROCESSES AND SIGNALING
P0A6P1,tsf,b0170,INFORMATION STORAGE AND PROCESSING
P08839,ptsI,b2416,METABOLISM
P0A6E4,argG,b3172,METABOLISM
P0A6F3,glpK,b3926,METABOLISM
P0A9M8,pta,b2297,POORLY CHARACTERIZED
P0A850,tig,b0436,CELLULAR PROCESSES AND SIGNALING
P0A940,bamA,b0177,CELLULAR PROCESSES AND SIGNALING
P05055,pnp,b3164,INFORMATION STORAGE AND PROCESSING
P0A6T1,pgi,b4025,METABOLISM
P0AC41,sdhA,b0723,METABOLISM
P0A9M0,lon,b0439,CELLULAR PROCESSES AND SIGNALING
P27550,acs,b4069,METABOLISM
P23538,ppsA,b1702,METABOLISM
P04079,guaA,b2507,METABOLISM
P22523,mukB,b0924,CELLULAR PROCESSES AND SIGNALING
P0A9W3,yjjK,b4391,POORLY CHARACTERIZED
P0AES6,gyrB,b3699,INFORMATION STORAGE AND PROCESSING
P21513,rne,b1084,INFORMATION STORAGE AND PROCESSING
P0A8M3,thrS,b1719,INFORMATION STORAGE AND PROCESSING
P0A799,pgk,b2926,METABOLISM
P00370,gdhA,b1761,METABOLISM
P0A825,glyA,b2551,METABOLISM
P23843,oppA,b1243,METABOLISM
P0A9A6,ftsZ,b0095,CELLULAR PROCESSES AND SIGNALING
P08997,aceB,b4014,METABOLISM
P33602,nuoG,b2283,METABOLISM
P17846,cysI,b2763,METABOLISM
P00582,polA,b3863,INFORMATION STORAGE AND PROCESSING
P0A9B2,gapA,b1779,METABOLISM
P15639,purH,b4006,METABOLISM
P0A853,tnaA,b3708,METABOLISM
P25516,acnA,b1276,METABOLISM
P33599,nuoC,b2286,METABOLISM
P0A9C5,glnA,b3870,METABOLISM
P09151,leuA,b0074,METABOLISM
P37685,aldB,b3588,METABOLISM
P06149,dld,b2133,METABOLISM
P37330,glcB,b2976,METABOLISM
P0ABH7,gltA,b0720,METABOLISM
P35340,ahpF,b0606,CELLULAR PROCESSES AND SIGNALING
P0A910,ompA,b0957,CELLULAR PROCESSES AND SIGNALING
P17169,glmS,b3729,CELLULAR PROCESSES AND SIGNALING
P16659,proS,b0194,INFORMATION STORAGE AND PROCESSING
P60422,rplB,b3317,INFORMATION STORAGE AND PROCESSING
P00452,nrdA,b2234,METABOLISM
P27298,prlC,b3498,METABOLISM
P0A6B7,iscS,b2530,METABOLISM
P13035,glpD,b3426,METABOLISM
P0ABB0,atpA,b3734,METABOLISM
P38038,cysJ,b2764,METABOLISM
P0AAI3,ftsH,b3178,CELLULAR PROCESSES AND SIGNALING
P0AG30,rho,b3783,INFORMATION STORAGE AND PROCESSING
P0A817,metK,b2942,METABOLISM
P0ADG7,guaB,b2508,METABOLISM
Q59385,copA,b0484,METABOLISM
P0AFF6,nusA,b3169,INFORMATION STORAGE AND PROCESSING
P0A7Z4,rpoA,b3295,INFORMATION STORAGE AND PROCESSING
P0A8N3,lysS,b2890,INFORMATION STORAGE AND PROCESSING
P00959,metG,b2114,INFORMATION STORAGE AND PROCESSING
P00350,gnd,b2029,METABOLISM
P0AEE5,mglB,b2150,METABOLISM
P0AD96,livJ,b3460,METABOLISM
P13009,metH,b4019,METABOLISM
P61889,mdh,b3236,METABOLISM
P32132,typA,b3871,CELLULAR PROCESSES AND SIGNALING
P77804,ydgA,b1614,POORLY CHARACTERIZED
P06971,fhuA,b0150,METABOLISM
P0ADY1,ppiD,b0441,CELLULAR PROCESSES AND SIGNALING
P30850,rnb,b1286,INFORMATION STORAGE AND PROCESSING
P00962,glnS,b0680,INFORMATION STORAGE AND PROCESSING
P0AB71,fbaA,b2925,METABOLISM
P0ABK5,cysK,b2414,METABOLISM
P0ACY3,yeaG,b1783,CELLULAR PROCESSES AND SIGNALING
P23845,cysN,b2751,METABOLISM
P23865,prc,b1830,CELLULAR PROCESSES AND SIGNALING
P21177,fadB,b3846,METABOLISM
P36938,pgm,b0688,METABOLISM
P0A870,talB,b0008,METABOLISM
P68767,pepA,b4260,METABOLISM
P00934,thrC,b0004,METABOLISM
P0A9P0,lpdA,,
P75691,yahK,b0325,POORLY CHARACTERIZED
P0ABZ6,surA,b0053,CELLULAR PROCESSES AND SIGNALING
P21499,rnr,b4179,INFORMATION STORAGE AND PROCESSING
