uniprot,gene_name,medianRatio_50 mM NaCl_vs_glucose,medianRatio_pH 6_vs_glucose,medianRatio_42°C_vs_glucose,medianRatio_anaerobic_vs_glucose,medianRatio_stationary 1 day_vs_glucose,medianRatio_stationary 3 days_vs_glucose,medianRatio_chemostat µ=0.12_vs_glucose,medianRatio_chemostat µ=0.5_vs_glucose,medianRatio_galactose_vs_glucose,medianRatio_acetate_vs_glucose,medianRatio_glycerol_vs_glucose,medianRatio_LB_vs_glucose,medianRatio_glucosamine_vs_glucose,medianRatio_fumarate_vs_glucose,medianRatio_succinate_vs_glucose,medianRatio_pyruvate_vs_glucose,medianRatio_chemostat µ=0.20_vs_glucose,medianRatio_chemostat µ=0.35_vs_glucose
P0A8V2,rpoB,0.945892447,0.754254215,0.94654164,0.365634257,0.059328032,0.080970057,0.119216197,0.352975303,0.300835142,0.256545114,0.610110489,1.471290541,0.676856629,0.502524867,0.519470906,0.435244593,0.161959536,0.229274846
P0AFG8,aceE,1.181652949,1.080002854,1.100943789,0.297111848,0.106128063,0.147930028,0.169355029,0.379111475,0.364044383,0.273114405,0.682478956,2.478610292,1.45138519,0.713808734,0.780957095,1.809039437,0.200224679,0.249263963
P36683,acnB,1.047720494,0.940270263,0.937841407,0.503110167,0.139756798,0.126771589,0.795415873,1.373001316,1.259337785,1.903465766,1.192136596,0.882375005,0.995395925,1.978389754,2.288759791,1.828596183,1.072178862,1.390829808
P0A6F5,groL,0.988082416,0.930278471,1.173438824,1.188695282,0.203600121,0.350075973,0.84208469,1.094969019,0.89535377,1.112497558,1.192255935,1.518462909,1.160767048,1.327102555,1.341384082,1.112006391,0.877114797,1.046358071
P0A6Y8,dnaK,0.966639727,0.859976839,1.063009471,0.909519756,0.413725839,0.83740311,0.802697753,0.816800235,0.680109518,0.824069259,0.865069652,1.664139811,1.135114886,0.89355215,1.006314108,0.860431809,0.703911947,0.686453723
P05793,ilvC,0.907208762,0.673674063,0.955467016,0.45782681,0.085516552,0.086843072,0.159300303,0.490833252,0.325017648,0.447223901,0.814460893,0.049503098,0.634344528,0.53348697,0.600479666,0.391788898,0.198295005,0.320833146
P23847,dppA,1.082287673,1.366417836,1.171140634,1.684491569,0.68385473,0.864827769,5.083097704,2.424952623,2.546013087,2.66100476,2.246611595,0.226724868,1.547651639,2.626556315,2.313306471,2.792970445,4.686943927,3.055252193
P25665,metE,0.98181601,0.36227257,0.68057531,0.304201826,0.030879383,0.026841417,0.03463714,0.19967105,0.124707848,0.107017336,0.345938565,0.081555499,0.495388115,0.367245856,0.370910418,0.132661177,0.048476718,0.088207542
P0A8T7,rpoC,0.970883817,0.67822074,0.802842146,0.276107817,0.077456599,0.131353419,0.112571923,0.248662984,0.180493875,0.18401507,0.419868321,3.181087705,0.551602183,0.370508244,0.385715163,0.251384477,0.132313994,0.194290475
P00968,carB,0.997243131,0.531426103,0.734210511,0.202856758,0.071967838,0.070590514,0.044957496,0.206882961,0.124952902,0.113412349,0.345043904,0.058957461,0.5085754,0.25576005,0.379437467,0.265511819,0.06138639,0.113102909
P0AG67,rpsA,0.953617651,0.952823351,0.89080511,0.890140544,0.147015304,0.199643446,0.344857025,0.708741751,0.598096382,0.566740135,0.745452122,1.666333809,0.887414966,0.777274804,0.760670125,0.626746005,0.370099689,0.470347588
P0A9Q7,adhE,1.136124426,0.724265049,0.972508092,0.6443642,0.208709158,0.287486585,0.182559651,0.406729426,0.484135817,0.304024858,0.696098004,0.659863614,0.535217345,0.360439964,0.340667613,0.332903107,0.181131256,0.212410019
P0A6M8,fusA,1.024220214,0.799111981,1.027867823,0.69701847,0.096035103,0.156331801,0.275887812,0.622016119,0.447501537,0.458381711,0.712196965,1.436579853,0.811365222,0.72916072,0.804459734,0.750882707,0.314870091,0.379127768
P00957,alaS,0.95232653,0.900160474,1.031075499,0.91613937,0.089096527,0.153791671,0.217666057,0.440586187,0.370359471,0.294418739,0.65749526,0.966592788,0.704911454,0.657915836,0.554903518,0.39667175,0.273738596,0.284032587
P08839,ptsI,0.98058178,0.837866522,0.987556633,0.475572326,0.111135748,0.139140354,0.194154726,0.493147028,0.430922734,0.29043098,0.527294712,0.960847906,0.466547599,0.361300476,0.321722794,0.278232195,0.217507954,0.291316666
P0ABB4,atpD,0.984208934,0.923628498,0.985337923,0.995435321,0.144498724,0.246825906,0.542447586,1.153846985,0.989677236,1.086922674,1.320341755,1.111254187,1.25434205,1.386659569,1.401188859,1.605701102,0.691243559,0.887725184
P23843,oppA,1.234532518,1.553275733,1.051956191,1.877082607,1.115391748,0.921520588,2.357749818,1.682681305,1.472652119,1.094798624,1.354194044,0.619086071,1.459505642,1.070413817,1.267245507,1.794100862,2.076364133,1.503103934
P0A6B7,iscS,0.993469958,0.900226942,1.008034608,0.542402297,0.051988154,0.061620238,0.340260864,0.61364433,0.76759312,0.685481032,0.904485519,0.678198265,0.863816555,0.621114519,0.649392347,0.596197736,0.378171331,0.438438815
P08200,icd,1.073843816,1.215512397,1.059319563,1.000265553,0.132195305,0.167416464,0.624957851,1.17198987,1.016247015,1.080084233,0.949283026,0.331411111,1.035432657,1.257923382,1.348188109,1.409078354,0.923847301,1.125804935
P0A850,tig,0.977907615,0.886720899,1.005811596,1.110341677,0.109875439,0.196756918,0.43587398,0.875106192,0.6309196,0.653747546,0.804826664,1.759932656,0.916098979,0.770251252,0.81292473,0.764638046,0.515128009,0.69380793
P0CE47,tufA,1.013850403,0.872999333,1.038736493,0.887032617,0.102393691,0.279199477,0.509771637,0.7667715,0.619747823,0.630906512,0.8183835,1.302349432,0.986543431,0.936299369,0.920649313,0.926911565,0.563424361,0.755349339
P06959,aceF,1.042095284,0.935497065,1.160833255,0.285409576,0.068617547,0.117177456,0.380807361,0.444697943,0.467187097,0.319588831,0.550794106,2.163162796,1.346479007,0.525266344,0.72835598,2.582517666,0.323629501,0.366196611
P05055,pnp,1.029816188,0.962671105,1.004481848,0.90693886,0.121862145,0.174060674,0.545323169,0.801346861,0.872083666,0.797063796,0.945088375,1.173127277,1.001393703,1.034065017,0.95910753,0.848727417,0.558388717,0.544310895
P09373,pflB,1.183011244,0.819595955,1.107319402,0.479879658,0.158131247,0.222772321,0.087397297,0.189682569,0.448473346,0.351668065,1.112279344,0.843235617,0.721567673,0.742145791,0.457180786,0.450645597,0.113782959,0.116908146
P00961,glyS,0.996919293,0.910860971,1.07523199,0.401923752,0.084703274,0.10476319,0.206947773,0.436773688,0.558840024,0.471097253,0.961286353,1.694567817,0.973108023,0.875642462,0.703773477,0.553641929,0.211832339,0.224148641
