metabolite_id,n_prod_iJO1366,verdict_iJO1366,n_prod_iAF1260,verdict_iAF1260,n_prod_iMM904,verdict_iMM904,cross_organism_agreement
12dgr141_c,,MISSING,2,HOMEOSTATIC,,MISSING,PARTIAL
12dgr180_c,,MISSING,2,HOMEOSTATIC,,MISSING,PARTIAL
14glun_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
25drapp_c,1,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
2agpe141_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
2agpe160_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
2ahbut_c,1,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
2amsa_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
2dda7p_c,1,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
2mahmp_c,1,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
2mcacn_c,1,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
2ombzl_c,,MISSING,2,HOMEOSTATIC,,MISSING,PARTIAL
3c3hmp_c,,MISSING,,MISSING,2,HOMEOSTATIC,PARTIAL
3dhq_c,,MISSING,,MISSING,1,AUTOPOIETIC,PARTIAL
3dhsk_c,,MISSING,,MISSING,1,AUTOPOIETIC,PARTIAL
3hhexACP_c,1,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
3psme_c,,MISSING,,MISSING,1,AUTOPOIETIC,PARTIAL
44mzym_c,,MISSING,,MISSING,1,AUTOPOIETIC,PARTIAL
4aabutn_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
5caiz_c,,MISSING,2,AUTOPOIETIC,,MISSING,PARTIAL
NPmehis_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
Nfortyr_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
Sfglutth_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
acald_c,,MISSING,8,HOMEOSTATIC,7,AUTOPOIETIC,DISAGREE
accoa_c,8,AUTOPOIETIC,12,AUTOPOIETIC,2,AUTOPOIETIC,AGREE
actACP_c,2,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
akg_c,9,AUTOPOIETIC,10,AUTOPOIETIC,12,AUTOPOIETIC,AGREE
ametam_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
aso3_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
cdpdag_SC_c,,MISSING,,MISSING,1,AUTOPOIETIC,PARTIAL
cdpdtdec7eg_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
chol_c,3,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
cit_c,3,AUTOPOIETIC,3,AUTOPOIETIC,2,HOMEOSTATIC,DISAGREE
cmaphis_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
coa_c,,MISSING,,MISSING,52,AUTOPOIETIC,PARTIAL
cpgn_un_c,,MISSING,3,HOMEOSTATIC,,MISSING,PARTIAL
cpmp_c,1,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
ctp_c,,MISSING,,MISSING,3,AUTOPOIETIC,PARTIAL
cysi__L_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
db4p_c,,MISSING,,MISSING,1,AUTOPOIETIC,PARTIAL
dcmp_c,,MISSING,,MISSING,0,HOMEOSTATIC,PARTIAL
dhmpt_c,1,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
dhna_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
dhpt_c,,MISSING,,MISSING,0,HOMEOSTATIC,PARTIAL
dttp_c,,MISSING,1,AUTOPOIETIC,,MISSING,PARTIAL
dudp_c,,MISSING,3,HOMEOSTATIC,,MISSING,PARTIAL
dutp_c,3,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
e4p_c,,MISSING,,MISSING,2,AUTOPOIETIC,PARTIAL
eig3p_c,1,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
ergstest_SC_c,,MISSING,,MISSING,1,HOMEOSTATIC,PARTIAL
ethamp_c,,MISSING,,MISSING,3,HOMEOSTATIC,PARTIAL
f6p_c,,MISSING,,MISSING,9,AUTOPOIETIC,PARTIAL
fdp_c,2,HOMEOSTATIC,2,AUTOPOIETIC,2,HOMEOSTATIC,DISAGREE
feoxam_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
fru_c,,MISSING,3,HOMEOSTATIC,,MISSING,PARTIAL
frulys_c,2,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
g6p_c,8,AUTOPOIETIC,8,AUTOPOIETIC,2,HOMEOSTATIC,DISAGREE
gal_c,,MISSING,4,HOMEOSTATIC,,MISSING,PARTIAL
gly_c,,MISSING,,MISSING,5,AUTOPOIETIC,PARTIAL
grdp_c,1,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
gua_c,,MISSING,,MISSING,4,HOMEOSTATIC,PARTIAL
h2mb4p_c,1,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
hcys__L_c,,MISSING,2,AUTOPOIETIC,,MISSING,PARTIAL
hmbil_c,1,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
hmgth_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
hx2coa_c,2,AUTOPOIETIC,,MISSING,,MISSING,PARTIAL
ichor_c,2,HOMEOSTATIC,,MISSING,,MISSING,PARTIAL
imp_c,,MISSING,,MISSING,4,HOMEOSTATIC,PARTIAL
ipdp_c,,MISSING,1,HOMEOSTATIC,,MISSING,PARTIAL
