metabolite_id,metabolite_name,n_producing_reactions,n_consuming_reactions,baseline_prod_flux,knockout_prod_flux,knockout_biomass,recovery_prod_flux,recovery_biomass,knockout_success,recover_success,causally_internal,verdict
g6p_c,D-Glucose 6-phosphate,8,4,10.0,0.0,0.9720026781193436,10.0,0.9823718127269794,True,True,True,AUTOPOIETIC
fdp_c,"D-Fructose 1,6-bisphosphate",2,2,7.784185977729024,0.0,0.982371812726979,0.0,0.9823718127269683,True,False,False,HOMEOSTATIC
pep_c,Phosphoenolpyruvate,3,25,14.586890401186675,0.0,0.0,14.586890401186714,0.9823718127269695,True,True,True,AUTOPOIETIC
pyr_c,Pyruvate,53,9,11.488992678213927,1.529733292758233e-15,8.741343091582053e-16,11.073290257196778,0.982371812726968,True,True,True,AUTOPOIETIC
accoa_c,Acetyl-CoA,8,29,8.648330979147373,0.0,0.9237631009708376,8.076024737976239,0.9823718127269772,True,True,True,AUTOPOIETIC
cit_c,Citrate,3,3,4.857776644226246,0.0,-5.709402798333801e-16,4.857776644226297,0.9823718127270252,True,True,True,AUTOPOIETIC
akg_c,2-Oxoglutarate,9,15,7.081536842497028,1.2943536087861844e-15,3.298153977867259e-15,7.081536842496003,0.9823718127261346,True,True,True,AUTOPOIETIC
succ_c,Succinate,16,10,0.841228560161604,1.692073922958425e-16,1.0993846592890863e-15,0.5162648763706023,0.9823718127269898,True,True,True,AUTOPOIETIC
mal__L_c,L-Malate,5,7,4.8266560875710205,0.0,0.9027010942063041,4.826656087570869,0.9823718127269825,True,True,True,AUTOPOIETIC
oaa_c,Oxaloacetate,9,4,7.733845970539087,1.386390070935395e-13,4.0693670011659405e-14,7.733845970538978,0.982371812726992,True,True,True,AUTOPOIETIC
25drapp_c,"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate",1,1,0.00043813782847619955,0.0,4.0712610923698926e-16,0.00043813782847626503,0.9823718127269765,True,True,True,AUTOPOIETIC
2ahbut_c,(S)-2-Aceto-2-hydroxybutanoate,1,1,0.2854075003797518,0.0,-3.9320237258458943e-16,0.28540750037975726,0.9823718127269818,True,True,True,AUTOPOIETIC
h2mb4p_c,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate,1,2,0.002346886260604775,0.0,4.0712610923698926e-16,0.002346886260604786,0.9823718127269845,True,True,True,AUTOPOIETIC
skm_c,Shikimate,2,1,0.3744005628946882,0.0,-1.4207141072011205e-15,0.37440056289469337,0.9823718127269784,True,True,True,AUTOPOIETIC
man6pglyc_c,2(alpha-D-Mannosyl-6-phosphate)-D-glycerate,1,1,0.0,0.0,0.9823718127269956,0.0,0.9823718127269956,False,False,False,HOMEOSTATIC
xmp_c,Xanthosine 5'-phosphate,3,2,0.23941972871056513,0.0,-1.1044936877160164e-15,0.2394197287105673,0.9823718127269746,True,True,True,AUTOPOIETIC
2dda7p_c,2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate,1,1,0.3744005628946882,0.0,1.0984500366863341e-16,0.3744005628946922,0.9823718127269755,True,True,True,AUTOPOIETIC
uagmda_c,"Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine",1,1,0.027298147932056864,0.0,-1.254008636558287e-15,0.027298147932057384,0.9823718127269822,True,True,True,AUTOPOIETIC
dhmpt_c,Dihydromonapterin,1,1,0.0,0.0,0.9823718127269953,0.0,0.9823718127269953,False,False,False,HOMEOSTATIC
hx2coa_c,Trans-Hex-2-enoyl-CoA,2,0,0.3496064807132715,0.0,0.9720365831046043,0.34960648071327727,0.9823718127269799,True,True,True,AUTOPOIETIC
sufse_c,SufSE sulfur acceptor complex,3,1,0.0,0.0,0.9823718127269759,0.0,0.9823718127269759,False,False,False,HOMEOSTATIC
ppgpp_c,"Guanosine 3',5'-bis(diphosphate)",2,1,0.0,0.0,0.9823718127269759,0.0,0.9823718127269759,False,False,False,HOMEOSTATIC
tdec2eACP_c,Trans-Dec-2-enoyl-[acyl-carrier protein],1,3,0.0,0.0,0.9823718127269759,0.0,0.9823718127269759,False,False,False,HOMEOSTATIC
ttdcap_c,Tetradecanoyl-phosphate (n-C14:0),1,2,0.0,0.0,0.9823718127269759,0.0,0.9823718127269759,False,False,False,HOMEOSTATIC
2mcacn_c,Cis-2-Methylaconitate,1,1,0.0,0.0,0.9823718127269759,0.0,0.9823718127269759,False,False,False,HOMEOSTATIC
2mahmp_c,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,1,2,0.00021906891423811284,0.0,2.0393259599619117e-16,0.00021906891423811522,0.9823718127269742,True,True,True,AUTOPOIETIC
pgp120_c,"Phosphatidylglycerophosphate (didodecanoyl, n-C12:0)",1,2,0.0,0.0,0.982371812726988,0.0,0.982371812726988,False,False,False,HOMEOSTATIC
grdp_c,Geranyl diphosphate,1,1,0.00027309936393810124,0.0,7.806338105282323e-16,0.0002730993639381027,0.9823718127269816,True,True,True,AUTOPOIETIC
ocdcaACP_c,Octadecanoyl-ACP (n-C18:0ACP),3,3,0.0,0.0,0.982371812726988,0.0,0.982371812726988,False,False,False,HOMEOSTATIC
rml1p_c,L-Rhamnulose 1-phosphate,1,1,0.0,0.0,0.982371812726988,0.0,0.982371812726988,False,False,False,HOMEOSTATIC
thmmp_c,Thiamin monophosphate,3,1,0.00021906891423811284,0.0,-1.1395838726543394e-16,0.00021906891423811885,0.9823718127269905,True,True,True,AUTOPOIETIC
thf_c,"5,6,7,8-Tetrahydrofolate",8,5,1.1496775914090116,4.725840847645509e-15,2.5999014400866514e-14,1.1496775914090844,0.9823718127269597,True,True,True,AUTOPOIETIC
kdo2lipid4p_c,KDO(2)-lipid IV(A) with palmitoleoyl,1,1,0.0,0.0,0.982371812726988,0.0,0.982371812726988,False,False,False,HOMEOSTATIC
pimACP_c,Pimeloyl-[acyl-carrier protein],1,1,1.964743625453926e-06,0.0,6.619234413834729e-16,1.964743625453946e-06,0.9823718127269734,True,True,True,AUTOPOIETIC
pa120_c,"1,2-didodecanoyl-sn-glycerol 3-phosphate",3,3,0.0,0.0,0.9823718127269819,0.0,0.9823718127269819,False,False,False,HOMEOSTATIC
pa180_c,"1,2-dioctadecanoyl-sn-glycerol 3-phosphate",3,3,0.0,0.0,0.9823718127269819,0.0,0.9823718127269819,False,False,False,HOMEOSTATIC
actACP_c,Acetoacetyl-ACP,2,1,0.0,0.0,0.9823718127269819,0.0,0.9823718127269819,False,False,False,HOMEOSTATIC
dutp_c,DUTP C9H11N2O14P3,3,1,0.025704740851813724,0.0,0.9822652099291402,0.025704740851814074,0.9823718127269773,True,True,True,AUTOPOIETIC
3hhexACP_c,(R)-3-Hydroxyhexanoyl-[acyl-carrier protein],1,1,0.0,0.0,0.9823718127269827,0.0,0.9823718127269827,False,False,False,HOMEOSTATIC
frulys_c,Fructoselysine,2,1,0.0,0.0,0.9823718127269827,0.0,0.9823718127269827,False,False,False,HOMEOSTATIC
ichor_c,Isochorismate,2,2,0.0,0.0,0.9823718127269827,0.0,0.9823718127269827,False,False,False,HOMEOSTATIC
thm_c,Thiamin,1,1,0.0,0.0,0.9823718127269827,0.0,0.9823718127269827,False,False,False,HOMEOSTATIC
eig3p_c,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate,1,1,0.09306794079412707,0.0,1.0993846592890863e-15,0.09306794079412929,0.9823718127269869,True,True,True,AUTOPOIETIC
cpmp_c,Cyclic pyranopterin monophosphate,1,1,0.0002396987223053791,0.0,0.0,0.0002396987223053842,0.9823718127269843,True,True,True,AUTOPOIETIC
hmbil_c,Hydroxymethylbilane,1,1,0.0004381378284762256,0.0,0.0,0.0004381378284762302,0.9823718127269735,True,True,True,AUTOPOIETIC
unagamu_c,Undecaprenyl-diphospho-N-acetylglucosamine-N-acetylmannosaminuronate,1,1,0.0,0.0,0.9823718127269827,0.0,0.9823718127269827,False,False,False,HOMEOSTATIC
chol_c,Choline C5H14NO,3,1,0.0,0.0,0.9823718127269827,0.0,0.9823718127269827,False,False,False,HOMEOSTATIC
lys__L_c,L-Lysine,5,5,0.33711169362719745,0.0,0.0,0.33711169362720306,0.9823718127269796,True,True,True,AUTOPOIETIC
ribflv_c,Riboflavin C17H20N4O6,7,5,0.0004381378284761996,0.0,1.0993846592890863e-15,0.0004381378284762677,0.9823718127269824,True,True,True,AUTOPOIETIC
rib__D_c,D-Ribose,7,1,0.0,0.0,0.9823718127269827,0.0,0.9823718127269827,False,False,False,HOMEOSTATIC
