metabolite_id,n_prod_bare,baseline_prod_bare,knockout_prod_bare,recovery_prod_bare,verdict_bare,n_prod_overlay,baseline_prod_overlay,knockout_prod_overlay,recovery_prod_overlay,verdict_overlay,flipped
g6p_c,8,10.0,0.0,10.0,AUTOPOIETIC,8,10.000000000000002,0.0,10.0,AUTOPOIETIC,
fdp_c,2,7.784185977729024,0.0,0.0,HOMEOSTATIC,2,7.784932952938389,1.3405625465406617e-15,0.0,HOMEOSTATIC,
pep_c,3,14.586890401186675,0.0,14.586890401186714,AUTOPOIETIC,3,14.589062810020202,0.0,14.589062810020266,AUTOPOIETIC,
pyr_c,53,11.488992678213927,1.529733292758233e-15,11.07329025719678,AUTOPOIETIC,54,11.07510715975091,0.0,11.075107159751001,AUTOPOIETIC,
accoa_c,8,8.648330979147373,0.0,8.076024737976239,AUTOPOIETIC,9,8.650077889834154,0.0,8.07875354084086,AUTOPOIETIC,
cit_c,3,4.857776644226246,0.0,4.857776644226297,AUTOPOIETIC,3,4.859095412730041,0.0,4.859095412730145,AUTOPOIETIC,
akg_c,9,7.081536842497028,1.2943536087861844e-15,7.081536842496003,AUTOPOIETIC,11,7.0817408458853395,0.0,7.081740845885343,AUTOPOIETIC,
succ_c,16,0.8412285601616041,1.692073922958425e-16,0.5162648763706023,AUTOPOIETIC,16,0.8414491865272361,0.0,0.5164002755341164,AUTOPOIETIC,
mal__L_c,5,4.8266560875710205,0.0,4.826656087570869,AUTOPOIETIC,5,4.826834705050635,0.0,4.826834705050693,AUTOPOIETIC,
oaa_c,9,7.733845970539087,1.386390070935395e-13,7.733845970538978,AUTOPOIETIC,10,8.305478583178727,0.0,7.734221052991787,AUTOPOIETIC,
25drapp_c,1,0.00043813782847619955,0.0,0.00043813782847626503,AUTOPOIETIC,1,0.00043825273750489687,0.0,0.0004382527375048519,AUTOPOIETIC,
2ahbut_c,1,0.2854075003797518,0.0,0.28540750037975726,AUTOPOIETIC,1,0.2854823533061917,0.0,0.28548235330619315,AUTOPOIETIC,
h2mb4p_c,1,0.002346886260604775,0.0,0.002346886260604786,AUTOPOIETIC,1,0.0023475017710744813,0.0,0.0023475017710744843,AUTOPOIETIC,
skm_c,2,0.3744005628946882,0.0,0.37440056289469337,AUTOPOIETIC,2,0.3744987557514139,0.0,0.37449875575141545,AUTOPOIETIC,
man6pglyc_c,1,0.0,0.0,0.0,HOMEOSTATIC,1,0.0,0.0,0.0,HOMEOSTATIC,
xmp_c,3,0.23941972871056513,0.0,0.2394197287105673,AUTOPOIETIC,3,0.2394825205689345,0.0,0.2394825205689353,AUTOPOIETIC,
2dda7p_c,1,0.3744005628946882,0.0,0.3744005628946922,AUTOPOIETIC,1,0.3744987557514139,0.0,0.37449875575141256,AUTOPOIETIC,
uagmda_c,1,0.027298147932056864,0.0,0.027298147932057384,AUTOPOIETIC,1,0.027305307331359212,0.0,0.027305307331359267,AUTOPOIETIC,
dhmpt_c,1,0.0,0.0,0.0,HOMEOSTATIC,1,0.0,0.0,0.0,HOMEOSTATIC,
hx2coa_c,2,0.3496064807132715,0.0,0.34960648071327727,AUTOPOIETIC,2,0.3496981709041351,0.0,0.3496981709041391,AUTOPOIETIC,
sufse_c,3,0.0,0.0,0.0,HOMEOSTATIC,3,0.0,0.0,0.0,HOMEOSTATIC,
ppgpp_c,2,0.0,0.0,0.0,HOMEOSTATIC,2,0.0,0.0,0.0,HOMEOSTATIC,
tdec2eACP_c,1,0.0,0.0,0.0,HOMEOSTATIC,1,0.0,0.0,0.0,HOMEOSTATIC,
ttdcap_c,1,0.0,0.0,0.0,HOMEOSTATIC,1,0.0,0.0,0.0,HOMEOSTATIC,
2mcacn_c,1,0.0,0.0,0.0,HOMEOSTATIC,1,0.0,0.0,0.0,HOMEOSTATIC,
2mahmp_c,1,0.00021906891423811284,0.0,0.00021906891423811522,AUTOPOIETIC,1,0.00021912636875245074,0.0,0.00021912636875245285,AUTOPOIETIC,
pgp120_c,1,0.0,0.0,0.0,HOMEOSTATIC,1,0.0,0.0,0.0,HOMEOSTATIC,
grdp_c,1,0.00027309936393810124,0.0,0.0002730993639381027,AUTOPOIETIC,1,0.00027317098884834857,0.0,0.0002731709888483554,AUTOPOIETIC,
ocdcaACP_c,3,0.0,0.0,0.0,HOMEOSTATIC,3,0.0,0.0,0.0,HOMEOSTATIC,
rml1p_c,1,0.0,0.0,0.0,HOMEOSTATIC,1,0.0,0.0,0.0,HOMEOSTATIC,
thmmp_c,3,0.00021906891423811284,0.0,0.00021906891423811885,AUTOPOIETIC,3,0.00021912636875245074,0.0,0.00021912636875245364,AUTOPOIETIC,
thf_c,8,1.1496775914090116,4.725840847645509e-15,1.1496775914090844,AUTOPOIETIC,8,1.1482811300302431,2.766008449633357e-14,1.1482811300301834,AUTOPOIETIC,
kdo2lipid4p_c,1,0.0,0.0,0.0,HOMEOSTATIC,1,0.0,0.0,0.0,HOMEOSTATIC,
pimACP_c,1,1.964743625453926e-06,0.0,1.964743625453946e-06,AUTOPOIETIC,1,1.9652589126742976e-06,0.0,1.9652589126035064e-06,AUTOPOIETIC,
pa120_c,3,0.0,0.0,0.0,HOMEOSTATIC,3,0.0,0.0,0.0,HOMEOSTATIC,
pa180_c,3,0.0,0.0,0.0,HOMEOSTATIC,3,0.0,0.0,0.0,HOMEOSTATIC,
actACP_c,2,0.0,0.0,0.0,HOMEOSTATIC,2,0.0,0.0,0.0,HOMEOSTATIC,
dutp_c,3,0.025704740851813724,0.0,0.025704740851814074,AUTOPOIETIC,3,0.025711482353258416,0.0,0.025711482353258458,AUTOPOIETIC,
3hhexACP_c,1,0.0,0.0,0.0,HOMEOSTATIC,1,0.0,0.0,0.0,HOMEOSTATIC,
frulys_c,2,0.0,0.0,0.0,HOMEOSTATIC,2,0.0,0.0,0.0,HOMEOSTATIC,
ichor_c,2,0.0,0.0,0.0,HOMEOSTATIC,2,0.0,0.0,0.0,HOMEOSTATIC,
thm_c,1,0.0,0.0,0.0,HOMEOSTATIC,1,0.0,0.0,0.0,HOMEOSTATIC,
eig3p_c,1,0.09306794079412707,0.0,0.09306794079412929,AUTOPOIETIC,1,0.09309234942990889,0.0,0.09309234942990909,AUTOPOIETIC,
cpmp_c,1,0.0002396987223053791,0.0,0.0002396987223053842,AUTOPOIETIC,1,0.00023976158733452014,0.0,0.00023976158733452158,AUTOPOIETIC,
hmbil_c,1,0.0004381378284762256,0.0,0.0004381378284762302,AUTOPOIETIC,1,0.00043825273750490153,0.0,0.00043825273750490337,AUTOPOIETIC,
unagamu_c,1,0.0,0.0,0.0,HOMEOSTATIC,1,0.0,0.0,0.0,HOMEOSTATIC,
chol_c,3,0.0,0.0,0.0,HOMEOSTATIC,3,0.0,0.0,0.0,HOMEOSTATIC,
lys__L_c,5,0.33711169362719745,0.0,0.33711169362720306,AUTOPOIETIC,5,0.3372001068495953,0.0,0.3372001068495929,AUTOPOIETIC,
ribflv_c,7,0.0004381378284761996,0.0,0.0004381378284762677,AUTOPOIETIC,7,0.0004382527375048969,0.0,0.00043825273750493926,AUTOPOIETIC,
rib__D_c,7,0.0,0.0,0.0,HOMEOSTATIC,7,0.0,0.0,0.0,HOMEOSTATIC,
