network,component,baseline_conc,knockout_conc_final,knockout_min,recover_conc_final,knockout_success,recover_success,causally_internal,verdict
E: Fully autopoietic MR-GR,G6P,13.219598901602323,8.889882817479363e-15,8.889882817479363e-15,0.0,True,False,False,HOMEOSTATIC
E: Fully autopoietic MR-GR,FBP,2.967093676906922,7.90436209411926e-14,7.90436209411926e-14,10.926079602854692,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,PEP,69.57137937456102,0.0,0.0,83.47735894515114,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,PYR,8.380174845575686,6.984596210033923e-17,6.984596210033923e-17,0.0042799627250144304,True,False,False,HOMEOSTATIC
E: Fully autopoietic MR-GR,AcCoA,5.255733074829181,0.0,0.0,0.0,True,False,False,HOMEOSTATIC
E: Fully autopoietic MR-GR,ALA,0.0,0.0,0.0,0.00020257749944099047,True,False,False,HOMEOSTATIC
E: Fully autopoietic MR-GR,ASP,0.0,0.0,0.0,0.0,True,False,False,HOMEOSTATIC
E: Fully autopoietic MR-GR,MAL,99.2518734375,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,HK1,99.500625,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,HK2,99.500625,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,PFK1,99.500625,0.0286056736330361,0.0286056736330361,98.50934380853518,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,PFK2,99.500625,0.0286056736330361,0.0286056736330361,98.50934380853518,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,ALDO1,99.500625,0.0286056736330361,0.0286056736330361,20.134650361857428,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,ALDO2,99.500625,0.0286056736330361,0.0286056736330361,20.134650361857428,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,PYK1,99.500625,0.0286056736330361,0.0286056736330361,99.2518734375,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,PYK2,99.500625,0.0286056736330361,0.0286056736330361,99.2518734375,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,ALT1,100.0,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,ALT2,100.0,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,ASPAT1,99.500625,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,ASPAT2,99.500625,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,MDH1,99.500625,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,MDH2,99.500625,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,PDH1,99.500625,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,PDH2,99.500625,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,PEPC1,99.500625,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,PEPC2,99.500625,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,ACK1,99.500625,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,ACK2,99.500625,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC
E: Fully autopoietic MR-GR,TF,100.0,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC
