network,component,baseline_conc,knockout_conc_final,knockout_min,recover_conc_final,knockout_success,recover_success,causally_internal,verdict,phase_iii_pass,pathwise_pass,contractible_pass,recovery_traj_mean,recovery_traj_above_frac
H: Network G + ASPAT3/4,G6P,7.984023968039954,0.0,0.0,80.60329070930881,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,FBP,14.606174021670594,0.0,0.0,98.78588281518928,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PEP,59.49905742651788,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PYR,0.0,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,AcCoA,13.320013320013324,0.0,0.0,13.286713286713292,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ALA,100.0,0.0,0.0,0.0,True,False,False,HOMEOSTATIC,True,True,True,49.79980079681275,0.49800796812749004
H: Network G + ASPAT3/4,ASP,100.0,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,MAL,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,GLU,69.80991011985017,0.0,0.0,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,Glycogen,95.75798801598002,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PolyP,7.389939036869846,0.0,0.0,7.367404714331944,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,HK1,99.75,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,HK2,99.75,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PFK1,99.75,0.0286056736330361,0.0286056736330361,60.18050284001044,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PFK2,99.75,0.0286056736330361,0.0286056736330361,60.18050284001044,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ALDO1,99.2518734375,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ALDO2,99.2518734375,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PYK1,99.75,0.0286056736330361,0.0286056736330361,5.347840865950345,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PYK2,99.75,0.0286056736330361,0.0286056736330361,5.347840865950345,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ALT1,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ALT2,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ALT3,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ALT4,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ALT5,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ALT6,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ASPAT1,62.56204488782715,0.0286056736330361,0.0286056736330361,51.23230716499275,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ASPAT2,62.56204488782715,0.0286056736330361,0.0286056736330361,51.23230716499275,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ASPAT3,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ASPAT4,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,MDH1,62.56204488782715,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,MDH2,62.56204488782715,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PDH1,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PDH2,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PEPC1,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PEPC2,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ACK1,99.75,0.0286056736330361,0.0286056736330361,99.2518734375,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,ACK2,99.75,0.0286056736330361,0.0286056736330361,99.2518734375,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,GLY1,99.75,0.0286056736330361,0.0286056736330361,52.90630011079488,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,GLY2,99.75,0.0286056736330361,0.0286056736330361,52.90630011079471,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,GLYP1,99.75,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,GLYP2,99.75,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PPK1,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,PPK2,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
H: Network G + ASPAT3/4,TF,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
