network,component,baseline_conc,knockout_conc_final,knockout_min,recover_conc_final,knockout_success,recover_success,causally_internal,verdict,phase_iii_pass,pathwise_pass,contractible_pass,recovery_traj_mean,recovery_traj_above_frac
I: Network H + ALT7/8,G6P,7.984023968039954,0.0,0.0,7.978775799514705,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,FBP,14.606174021670594,0.0,0.0,0.0,True,False,False,HOMEOSTATIC,True,True,True,47.36384167056563,0.852589641434263
I: Network H + ALT7/8,PEP,59.49905742651788,0.0,0.0,62.79198367684724,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PYR,0.0,0.0,0.0,2.0982590024476764,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,AcCoA,13.320013320013324,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ALA,100.0,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ASP,100.0,0.0,0.0,59.88017976029965,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,MAL,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,GLU,64.8198951398252,0.0,0.0,99.53462880607968,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,Glycogen,95.75798801598002,0.0,0.0,95.51617552698625,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PolyP,7.388435337149478,0.0,0.0,7.367403340003466,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,HK1,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,HK2,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PFK1,99.75,0.0286056736330361,0.0286056736330361,5.250101843714704,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PFK2,99.75,0.0286056736330361,0.0286056736330361,5.250101843714704,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ALDO1,99.2518734375,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ALDO2,99.2518734375,0.0286056736330361,0.0286056736330361,99.500625,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PYK1,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PYK2,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ALT1,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ALT2,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ALT3,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ALT4,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ALT5,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ALT6,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ASPAT1,58.361888637567816,0.0286056736330361,0.0286056736330361,45.881438118952246,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ASPAT2,58.361888637567816,0.0286056736330361,0.0286056736330361,45.881438118952246,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ASPAT3,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ASPAT4,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ALT7,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ALT8,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,MDH1,58.361888637567816,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,MDH2,58.361888637567816,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PDH1,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PDH2,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PEPC1,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PEPC2,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ACK1,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,ACK2,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,GLY1,99.75,0.0286056736330361,0.0286056736330361,47.91024973239036,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,GLY2,99.75,0.0286056736330361,0.0286056736330361,47.91024973239026,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,GLYP1,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,GLYP2,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PPK1,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,PPK2,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
I: Network H + ALT7/8,TF,99.75,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
