network,component,baseline_conc,knockout_conc_final,knockout_min,recover_conc_final,knockout_success,recover_success,causally_internal,verdict,phase_iii_pass,pathwise_pass,contractible_pass,recovery_traj_mean,recovery_traj_above_frac
J: Network I + ALDO3/4,G6P,0.0,0.0,0.0,7.973326660181925,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,FBP,11.749053597981849,0.0,0.0,75.64922397325488,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,PEP,81.2833939382532,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,PYR,100.0,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,AcCoA,0.0,0.0,0.0,0.0,True,False,False,HOMEOSTATIC,False,False,False,3.591767222924822,0.2749003984063745
J: Network I + ALDO3/4,ALA,100.0,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,ASP,0.0,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,MAL,99.75,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,GLU,100.0,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,Glycogen,100.0,0.0,0.0,95.75798801598002,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,PolyP,14.953655934899663,0.0,0.0,9.326881262848712,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,DHAP,14.921245484367931,6.988960774327835e-07,6.988960774327835e-07,22.030299805022473,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,G3P,14.921245484367931,6.988960774327835e-07,6.988960774327835e-07,22.030299805022473,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,HK1,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,HK2,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,PFK1,100.0,0.0286056736330361,0.0286056736330361,57.85883449201384,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,PFK2,100.0,0.0286056736330361,0.0286056736330361,57.85883449201384,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,ALDO1,100.0,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,ALDO2,100.0,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,ALDO3,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,ALDO4,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,PYK1,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,PYK2,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,ALT1,100.0,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,ALT2,100.0,0.0286056736330361,0.0286056736330361,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,ALT3,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,ALT4,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,ALT5,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
J: Network I + ALDO3/4,ALT6,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
