network,component,baseline_conc,knockout_conc_final,knockout_min,recover_conc_final,knockout_success,recover_success,causally_internal,verdict,phase_iii_pass,pathwise_pass,contractible_pass,recovery_traj_mean,recovery_traj_above_frac
K: Network J + ACS1/2,G6P,7.984023968039954,0.0,0.0,12.442454341104405,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,FBP,6.420100683185372,0.0,0.0,42.40518705114287,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,PEP,100.0,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,PYR,23.091164140560764,0.0,0.0,23.091415431412003,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,AcCoA,7.158185906106447,0.0,0.0,1.6579953043525313,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,ALA,100.0,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,ASP,100.0,0.0,0.0,59.88017976029965,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,MAL,100.0,0.0286056736330361,0.0286056736330361,99.75,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,GLU,64.8198951398252,0.0,0.0,100.0,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,Glycogen,95.75798801598002,0.0,0.0,95.73088122379899,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,PolyP,10.145195953884613,0.0,0.0,9.73123013765807,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,DHAP,14.611281653816894,6.991672095904751e-07,6.991672095904751e-07,31.532166313589652,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
K: Network J + ACS1/2,G3P,14.611281653816894,6.991672095904751e-07,6.991672095904751e-07,31.532166313589652,True,True,True,AUTOPOIETIC,True,False,False,0.0,0.0
