sigma,food_conc,n_phase_i,pct_phase_i,n_phase_iii,pct_phase_iii
0.0,5.0,31,59.61538461538461,32,61.53846153846154
0.0,10.0,51,98.07692307692308,52,100.0
0.0,20.0,49,94.23076923076923,50,96.15384615384616
0.1,5.0,49,94.23076923076923,50,96.15384615384616
0.1,10.0,51,98.07692307692308,52,100.0
0.1,20.0,51,98.07692307692308,52,100.0
0.5,5.0,52,100.0,52,100.0
0.5,10.0,52,100.0,52,100.0
0.5,20.0,52,100.0,52,100.0
1.0,5.0,52,100.0,52,100.0
1.0,10.0,51,98.07692307692308,52,100.0
1.0,20.0,51,98.07692307692308,52,100.0
