component,n_phase_i_pass,n_phase_iii_pass,frac_phase_i,frac_phase_iii
G6P,12,12,1.0,1.0
FBP,12,12,1.0,1.0
PEP,12,12,1.0,1.0
PYR,6,12,0.5,1.0
AcCoA,12,12,1.0,1.0
ALA,10,12,0.8333333333333334,1.0
ASP,12,12,1.0,1.0
MAL,12,12,1.0,1.0
GLU,12,12,1.0,1.0
Glycogen,12,12,1.0,1.0
PolyP,12,12,1.0,1.0
DHAP,12,12,1.0,1.0
G3P,12,12,1.0,1.0
HK1,11,11,0.9166666666666666,0.9166666666666666
HK2,10,10,0.8333333333333334,0.8333333333333334
PFK1,11,11,0.9166666666666666,0.9166666666666666
PFK2,11,11,0.9166666666666666,0.9166666666666666
ALDO1,11,11,0.9166666666666666,0.9166666666666666
ALDO2,11,11,0.9166666666666666,0.9166666666666666
ALDO3,12,12,1.0,1.0
ALDO4,12,12,1.0,1.0
PYK1,11,11,0.9166666666666666,0.9166666666666666
PYK2,10,10,0.8333333333333334,0.8333333333333334
ALT1,11,11,0.9166666666666666,0.9166666666666666
ALT2,11,11,0.9166666666666666,0.9166666666666666
ALT3,12,12,1.0,1.0
ALT4,12,12,1.0,1.0
ALT5,12,12,1.0,1.0
ALT6,12,12,1.0,1.0
ASPAT1,12,12,1.0,1.0
ASPAT2,12,12,1.0,1.0
ASPAT3,12,12,1.0,1.0
ASPAT4,12,12,1.0,1.0
ALT7,12,12,1.0,1.0
ALT8,12,12,1.0,1.0
MDH1,11,11,0.9166666666666666,0.9166666666666666
MDH2,11,11,0.9166666666666666,0.9166666666666666
PDH1,11,11,0.9166666666666666,0.9166666666666666
PDH2,11,11,0.9166666666666666,0.9166666666666666
PEPC1,12,12,1.0,1.0
PEPC2,12,12,1.0,1.0
ACK1,11,11,0.9166666666666666,0.9166666666666666
ACK2,11,11,0.9166666666666666,0.9166666666666666
GLY1,11,11,0.9166666666666666,0.9166666666666666
GLY2,11,11,0.9166666666666666,0.9166666666666666
GLYP1,11,11,0.9166666666666666,0.9166666666666666
GLYP2,11,11,0.9166666666666666,0.9166666666666666
PPK1,11,11,0.9166666666666666,0.9166666666666666
PPK2,11,11,0.9166666666666666,0.9166666666666666
ACS1,12,12,1.0,1.0
ACS2,12,12,1.0,1.0
TF,12,12,1.0,1.0
