network,type,component,n_producers,max_dep_ratio,max_dep_ratio_recovery,r_argmax,baseline_conc,verdict_at_0.5
E,metabolic,G6P,2,1.0,1.0,M1a,10.633547390635886,FRAGILE
E,metabolic,FBP,2,1.0,-0.33030311827387365,M2a,23.4563340107255,FRAGILE
E,metabolic,PEP,2,0.618733028054222,-0.8194957660202198,M3a,38.23662614326077,FRAGILE
E,metabolic,PYR,2,0.6340733742705433,1.0,M4a,30.468526929880834,FRAGILE
E,metabolic,AcCoA,2,1.0,0.0,M8a,5.328843733036281,FRAGILE
E,metabolic,MAL,2,-0.0050188126959002,-0.0050188126959002,M7a,99.2518734375,ROBUST
E,enzyme,HK1,1,0.7139432636696386,0.012437656054785152,E1a,99.00374375390625,FRAGILE
E,enzyme,HK2,1,0.7139432636696386,0.012437656054785152,E1b,99.00374375390625,FRAGILE
E,enzyme,PFK1,1,0.7139432636696386,-0.002506265664160357,E2a,99.00374375390625,FRAGILE
E,enzyme,PFK2,1,0.7139432636696386,-0.002506265664160357,E2b,99.00374375390625,FRAGILE
E,enzyme,ALDO1,1,0.7139432636696386,-0.002506265664160357,E3a,99.00374375390625,FRAGILE
E,enzyme,ALDO2,1,0.7139432636696386,-0.002506265664160357,E3b,99.00374375390625,FRAGILE
E,enzyme,PYK1,1,0.7139432636696386,-0.002506265664160357,E4a,99.00374375390625,FRAGILE
E,enzyme,PYK2,1,0.7139432636696386,-0.002506265664160357,E4b,99.00374375390625,FRAGILE
E,enzyme,ALT1,1,0.7139432636696387,0.0025,E5a,100.0,FRAGILE
E,enzyme,ALT2,1,0.7139432636696387,0.0025,E5b,100.0,FRAGILE
E,enzyme,ASPAT1,1,0.7139432636696386,-0.002506265664160407,E6a,99.500625,FRAGILE
E,enzyme,ASPAT2,1,0.7139432636696386,-0.002506265664160407,E6b,99.500625,FRAGILE
E,enzyme,MDH1,1,0.7139432636696386,-0.002506265664160407,E7a,99.500625,FRAGILE
E,enzyme,MDH2,1,0.7139432636696386,-0.002506265664160407,E7b,99.500625,FRAGILE
E,enzyme,PDH1,1,0.7139432636696386,-0.007537656837995145,E8a,99.00374375390625,FRAGILE
E,enzyme,PDH2,1,0.7139432636696386,-0.007537656837995145,E8b,99.00374375390625,FRAGILE
E,enzyme,PEPC1,1,0.7139432636696386,-0.005018812695900157,E9a,99.500625,FRAGILE
E,enzyme,PEPC2,1,0.7139432636696386,-0.005018812695900157,E9b,99.500625,FRAGILE
E,enzyme,ACK1,1,0.7139432636696386,-0.010062813872676837,E10a,99.00374375390625,FRAGILE
E,enzyme,ACK2,1,0.7139432636696386,-0.010062813872676837,E10b,99.00374375390625,FRAGILE
E,regulatory,TF,2,0.6661398808764273,0.0,G_auto,100.0,FRAGILE
F,metabolic,G6P,2,0.999528013644559,0.6001386630047147,M1a,13.219168408515777,FRAGILE
F,metabolic,AcCoA,2,0.5,0.0,M8a,13.150634560532424,FRAGILE
F,metabolic,ALA,4,0.0,0.0,M5a,100.0,ROBUST
F,metabolic,ASP,2,-1.2566477101559494,-1.2566477101559494,M6a,44.313518476966586,ROBUST
F,metabolic,MAL,2,0.0,0.0,M7a,100.0,ROBUST
F,enzyme,HK1,1,0.7139432636696387,0.0,E1a,100.0,FRAGILE
F,enzyme,HK2,1,0.7139432636696387,0.0,E1b,100.0,FRAGILE
F,enzyme,PFK1,1,0.7139432636696386,0.0025000000000000434,E2a,99.500625,FRAGILE
F,enzyme,PFK2,1,0.7139432636696386,0.0025000000000000434,E2b,99.500625,FRAGILE
F,enzyme,ALDO1,1,0.7139432636696386,0.0025000000000000434,E3a,99.500625,FRAGILE
F,enzyme,ALDO2,1,0.7139432636696386,0.0025000000000000434,E3b,99.500625,FRAGILE
F,enzyme,PYK1,1,0.7139432636696387,0.0025,E4a,100.0,FRAGILE
F,enzyme,PYK2,1,0.7139432636696387,0.0025,E4b,100.0,FRAGILE
F,enzyme,ALT1,1,0.7139432636696387,0.0,E5a,100.0,FRAGILE
F,enzyme,ALT2,1,0.7139432636696387,0.0,E5b,100.0,FRAGILE
F,enzyme,ALT3,1,0.7139432636696387,0.0,E11a,100.0,FRAGILE
F,enzyme,ALT4,1,0.7139432636696387,0.0,E11b,100.0,FRAGILE
F,enzyme,ASPAT1,1,0.7139432636696387,0.25646970209376546,E6a,100.0,FRAGILE
F,enzyme,ASPAT2,1,0.7139432636696387,0.25646970209376546,E6b,100.0,FRAGILE
F,enzyme,MDH1,1,0.7139432636696387,0.0,E7a,100.0,FRAGILE
F,enzyme,MDH2,1,0.7139432636696387,0.0,E7b,100.0,FRAGILE
F,enzyme,PDH1,1,0.7139432636696387,0.0,E8a,100.0,FRAGILE
F,enzyme,PDH2,1,0.7139432636696387,0.0,E8b,100.0,FRAGILE
F,enzyme,PEPC1,1,0.7139432636696387,0.0025,E9a,100.0,FRAGILE
F,enzyme,PEPC2,1,0.7139432636696387,0.0025,E9b,100.0,FRAGILE
F,enzyme,ACK1,1,0.7139432636696386,0.0,E10a,99.500625,FRAGILE
F,enzyme,ACK2,1,0.7139432636696386,0.0,E10b,99.500625,FRAGILE
F,regulatory,TF,2,0.6718155884205568,0.0025,G_auto,100.0,FRAGILE
G,metabolic,G6P,4,0.5,0.0,M14a,7.984023968039954,FRAGILE
