gene,gene_lowercase,b_number_in_keio,already_b_number_format,would_map_to_iJO1366,status_now
ahpC,ahpc,b0605,False,False,B-NUMBER-RECOVERED
b0245,b0245,,True,,ALREADY-B-NUMBER
b0753,b0753,,True,,ALREADY-B-NUMBER
b1631,b1631,,True,,ALREADY-B-NUMBER
b1758,b1758,,True,,ALREADY-B-NUMBER
b2086,b2086,,True,,ALREADY-B-NUMBER
bcp,bcp,b2480,False,True,MAPPED-NEW
bolA,bola,b0435,False,False,B-NUMBER-RECOVERED
caiC,caic,b0037,False,True,MAPPED-NEW
cheR,cher,b1884,False,False,B-NUMBER-RECOVERED
csiE,csie,b2535,False,False,B-NUMBER-RECOVERED
cspF,cspf,b1558,False,False,B-NUMBER-RECOVERED
cspI,cspi,b1552,False,False,B-NUMBER-RECOVERED
csrA,csra,b2696,False,False,B-NUMBER-RECOVERED
cutC,cutc,b1874,False,False,B-NUMBER-RECOVERED
degS,degs,b3235,False,False,B-NUMBER-RECOVERED
dnaJ,dnaj,b0015,False,False,B-NUMBER-RECOVERED
fhiA,fhia,b0229,False,False,B-NUMBER-RECOVERED
flgA,flga,b1072,False,False,B-NUMBER-RECOVERED
flgB,flgb,b1073,False,False,B-NUMBER-RECOVERED
flgC,flgc,b1074,False,False,B-NUMBER-RECOVERED
flgD,flgd,b1075,False,False,B-NUMBER-RECOVERED
flgE,flge,b1076,False,False,B-NUMBER-RECOVERED
flgG,flgg,b1078,False,False,B-NUMBER-RECOVERED
flgH,flgh,b1079,False,False,B-NUMBER-RECOVERED
flgJ,flgj,b1081,False,False,B-NUMBER-RECOVERED
flgK,flgk,b1082,False,False,B-NUMBER-RECOVERED
flhD,flhd,b1892,False,False,B-NUMBER-RECOVERED
fliA,flia,b1922,False,False,B-NUMBER-RECOVERED
fliD,flid,b1924,False,False,B-NUMBER-RECOVERED
fliE,flie,b1937,False,False,B-NUMBER-RECOVERED
fliM,flim,b1945,False,False,B-NUMBER-RECOVERED
fliS,flis,b1925,False,False,B-NUMBER-RECOVERED
ftsA,ftsa,b0094,False,False,B-NUMBER-RECOVERED
galT,galt,b0758,False,True,MAPPED-NEW
hdeA,hdea,b3510,False,False,B-NUMBER-RECOVERED
hdhA,hdha,b1619,False,False,B-NUMBER-RECOVERED
himD,himd,,False,,NO-MATCH
hns,hns,b1237,False,False,B-NUMBER-RECOVERED
hslJ,hslj,b1379,False,False,B-NUMBER-RECOVERED
hslV,hslv,b3932,False,False,B-NUMBER-RECOVERED
htrE,htre,b0139,False,False,B-NUMBER-RECOVERED
lrhA,lrha,b2289,False,False,B-NUMBER-RECOVERED
motA,mota,b1890,False,False,B-NUMBER-RECOVERED
msrA,msra,b4219,False,True,MAPPED-NEW
mutH,muth,b2831,False,False,B-NUMBER-RECOVERED
mutL,mutl,b4170,False,False,B-NUMBER-RECOVERED
narJ,narj,b1226,False,True,MAPPED-NEW
otsB,otsb,b1897,False,True,MAPPED-NEW
phoH,phoh,b1020,False,False,B-NUMBER-RECOVERED
ppiA,ppia,b3363,False,False,B-NUMBER-RECOVERED
pqiB,pqib,b0951,False,False,B-NUMBER-RECOVERED
proV,prov,b2677,False,True,MAPPED-NEW
proW,prow,b2678,False,True,MAPPED-NEW
recF,recf,b3700,False,False,B-NUMBER-RECOVERED
rpoE,rpoe,b2573,False,False,B-NUMBER-RECOVERED
rpsV,rpsv,,False,,NO-MATCH
sbmC,sbmc,b2009,False,False,B-NUMBER-RECOVERED
sodA,soda,b3908,False,True,MAPPED-NEW
stpA,stpa,b2669,False,False,B-NUMBER-RECOVERED
treA,trea,b1197,False,True,MAPPED-NEW
ugpC,ugpc,b3450,False,True,MAPPED-NEW
uvrB,uvrb,b0779,False,False,B-NUMBER-RECOVERED
yabH,yabh,,False,,NO-MATCH
ybeV,ybev,,False,,NO-MATCH
yceK,ycek,b1050,False,False,B-NUMBER-RECOVERED
ycgR,ycgr,b1194,False,False,B-NUMBER-RECOVERED
ychK,ychk,,False,,NO-MATCH
ydaA,ydaa,,False,,NO-MATCH
ydeB,ydeb,,False,,NO-MATCH
ydgO,ydgo,,False,,NO-MATCH
yeaA,yeaa,b1778,False,True,MAPPED-NEW
yeaG,yeag,b1783,False,False,B-NUMBER-RECOVERED
yedU,yedu,,False,,NO-MATCH
yehX,yehx,b2129,False,True,MAPPED-NEW
yehY,yehy,b2130,False,True,MAPPED-NEW
yeiL,yeil,b2163,False,False,B-NUMBER-RECOVERED
ygaE,ygae,,False,,NO-MATCH
ygaF,ygaf,b2660,False,False,B-NUMBER-RECOVERED
ygaM,ygam,b2672,False,False,B-NUMBER-RECOVERED
ygaU,ygau,b2665,False,False,B-NUMBER-RECOVERED
ygiX,ygix,,False,,NO-MATCH
yhhA,yhha,b3448,False,False,B-NUMBER-RECOVERED
yhiO,yhio,b3494,False,False,B-NUMBER-RECOVERED
yhiW,yhiw,,False,,NO-MATCH
yhiX,yhix,,False,,NO-MATCH
yjeB,yjeb,b4178,False,False,B-NUMBER-RECOVERED
yjgB,yjgb,b4269,False,False,B-NUMBER-RECOVERED
yjgR,yjgr,b4263,False,False,B-NUMBER-RECOVERED
ymdD,ymdd,,False,,NO-MATCH
ymgA,ymga,b1165,False,False,B-NUMBER-RECOVERED
