df,sigma,K_pred_mean,K_obs_mean,rel_err_mean,frac_confirmed,K_obs_std,verdict,n_runs
1.5,0.0050,29.7000,28.6800,0.0271,0.9800,6.2416,ROBUST,200
1.5,0.0100,30.2700,28.9000,0.0435,0.9600,7.6857,ROBUST,200
1.5,0.0200,32.3050,29.2950,0.0733,0.8950,10.9502,ACCEPTABLE,200
1.5,0.0500,33.2111,25.9497,0.1508,0.6700,17.8322,DEGRADED,200
1.5,0.1000,30.9795,19.0410,0.2461,0.4700,15.0874,BROKEN,200
2.0,0.0050,28.7350,28.1750,0.0198,1.0000,2.0626,ROBUST,200
2.0,0.0100,28.6300,27.9150,0.0251,0.9900,3.9215,ROBUST,200
2.0,0.0200,29.6550,27.8850,0.0513,0.9450,8.0301,ACCEPTABLE,200
2.0,0.0500,33.4450,26.7500,0.1517,0.6950,15.0129,DEGRADED,200
2.0,0.1000,37.3568,22.2261,0.2833,0.4250,18.2039,BROKEN,200
2.5,0.0050,29.2250,28.7650,0.0157,1.0000,1.6733,ROBUST,200
2.5,0.0100,28.9750,28.3450,0.0213,0.9950,2.6918,ROBUST,200
2.5,0.0200,29.2250,28.0900,0.0390,0.9850,5.9323,ROBUST,200
2.5,0.0500,31.0800,27.4800,0.1013,0.7800,12.1322,DEGRADED,200
2.5,0.1000,31.1421,22.8477,0.1983,0.5500,16.4022,DEGRADED,200
3.0,0.0050,28.9500,28.4650,0.0168,1.0000,1.3780,ROBUST,200
3.0,0.0100,28.9000,28.3050,0.0209,1.0000,2.7078,ROBUST,200
3.0,0.0200,29.4750,28.3750,0.0389,0.9650,5.5004,ROBUST,200
3.0,0.0500,30.8050,27.8650,0.0871,0.8250,12.1057,ACCEPTABLE,200
3.0,0.1000,31.3819,23.1156,0.2006,0.5100,16.8744,DEGRADED,200
4.0,0.0050,28.8750,28.3600,0.0177,1.0000,1.0679,ROBUST,200
4.0,0.0100,28.8850,28.3200,0.0196,1.0000,2.0634,ROBUST,200
4.0,0.0200,29.7700,28.9350,0.0283,0.9900,4.7593,ROBUST,200
4.0,0.0500,29.9350,27.8450,0.0652,0.8900,10.2923,ACCEPTABLE,200
4.0,0.1000,30.2200,23.3500,0.1764,0.5650,15.1591,DEGRADED,200
5.0,0.0050,28.9250,28.4400,0.0167,1.0000,0.9881,ROBUST,200
5.0,0.0100,28.8250,28.2200,0.0211,1.0000,1.8952,ROBUST,200
5.0,0.0200,28.6900,27.9250,0.0268,0.9950,3.8444,ROBUST,200
5.0,0.0500,30.0550,28.0400,0.0641,0.9050,8.9196,ACCEPTABLE,200
5.0,0.1000,32.4300,26.3450,0.1542,0.6150,17.7993,DEGRADED,200
7.0,0.0050,28.9150,28.4500,0.0160,1.0000,0.8588,ROBUST,200
7.0,0.0100,29.1300,28.5500,0.0199,1.0000,1.8187,ROBUST,200
7.0,0.0200,29.2950,28.5550,0.0256,1.0000,3.7798,ROBUST,200
7.0,0.0500,30.2050,28.0700,0.0679,0.9000,8.7101,ACCEPTABLE,200
7.0,0.1000,31.9950,25.6500,0.1663,0.6200,14.7186,DEGRADED,200
10.0,0.0050,28.8900,28.3800,0.0176,1.0000,1.0515,ROBUST,200
10.0,0.0100,29.0000,28.4350,0.0195,1.0000,1.7708,ROBUST,200
10.0,0.0200,29.1500,28.3900,0.0260,1.0000,3.3538,ROBUST,200
10.0,0.0500,29.2050,27.5950,0.0526,0.9300,7.9637,ACCEPTABLE,200
10.0,0.1000,32.1600,27.3450,0.1357,0.6800,14.2957,DEGRADED,200
20.0,0.0050,28.8050,28.3200,0.0167,1.0000,0.8646,ROBUST,200
20.0,0.0100,29.0300,28.5150,0.0177,1.0000,1.6733,ROBUST,200
20.0,0.0200,28.9200,28.2700,0.0223,1.0000,3.1539,ROBUST,200
20.0,0.0500,29.4750,27.8600,0.0536,0.9350,7.4987,ACCEPTABLE,200
20.0,0.1000,29.7450,24.7700,0.1386,0.7150,11.8932,DEGRADED,200
50.0,0.0050,28.9650,28.4350,0.0182,1.0000,0.8098,ROBUST,200
50.0,0.0100,28.8400,28.2300,0.0211,1.0000,1.6362,ROBUST,200
50.0,0.0200,29.1400,28.5150,0.0214,1.0000,3.1368,ROBUST,200
50.0,0.0500,29.7850,28.2050,0.0520,0.9500,7.2535,ROBUST,200
50.0,0.1000,31.8300,27.4600,0.1298,0.6800,14.4651,DEGRADED,200
inf,0.0050,28.9900,28.4950,0.0170,1.0000,0.8000,ROBUST,200
inf,0.0100,28.9550,28.4100,0.0187,1.0000,1.5006,ROBUST,200
inf,0.0200,29.1500,28.3850,0.0262,1.0000,3.0128,ROBUST,200
inf,0.0500,29.5900,27.9750,0.0537,0.9250,7.3085,ACCEPTABLE,200
inf,0.1000,32.1550,28.0750,0.1112,0.7500,13.0004,DEGRADED,200
