arm,subarm,panel_size,bl_mean,bl_sd,null_mean,note
A1_cuts_d1,one_sample,2,0.11174337727107514,0.05058499022200837,0.09064926061138649,iid_gc_pred=0.10926
A1_cuts_d1,one_sample,4,0.0734912500320561,0.030707926469766313,0.06159486837442979,iid_gc_pred=0.07726
A1_cuts_d1,one_sample,8,0.05673422184220436,0.027343435343166553,0.046882032114688076,iid_gc_pred=0.05463
A1_cuts_d1,one_sample,16,0.03945919383401569,0.01970411205437625,0.031665296018805994,iid_gc_pred=0.03863
A1_cuts_d1,one_sample,32,0.027843990156752065,0.012890305251648486,0.023125597471085894,iid_gc_pred=0.02732
A1_cuts_d1,one_sample,64,0.019590390231920756,0.009026484021670337,0.016049364036283768,iid_gc_pred=0.01931
A1_cuts_d1,one_sample,128,0.014780972911524913,0.007232151693080677,0.01115200716099372,iid_gc_pred=0.01366
A1_cuts_d1,one_sample,256,0.00990195270845074,0.005313143175458207,0.007957304170146567,iid_gc_pred=0.00966
A1_cuts_d1,split_half,2,0.22708630466936552,0.12374113273971918,,two disjoint n/2 pools
A1_cuts_d1,split_half,4,0.14918103427562152,0.07223834154719613,,two disjoint n/2 pools
A1_cuts_d1,split_half,8,0.10496438606684784,0.047691163049779314,,two disjoint n/2 pools
A1_cuts_d1,split_half,16,0.07618978369337709,0.03696227971230737,,two disjoint n/2 pools
A1_cuts_d1,split_half,32,0.05498235352631118,0.028290743581928006,,two disjoint n/2 pools
A1_cuts_d1,split_half,64,0.038708024935035654,0.017581062242056463,,two disjoint n/2 pools
A1_cuts_d1,split_half,128,0.027491524091246795,0.015053909579275028,,two disjoint n/2 pools
A1_cuts_d1,split_half,256,0.01864686267039542,0.00856483572979637,,two disjoint n/2 pools
A2_cuts_d2_LP,one_sample,4,0.18239893474670552,0.03382236905858621,0.1469399413849959,half reps; split-half sd 0.23169
A2_cuts_d2_LP,one_sample,16,0.10187031108242807,0.01984771852763629,0.0908644324592603,half reps; split-half sd 0.13508
A2_cuts_d2_LP,one_sample,64,0.07410968304293773,0.011289310851982324,0.07258730993489038,half reps; split-half sd 0.08357
A2_cuts_d2_LP,one_sample,256,0.06547549830825503,0.010863151611549677,0.07388312927190663,half reps; split-half sd 0.07302
B_sweep_panels_d1,bootstrap_vs_full13,1,0.25695831966163674,0.14428125623008942,0.14217993685643307,panel-limited: 13 sweeps total
B_sweep_panels_d1,bootstrap_vs_full13,2,0.20770475817167483,0.11184506193240612,0.1156809472844394,panel-limited: 13 sweeps total
B_sweep_panels_d1,bootstrap_vs_full13,3,0.1681835289716384,0.08383488491231315,0.09393598903193753,panel-limited: 13 sweeps total
B_sweep_panels_d1,bootstrap_vs_full13,4,0.13660737874840712,0.07098901644853368,0.0791727416532042,panel-limited: 13 sweeps total
B_sweep_panels_d1,bootstrap_vs_full13,6,0.09906592562169247,0.045828581312476975,0.0651193851140161,panel-limited: 13 sweeps total
B_sweep_panels_d1,bootstrap_vs_full13,8,0.06990187223370549,0.035537749430776526,0.0582205243118157,panel-limited: 13 sweeps total
B_sweep_panels_d1,bootstrap_vs_full13,10,0.0467456835588643,0.022650381759798686,0.05069602226353691,panel-limited: 13 sweeps total
B_sweep_panels_d1,bootstrap_vs_full13,12,0.02256593032958565,0.01705890914413941,0.04605648031883236,panel-limited: 13 sweeps total
C1_gene_panel_d1,log10_kappa_dist,8,0.7471584099456411,0.32044157887710506,0.8522144414628083,bgu_asymptotic=0.88207
C1_gene_panel_d1,log10_kappa_dist,16,0.48599771802715985,0.1845353917838137,0.5526738192543784,bgu_asymptotic=0.62372
C1_gene_panel_d1,log10_kappa_dist,32,0.3488183833338468,0.12778174502968376,0.4204625842691868,bgu_asymptotic=0.44104
C1_gene_panel_d1,log10_kappa_dist,64,0.23704537894548317,0.10145635226914128,0.29231078585003556,bgu_asymptotic=0.31186
C1_gene_panel_d1,log10_kappa_dist,128,0.1457220867646643,0.059676750558732276,0.21683611815531095,bgu_asymptotic=0.22052
C1_gene_panel_d1,log10_kappa_dist,256,0.11992185548926779,0.046400688957641455,0.14638647775725866,bgu_asymptotic=0.15593
C1_gene_panel_d1,log10_kappa_dist,424,0.0,0.0,0.2642676639858295,bgu_asymptotic=0.12116
C1_gene_panel_assoc,r_stabilization,8,0.38879984825871416,0.30102435869023997,,fisher_sd_pred=0.44721
C1_gene_panel_assoc,r_stabilization,16,0.39439329204110296,0.2003730429563643,,fisher_sd_pred=0.27735
C1_gene_panel_assoc,r_stabilization,32,0.39068827229256486,0.1371898232736672,,fisher_sd_pred=0.18570
C1_gene_panel_assoc,r_stabilization,64,0.3931568067697424,0.08757375020052006,,fisher_sd_pred=0.12804
C1_gene_panel_assoc,r_stabilization,128,0.39743267298302365,0.05783758787598612,,fisher_sd_pred=0.08944
C1_gene_panel_assoc,r_stabilization,256,0.39105920296588437,0.048672074458300595,,fisher_sd_pred=0.06287
C1_gene_panel_assoc,r_stabilization,424,0.32509330218291177,0.0,,fisher_sd_pred=0.04874
C2_traj_thin_uniform,bl_shape,6,0.12090989468382542,0.06355715028414909,,rel_mass_err=0.2614 valkinks=3.2
C2_traj_thin_uniform,bl_shape,8,0.08267454590581073,0.04358097210710015,,rel_mass_err=0.1517 valkinks=4.3
C2_traj_thin_uniform,bl_shape,12,0.05022504280865632,0.023789540176134154,,rel_mass_err=0.0525 valkinks=5.5
C2_traj_thin_uniform,bl_shape,16,0.035675314487813664,0.014474107108754927,,rel_mass_err=0.0206 valkinks=6.1
C2_traj_thin_uniform,bl_shape,20,0.026611264704796626,0.014162683240002794,,rel_mass_err=0.0101 valkinks=6.2
C2_traj_thin_uniform,bl_shape,29,0.014385470873124345,0.009373498022033563,,rel_mass_err=0.0013 valkinks=6.0
C2_traj_thin_uniform,bl_shape,43,0.005385912699055795,0.004756172041365628,,rel_mass_err=0.0000 valkinks=5.0
C2_traj_thin_uniform,bl_shape,57,0.0,0.0,,rel_mass_err=0.0000 valkinks=4.0
C2_traj_thin_anchor,bl_shape,8,5.628354924981846e-13,2.0194839173657902e-28,,rel_mass_err=0.0000 valkinks=4.0
C2_traj_thin_anchor,bl_shape,8,5.628354924981846e-13,2.0194839173657902e-28,,rel_mass_err=0.0000 valkinks=4.0
C2_traj_thin_anchor,bl_shape,12,6.249191243844009e-13,1.6550214619048576e-13,,rel_mass_err=0.0000 valkinks=4.0
C2_traj_thin_anchor,bl_shape,16,6.534509837991768e-13,2.141980169606951e-13,,rel_mass_err=0.0000 valkinks=4.0
C2_traj_thin_anchor,bl_shape,20,6.609972489991985e-13,2.4583217411714567e-13,,rel_mass_err=0.0000 valkinks=4.0
C2_traj_thin_anchor,bl_shape,29,6.28282703640792e-13,2.888951360424163e-13,,rel_mass_err=0.0000 valkinks=4.0
C2_traj_thin_anchor,bl_shape,43,4.2964358261597465e-13,2.476967541130304e-13,,rel_mass_err=0.0000 valkinks=4.0
C2_traj_thin_anchor,bl_shape,57,0.0,0.0,,rel_mass_err=0.0000 valkinks=4.0
