panel,n,h,n_bins,sigma,L1_mean,L1_med,W1_mean,W1_abs_mean,mass_ratio,L1_to_smooth,mass_frac_near_atoms_w0.04
a_refinement,4,0.6666666666666666,2,,0.3260193354192244,0.2814896220571969,0.04885939468328544,0.03348174747899449,0.9303957173267078,,
a_refinement,8,0.2857142857142857,2,,0.12641252484489424,0.09342573096457266,0.012065330696049521,0.045466100073161125,0.9958085991822135,,
a_refinement,16,0.13333333333333333,3,,0.0799338575733753,0.05054342511403895,0.012646532491072312,0.01535285091256917,0.9839198427034144,,
a_refinement,32,0.06451612903225806,5,,0.090380970255555,0.09117346327951711,0.012211357773033069,0.01608106473356867,0.996941608384421,,
a_refinement,64,0.031746031746031744,10,,0.0827832961712826,0.08529827572013207,0.006964990507363013,0.01907553938727481,0.9988050587784955,,
a_refinement,128,0.015748031496062992,20,,0.07241624490376214,0.08319572093443095,0.003460471164969367,0.007745115725411563,1.0023227548032367,,
b_sigma_fixed_n,32,0.06451612903225806,,0.3,,,,,,0.209314411696761,0.40894171967139265
b_sigma_fixed_n,32,0.06451612903225806,,0.1,,,,,,0.08193570030568885,0.40847784325392184
b_sigma_fixed_n,32,0.06451612903225806,,0.06,,,,,,0.05347681989422236,0.4103150764093412
b_sigma_fixed_n,32,0.06451612903225806,,0.03,,,,,,0.11891578531611974,0.43806556063532737
b_sigma_fixed_n,32,0.06451612903225806,,0.015,,,,,,0.42795148210601647,0.5926033563441062
b_sigma_fixed_n,32,0.06451612903225806,,0.007,,,,,,0.8671971949214389,0.8688044461563154
b_sigma_fixed_n,32,0.06451612903225806,,0.003,,,,,,1.2763704725848082,0.9992435096797206
c_joint,4,0.6666666666666666,,0.05,1.2541405366410763,,,,,,
c_joint,8,0.2857142857142857,,0.05,0.7146603717376904,,,,,,
c_joint,16,0.13333333333333333,,0.05,0.16454043200222357,,,,,,
c_joint,32,0.06451612903225806,,0.05,0.05575102781730238,,,,,,
c_joint,64,0.031746031746031744,,0.05,0.042521222359023135,,,,,,
c_joint,128,0.015748031496062992,,0.05,0.03982383333420912,,,,,,
