gene_bnumber,kappa_mu_max,kappa_mu_sum,kappa_mu_own,kappa_v_lex,n_rxns,kappa_V_E22
b3735,22.681701240154617,22.681701240154617,22.681701240154617,466.629996362235,1,466.6299963622043
b3736,22.681701240154617,22.681701240154617,22.681701240154617,466.629996362235,1,466.6299963622043
b3737,22.681701240154617,22.681701240154617,22.681701240154617,466.629996362235,1,466.6299963622043
b3738,22.681701240154617,22.681701240154617,22.681701240154617,466.629996362235,1,466.6299963622043
b3739,22.681701240154617,22.681701240154617,22.681701240154617,466.629996362235,1,466.6299963622043
b3732,22.681701240154617,22.681701240154617,22.681701240154617,466.629996362235,1,466.6299963622043
b3733,22.681701240154617,22.681701240154617,22.681701240154617,466.629996362235,1,466.6299963622043
b3734,22.681701240154617,22.681701240154617,22.681701240154617,466.629996362235,1,466.6299963622043
b3731,22.681701240154617,22.681701240154617,22.681701240154617,466.629996362235,1,466.6299963622043
b0875,19.079833573413218,19.079833573413218,19.079833573413218,330.1950558715654,1,330.19505587154964
b0241,19.079833573413218,47.42744116930204,19.079833573413218,330.1950558715654,270,330.1950558715495
b0957,19.079833573413218,19.079833573413218,19.079833573413218,330.1950558715654,1,330.1950558715495
b3875,19.079833573413218,19.079833573413218,19.079833573413218,330.1950558715654,1,330.1950558715495
b2215,19.079833573413218,47.42744116930206,19.079833573413218,330.1950558715654,271,330.1950558715495
b0929,19.079833573413218,47.42744116930206,19.079833573413218,330.1950558715654,271,330.1950558715495
b1377,19.079833573413218,47.42744116930204,19.079833573413218,330.1950558715654,270,330.1950558715495
b1319,19.079833573413218,19.079833573413218,19.079833573413218,330.1950558715654,1,330.1950558715495
b0431,14.288847716476127,14.288847716476127,14.288847716476127,185.18926892870883,1,185.1892689286952
b0432,14.288847716476127,14.288847716476127,14.288847716476127,185.18926892870883,1,185.1892689286952
b0430,14.288847716476127,14.288847716476127,14.288847716476127,185.18926892870883,1,185.1892689286952
b0429,14.288847716476127,14.288847716476127,14.288847716476127,185.18926892870883,1,185.1892689286952
b2285,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b2283,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b2286,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b2276,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b2281,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b2277,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b2278,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
b2279,12.666167133342014,12.666167133342014,12.666167133342014,145.51636264094648,3,145.5163626409395
