gene_bnumber,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual,kappa_c,kappa_v_lex,n_rxns,kappa_V_E22
b3735,7.560567078989251,7.560567078989251,0.0,0.0,0.0,466.629996362235,1,466.6299963622043
b3736,7.560567078989251,7.560567078989251,0.0,0.0,0.0,466.629996362235,1,466.6299963622043
b3737,7.560567078989251,7.560567078989251,0.0,0.0,0.0,466.629996362235,1,466.6299963622043
b3738,7.560567078989251,7.560567078989251,0.0,0.0,0.0,466.629996362235,1,466.6299963622043
b3739,7.560567078989251,7.560567078989251,0.0,0.0,0.0,466.629996362235,1,466.6299963622043
b3732,7.560567078989251,7.560567078989251,0.0,0.0,0.0,466.629996362235,1,466.6299963622043
b3733,7.560567078989251,7.560567078989251,0.0,0.0,0.0,466.629996362235,1,466.6299963622043
b3734,7.560567078989251,7.560567078989251,0.0,0.0,0.0,466.629996362235,1,466.6299963622043
b3731,7.560567078989251,7.560567078989251,0.0,0.0,0.0,466.629996362235,1,466.6299963622043
b0875,6.359944523748595,6.359944523748595,0.0,0.0,0.0,330.1950558715654,1,330.19505587154964
b0241,6.359944523748595,6.359944523748595,0.0,0.0,0.0,330.1950558715654,270,330.1950558715495
b0957,6.359944523748595,6.359944523748595,0.0,0.0,0.0,330.1950558715654,1,330.1950558715495
b3875,6.359944523748595,6.359944523748595,0.0,0.0,0.0,330.1950558715654,1,330.1950558715495
b2215,6.359944523748595,6.359944523748595,0.0,0.0,0.0,330.1950558715654,271,330.1950558715495
b0929,6.359944523748595,6.359944523748595,0.0,0.0,0.0,330.1950558715654,271,330.1950558715495
b1377,6.359944523748595,6.359944523748595,0.0,0.0,0.0,330.1950558715654,270,330.1950558715495
b1319,6.359944523748595,6.359944523748595,0.0,0.0,0.0,330.1950558715654,1,330.1950558715495
b0431,4.762949238070917,4.762949238070917,0.0,0.0,0.0,185.18926892870883,1,185.1892689286952
b0432,4.762949238070917,4.762949238070917,0.0,0.0,0.0,185.18926892870883,1,185.1892689286952
b0430,4.762949238070917,4.762949238070917,0.0,0.0,0.0,185.18926892870883,1,185.1892689286952
b0429,4.762949238070917,4.762949238070917,0.0,0.0,0.0,185.18926892870883,1,185.1892689286952
b2285,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2283,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2286,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2276,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2281,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2277,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2278,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2279,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2287,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2288,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2284,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2282,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b2280,4.222055710655454,4.222055710655454,0.0,0.0,0.0,145.51636264094648,3,145.5163626409395
b1779,2.2640845586752896,2.2640845586752896,0.0,0.0,0.0,41.8455419496423,2,41.845541949642005
b2926,2.2640845586752896,2.2640845586752896,0.0,0.0,0.0,41.8455419496423,1,41.845541949642005
b2779,2.0246380303159306,2.0246380303159306,0.0,0.0,0.0,33.46252370443936,1,33.46252370443901
b0755,2.0246380303159306,2.0246380303159306,0.0,0.0,0.0,33.46252370443936,1,33.46252370443899
b3612,2.0246380303159306,2.0246380303159306,0.0,0.0,0.0,33.46252370443936,1,33.46252370443899
b4395,2.0246380303159306,2.0246380303159306,0.0,0.0,0.0,33.46252370443936,1,33.46252370443899
b0451,1.5052154601823098,1.5052154601823098,0.0,0.0,0.0,18.495294543148106,1,18.495294543147853
b2417,1.399999999999995,1.399999999999995,0.0,5.551115123125783e-17,0.0,16.0,6,16.0
b1101,1.399999999999995,1.399999999999995,0.0,0.0,0.0,16.0,2,16.0
b2415,1.399999999999995,1.399999999999995,0.0,5.551115123125783e-17,0.0,16.0,18,16.0
b2416,1.399999999999995,1.399999999999995,0.0,5.551115123125783e-17,0.0,16.0,19,16.0
b1819,1.399999999999995,1.399999999999995,0.0,0.0,0.0,16.0,5,16.0
b1817,1.399999999999995,1.399999999999995,0.0,0.0,0.0,16.0,5,16.0
b1621,1.399999999999995,1.399999999999995,0.0,5.551115123125783e-17,0.0,16.0,2,16.0
b1818,1.399999999999995,1.399999999999995,0.0,0.0,0.0,16.0,5,16.0
b1761,1.1917759552380183,1.1917759552380183,0.0,0.0,0.0,11.594530020086834,1,11.594530020086626
b0116,1.085837785756473,1.085837785756473,0.0,0.0,0.0,9.624846505736594,3,9.624846505736867
b0115,1.085837785756473,1.085837785756473,0.0,0.0,0.0,9.624846505736594,1,9.624846505736867
b0114,1.085837785756473,1.085837785756473,0.0,0.0,0.0,9.624846505736594,1,9.624846505736867
b3916,0.8085462831429018,0.8085462831429018,0.0,0.0,0.0,5.336710954837904,3,9.490141723290314
b1723,0.8085462831429018,0.8085462831429018,0.0,0.0,0.0,5.336710954837904,1,9.490141723290314
b1773,0.8085462831429018,0.8085462831429018,0.0,0.0,0.0,5.336710954837904,1,9.490141723290312
b2925,0.8085462831429018,0.8085462831429018,0.0,0.0,0.0,5.336710954837904,2,9.490141723290312
b2097,0.8085462831429018,0.8085462831429018,0.0,0.0,0.0,5.336710954837904,1,9.490141723290312
b3919,1.0585200075910937,1.0585200075910937,0.0,0.0,0.0,9.146649848721097,1,9.146649848720998
b4025,0.7985855559359276,0.7985855559359276,0.0,0.0,0.0,5.206031756235614,1,5.20603175623541
b0720,0.6444470983862889,0.6444470983862889,0.0,0.0,0.0,3.3903025516869434,1,3.390302551686155
b0118,0.6444470983862889,0.6444470983862889,0.0,0.0,0.0,3.3903025516869434,3,3.390302551686155
b1276,0.6444470983862889,0.6444470983862889,0.0,0.0,0.0,3.3903025516869434,2,3.390302551686155
b1136,0.6444470983862889,0.6444470983862889,0.0,0.0,0.0,3.3903025516869434,1,3.390302551686154
b4122,0.639939043287149,0.639939043287149,0.0,0.0,0.0,3.3430365639753505,2,3.3430365639747155
b1611,0.639939043287149,0.639939043287149,0.0,0.0,0.0,3.3430365639753505,1,3.3430365639747155
b1612,0.639939043287149,0.639939043287149,0.0,0.0,0.0,3.3430365639753505,1,3.3430365639747155
b3236,0.6398056746482865,0.6398056746482865,0.0,0.0,0.0,3.3416432757214385,1,3.341643275720806
b1852,0.6014144440782117,0.6014144440782117,0.0,0.0,0.0,2.952647620709422,1,2.952647620709575
b0767,0.6014144440782117,0.6014144440782117,0.0,0.0,0.0,2.952647620709422,1,2.9526476207095738
b2029,0.6014144440782117,0.6014144440782117,0.0,0.0,0.0,2.952647620709422,1,2.9526476207095738
b2501,0.488264119821761,0.488264119821761,0.0,0.0,0.0,1.9461375567466095,2,2.64715310087908
