gene,kappa_mu,kappa_vg_all,kappa_vg_int,kappa_dual_int,kappa_dual_all,kappa_c,kappa_v_lex,n_rxns
b3735,30.87232679702339,30.87232679702339,30.87232679702339,0.0,0.0,0.0,828.1915631730319,1
b3736,30.87232679702339,30.87232679702339,30.87232679702339,0.0,0.0,0.0,828.1915631730319,1
b3737,30.87232679702339,30.87232679702339,30.87232679702339,0.0,0.0,0.0,828.1915631730319,1
b3738,30.87232679702339,30.87232679702339,30.87232679702339,0.0,0.0,0.0,828.1915631730319,1
b3739,30.87232679702339,30.87232679702339,30.87232679702339,0.0,0.0,0.0,828.1915631730319,1
b3732,30.87232679702339,30.87232679702339,30.87232679702339,0.0,0.0,0.0,828.1915631730319,1
b3733,30.87232679702339,30.87232679702339,30.87232679702339,0.0,0.0,0.0,828.1915631730319,1
b3734,30.87232679702339,30.87232679702339,30.87232679702339,0.0,0.0,0.0,828.1915631730319,1
b3731,30.87232679702339,30.87232679702339,30.87232679702339,0.0,0.0,0.0,828.1915631730319,1
b0875,21.167846928309075,21.167846928309075,21.167846928309075,0.0,0.0,0.0,470.29269201010425,1
b0241,46.618039367601085,46.618039367601085,46.618039367601085,0.0,0.0,0.0,470.29269201010425,270
b0957,21.167846928309075,21.167846928309075,21.167846928309075,0.0,0.0,0.0,470.29269201010425,1
b3875,21.167846928309075,21.167846928309075,21.167846928309075,0.0,0.0,0.0,470.29269201010425,1
b2215,46.618039367601085,46.618039367601085,46.618039367601085,0.0,0.0,0.0,470.29269201010425,271
b0929,46.618039367601085,46.618039367601085,46.618039367601085,0.0,0.0,0.0,470.29269201010425,271
b1377,46.618039367601085,46.618039367601085,46.618039367601085,0.0,0.0,0.0,470.29269201010425,270
b1319,21.167846928309075,21.167846928309075,21.167846928309075,0.0,0.0,0.0,470.29269201010425,1
b0431,21.80229366132488,21.80229366132488,21.80229366132488,0.0,0.0,0.0,260.47084363732085,1
b0432,21.80229366132488,21.80229366132488,21.80229366132488,0.0,0.0,0.0,260.47084363732085,1
b0430,21.80229366132488,21.80229366132488,21.80229366132488,0.0,0.0,0.0,260.47084363732085,1
b0429,21.80229366132488,21.80229366132488,21.80229366132488,0.0,0.0,0.0,260.47084363732085,1
b2285,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2283,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2286,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2276,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2281,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2277,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2278,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2279,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2287,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2288,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2284,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2282,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b2280,13.217630215272564,13.217630215272564,13.217630215272564,0.0,0.0,0.0,195.83025491577212,3
b1779,10.437022662741896,10.437022662741896,10.437022662741896,0.0,0.0,0.0,2.078659912174713,2
b2926,10.437022662741896,10.437022662741896,10.437022662741896,0.0,0.0,0.0,2.078659912174713,1
b2779,10.05628968202953,9.387729022516574,9.387729022516574,0.0,0.0,0.0,4.076803740807357,1
b0755,10.05628968202953,9.387729022516574,9.387729022516574,0.0,0.0,0.0,4.076803740807357,1
b3612,10.05628968202953,9.387729022516574,9.387729022516574,0.0,0.0,0.0,4.076803740807357,1
b4395,10.05628968202953,9.387729022516574,9.387729022516574,0.0,0.0,0.0,4.076803740807357,1
b0451,3.8249629484888317,3.8249629484888317,3.8249629484888317,0.0,0.0,0.0,12.79268542823169,1
b2417,1.7554273057385217e-06,1.7554273057385217e-06,1.7554273057385217e-06,0.13500121501892853,0.13500121501892853,0.0,9.82619409058744e-16,6
b1101,1.7554273057385217e-06,1.7554273057385217e-06,1.7554273057385217e-06,0.0,0.0,0.0,9.82619409058744e-16,2
b2415,10.056289682052185,9.83894497575923,9.83894497575923,0.13500121501892853,0.13500121501892853,0.0,10.715794981499549,18
b2416,10.056289682052185,9.83894497575923,9.83894497575923,0.13500121501892853,0.13500121501892853,0.0,10.715794981499549,19
b1819,1.7554273057385217e-06,1.7554273057385217e-06,1.7554273057385217e-06,0.0,0.0,0.0,9.82619409058744e-16,5
b1817,1.7554273057385217e-06,1.7554273057385217e-06,1.7554273057385217e-06,0.0,0.0,0.0,9.82619409058744e-16,5
b1621,1.7554273057385217e-06,1.7554273057385217e-06,1.7554273057385217e-06,0.13500121501892853,0.13500121501892853,0.0,9.82619409058744e-16,2
b1818,1.7554273057385217e-06,1.7554273057385217e-06,1.7554273057385217e-06,0.0,0.0,0.0,9.82619409058744e-16,5
b1761,3.0284693402846656,3.0284693402846656,3.0284693402846656,0.0,0.0,0.0,8.06716096728468,1
b0116,50.28144841036744,39.97976189374144,39.97976189374144,0.024937465230506217,0.024937465230506217,0.0,16.737872007519957,3
b0115,50.28144841036744,39.97976189374144,39.97976189374144,0.0027708294700562203,0.0027708294700562203,0.0,16.737872007519957,1
b0114,50.28144841036744,39.97976189374144,39.97976189374144,0.0027708294700562203,0.0027708294700562203,0.0,16.737872007519957,1
b3916,10.558585047318228,10.558585047318228,10.558585047318228,0.0,0.0,0.0,3.209545166322035,3
b1723,10.558585047318228,10.558585047318228,10.558585047318228,0.0,0.0,0.0,3.209545166322035,1
b1773,10.558585047318228,10.558585047318228,10.558585047318228,0.0,0.0,0.0,3.209545166322035,1
b2925,10.558585047318228,10.558585047318228,10.558585047318228,0.0,0.0,0.0,3.209545166322035,2
b2097,10.558585047318228,10.558585047318228,10.558585047318228,0.0,0.0,0.0,3.209545166322035,1
b3919,10.276468761436806,10.276468761436806,10.276468761436806,0.0,0.0,0.0,0.9598888656085484,1
b4025,30.48009580557072,30.48009580557072,30.48009580557072,0.0,0.0,0.0,3.740457073755674,1
b0720,8.847807549089168,8.847807549089168,8.847807549089168,0.0,0.0,0.0,5.717519981903314,1
b0118,8.847807549089168,8.847807549089168,8.847807549089168,0.0,0.0,0.0,5.717519981903314,3
b1276,8.847807549089168,8.847807549089168,8.847807549089168,0.0,0.0,0.0,5.717519981903314,2
b1136,8.847807549089168,8.847807549089168,8.847807549089168,0.0,0.0,0.0,5.717519981903314,1
b4122,8.836351950752583,8.836351950752583,8.836351950752583,0.0,0.0,0.0,5.666406983385698,2
b1611,8.836351950752583,8.836351950752583,8.836351950752583,0.0,0.0,0.0,5.666406983385698,1
b1612,8.836351950752583,8.836351950752583,8.836351950752583,0.0,0.0,0.0,5.666406983385698,1
b3236,8.731445184353891,8.731445184353891,8.731445184353891,0.0,0.0,0.0,5.662534721794945,1
b1852,30.480094050143414,30.480094050143414,30.480094050143414,0.0,0.0,0.0,3.740457073755675,1
b0767,30.480094050143414,30.480094050143414,30.480094050143414,0.004618049116760399,0.004618049116760399,0.0,3.740457073755675,1
b2029,30.480094050143414,30.480094050143414,30.480094050143414,0.0,0.0,0.0,3.740457073755675,1
b2501,1.2407473991582645,1.2407473991582645,1.2407473991582645,0.0,0.0,0.0,1.346089704354017,2
b0722,8.467280039123576,8.467280039123576,8.467280039123576,0.0,0.0,0.0,4.142470403748578,1
b0723,8.467280039123576,8.467280039123576,8.467280039123576,0.0,0.0,0.0,4.142470403748578,1
b0724,8.467280039123576,8.467280039123576,8.467280039123576,0.0,0.0,0.0,4.142470403748578,1
b0721,8.467280039123576,8.467280039123576,8.467280039123576,0.0,0.0,0.0,4.142470403748578,1
b0726,8.46704312199461,8.46704312199461,8.46704312199461,0.024937465230506217,0.024937465230506217,0.0,4.141568653740348,1
b0727,8.46704312199461,8.46704312199461,8.46704312199461,0.024937465230506217,0.024937465230506217,0.0,4.141568653740348,1
b3380,0.00023833367383188078,0.00023833367383188078,0.00023833367383188078,0.0,0.0,0.0,4.966815990074346e-08,1
b4383,0.00023833367383188078,0.00023833367383188078,0.00023833367383188078,0.0,0.0,0.0,4.966815990074346e-08,2
b4094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
b0728,8.281171187303068,8.281171187303068,8.281171187303068,0.0,0.0,0.0,3.9457010756111894,1
b0729,8.281171187303068,8.281171187303068,8.281171187303068,0.0,0.0,0.0,3.9457010756111894,1
b3956,1.048015845948946,1.048015845948946,1.048015845948946,0.0,0.0,0.0,0.9601783931237832,1
b0928,1.036797164741463,1.036797164741463,1.036797164741463,0.0,0.0,0.0,0.9399285845539241,3
