gene_id,gene_name,n_gpr_rxns,n_changed,b_wt,b_ko,delta_b,y_essential,kV,bnum,keio_call,PEC,MG_Tn5,Score
b1377,,270,455,15.44424150377654,0.0,15.44424150377654,1,13601064.29713598,b1377,N,,,
b2215,,271,455,15.44424150377654,0.0,15.44424150377654,1,13601064.29713598,b2215,N,,,
b0929,,271,455,15.44424150377654,0.0,15.44424150377654,1,13601064.29713598,b0929,N,,,
b0241,,270,455,15.44424150377654,0.0,15.44424150377654,1,13601064.29713598,b0241,N,,,
b4034,,6,8,15.44424150377654,15.444241503776595,-5.506706202140776e-14,0,18317.032906994977,b4034,N,,,
b4033,,6,8,15.44424150377654,15.44424150377646,7.993605777301127e-14,0,18317.032906994737,b4033,N,,,
b4032,,6,8,15.44424150377654,15.44424150377646,7.993605777301127e-14,0,18317.032906994737,b4032,N,,,
b4035,,6,8,15.44424150377654,15.44424150377646,7.993605777301127e-14,0,18317.032906994737,b4035,N,,,
b4036,,7,6,15.44424150377654,15.44424150377646,7.993605777301127e-14,0,18117.032906994737,b4036,N,,,
b4213,,8,6,15.44424150377654,15.44424150377646,7.993605777301127e-14,0,18117.032906994737,b4213,N,,,
b2835,,21,6,15.44424150377654,15.44424150377646,7.993605777301127e-14,0,18117.032906994737,b2835,N,,,
b2836,,23,469,15.44424150377654,15.050509393827964,0.3937321099485764,0,58237.54429383565,b2836,N,,,
b3553,,10,6,15.44424150377654,15.444241503776782,-2.415845301584341e-13,0,18117.03290699554,b3553,N,,,
b1134,,2,6,15.44424150377654,15.444241503776444,9.592326932761353e-14,0,18117.03290699465,b1134,N,,,
b0446,,2,6,15.44424150377654,15.444241503776444,9.592326932761353e-14,0,18117.03290699465,b0446,N,,,
b1009,,1,6,15.44424150377654,15.444241503776444,9.592326932761353e-14,0,18117.03290699465,b1009,N,,,
b0954,,13,6,15.44424150377654,15.444241503776444,9.592326932761353e-14,0,18117.03290699465,b0954,E,E,u,3
b0180,,14,448,15.44424150377654,0.0,15.44424150377654,1,2111094.9919648757,b0180,E,E,u,3
b0347,,2,6,15.44424150377654,15.444241503776215,3.250733016102459e-13,0,18117.03290699398,b0347,N,,,
b3580,,2,6,15.44424150377654,15.444241503776464,7.638334409421078e-14,0,18117.0329069947,b3580,N,,,
b1093,,14,448,15.44424150377654,1.5610721400768961e-15,15.44424150377654,1,2111094.991964898,b1093,E,E,u,3
b2323,,13,448,15.44424150377654,0.0,15.44424150377654,1,2111094.991964876,b2323,E,E,u,3
b1095,,9,448,15.44424150377654,0.0,15.44424150377654,1,2111094.991964876,b1095,N,,,
b1397,,2,6,15.44424150377654,15.444241503776595,-5.506706202140776e-14,0,18117.03290699509,b1397,N,,,
b1245,,2,6,15.44424150377654,15.444241503776151,3.890221478286549e-13,0,18117.0329069938,b1245,N,,,
b1244,,2,6,15.44424150377654,15.444241503776151,3.890221478286549e-13,0,18117.0329069938,b1244,N,,,
b1329,,1,6,15.44424150377654,15.444241503776151,3.890221478286549e-13,0,18117.0329069938,b1329,N,,,
b1247,,2,6,15.44424150377654,15.444241503776151,3.890221478286549e-13,0,18117.0329069938,b1247,N,,,
b1386,,3,6,15.44424150377654,15.444241503776151,3.890221478286549e-13,0,18117.0329069938,b1386,N,,,
b0004,,2,448,15.44424150377654,2.2277955387260253e-14,15.444241503776516,1,2111094.9919647705,b0004,N,,,
b1192,,4,6,15.44424150377654,15.444241503776691,-1.5276668818842157e-13,0,18117.0329069953,b1192,N,,,
b1243,,1,6,15.44424150377654,15.444241503776151,3.890221478286549e-13,0,18117.0329069938,b1243,N,,,
b4266,,1,6,15.44424150377654,15.444241503776151,3.890221478286549e-13,0,18117.0329069938,b4266,N,,,
b4265,,3,6,15.44424150377654,15.444241503776151,3.890221478286549e-13,0,18117.0329069938,b4265,N,,,
b0159,,3,448,15.44424150377654,3.262664944439995e-15,15.444241503776537,1,2111094.991964773,b0159,N,,,
b3197,,1,448,15.44424150377654,0.0,15.44424150377654,1,2111094.9919648594,b3197,N,,,
b2708,,1,448,15.44424150377654,0.0,15.44424150377654,1,2111094.9919648767,b2708,N,,,
b1094,,26,448,15.44424150377654,0.0,15.44424150377654,1,2111094.9919648767,b1094,E,E,u,2.5
b1927,,1,6,15.44424150377654,15.44424150377679,-2.504663143554353e-13,0,18117.03290699549,b1927,N,,,
b3571,,1,6,15.44424150377654,15.44424150377679,-2.504663143554353e-13,0,18117.03290699549,b3571,N,,,
b2901,,1,6,15.44424150377654,15.44424150377679,-2.504663143554353e-13,0,18117.03290699549,b2901,N,,,
b1302,,1,6,15.44424150377654,15.44424150377679,-2.504663143554353e-13,0,18117.03290699549,b1302,N,,,
b2662,,1,6,15.44424150377654,15.44424150377679,-2.504663143554353e-13,0,18117.03290699549,b2662,N,,,
b1444,,1,6,15.44424150377654,15.44424150377679,-2.504663143554353e-13,0,18117.03290699549,b1444,N,,,
b2663,,1,6,15.44424150377654,15.44424150377679,-2.504663143554353e-13,0,18117.03290699549,b2663,N,,,
b2222,,3,6,15.44424150377654,15.44424150377679,-2.504663143554353e-13,0,18117.03290699549,b2222,N,,,
b2221,,3,6,15.44424150377654,15.44424150377679,-2.504663143554353e-13,0,18117.03290699549,b2221,N,,,
b2224,,1,469,15.44424150377654,15.050509393828268,0.3937321099482727,0,58237.54429384934,b2224,N,,,
b2342,,8,469,15.44424150377654,15.050509393827832,0.3937321099487079,0,58237.54429383169,b2342,N,,,
b2223,,3,6,15.44424150377654,15.444241503776402,1.3855583347321956e-13,0,18117.03290699456,b2223,N,,,
b1241,,2,462,15.44424150377654,13.036694232478183,2.407547271298357,0,7836941.74419484,b1241,N,,,
b0351,,1,462,15.44424150377654,13.036694232479713,2.407547271296828,0,7836941.744194291,b0351,N,,,
b1463,,1,16,15.44424150377654,15.444241503776553,-1.2434497875801752e-14,0,1381161.183156151,b1463,N,,,
b1993,,2,16,15.44424150377654,15.444241503776238,3.0198066269804263e-13,0,1381161.1831561436,b1993,N,,,
b2316,,1,455,15.44424150377654,3.598532595380045e-15,15.444241503776537,1,2557560.588534594,b2316,E,E,u,2
b3255,,1,455,15.44424150377654,0.0,15.44424150377654,1,2557560.588534595,b3255,E,E,u,2.5
b0185,,1,455,15.44424150377654,0.0,15.44424150377654,1,2557560.588534595,b0185,E,E,u,3
b3256,,1,455,15.44424150377654,0.0,15.44424150377654,1,2557560.588534595,b3256,E,E,u,2.5
b4069,,2,16,15.44424150377654,15.444241503776322,2.184918912462308e-13,0,1381161.1831561476,b4069,N,,,
b1119,,1,16,15.44424150377654,15.44424150377664,-9.947598300641405e-14,0,1381161.183156158,b1119,N,,,
b3784,,1,16,15.44424150377654,15.44424150377664,-9.947598300641405e-14,0,1381161.183156158,b3784,N,,,
b2415,,18,451,15.44424150377654,13.188352284424315,2.2558892193522238,0,1996762.781129256,b2415,N,,,
b0679,,1,7,15.44424150377654,15.4442415037766,-6.039613253960853e-14,0,18038.73105522356,b0679,N,,,
b1101,,2,422,15.44424150377654,15.43839156740992,0.0058499363666193,0,1421901.7276930187,b1101,N,,,
b2417,,6,450,15.44424150377654,13.188352284422862,2.255889219353678,0,3023024.857495331,b2417,N,,,
b2416,,19,450,15.44424150377654,13.18835228442337,2.25588921935317,0,3023024.8574954006,b2416,N,,,
b3959,,1,451,15.44424150377654,1.512979838136287e-15,15.44424150377654,1,5940030.050229404,b3959,N,,,
b2818,,1,451,15.44424150377654,0.0,15.44424150377654,1,5940030.050229287,b2818,N,,,
b0078,,2,450,15.44424150377654,0.0,15.44424150377654,1,4734625.456127627,b0078,N,,,
b3670,,2,450,15.44424150377654,0.0,15.44424150377654,1,4734625.45612765,b3670,N,,,
b3671,,2,450,15.44424150377654,0.0,15.44424150377654,1,4734625.45612765,b3671,N,,,
b3115,,2,456,15.44424150377654,13.858342429606472,1.5858990741700687,0,3872274.328889007,b3115,N,,,
b1849,,2,457,15.44424150377654,13.858342429606385,1.5858990741701575,0,3872280.408772819,b1849,N,,,
b2296,,1,457,15.44424150377654,13.858342429606449,1.5858990741700936,0,3872280.40877282,b2296,N,,,
b2428,,1,13,15.44424150377654,15.444241503776444,9.769962616701379e-14,0,22545.165285472853,b2428,N,,,
b3794,,1,13,15.44424150377654,15.44424150377645,9.059419880941277e-14,0,22545.165285473216,b3794,N,,,
b1818,,5,424,15.44424150377654,15.43839156740968,0.0058499363668609,0,1426456.9008294118,b1818,N,,,
b1817,,5,424,15.44424150377654,15.438391567409775,0.0058499363667632,0,1426456.900829415,b1817,N,,,
b2429,,2,22,15.44424150377654,15.44424150377653,1.0658141036401504e-14,0,1385667.6173864044,b2429,N,,,
b3225,,1,22,15.44424150377654,15.44424150377652,1.9539925233402755e-14,0,1385667.6173864035,b3225,N,,,
b0221,,8,475,15.44424150377654,15.05050939382704,0.3937321099495001,0,1432116.282984552,b0221,N,,,
b1091,,3,453,15.44424150377654,1.1898013697938988e-14,15.444241503776528,1,3434323.327793149,b1091,N,,,
b3957,,2,453,15.44424150377654,0.0,15.44424150377654,1,3434323.32779313,b3957,N,,,
b3200,,9,453,15.44424150377654,0.0,15.44424150377654,1,3434323.3277931046,b3200,E,u,u,1.5
b4261,,9,453,15.44424150377654,0.0,15.44424150377654,1,3434323.3277931698,b4261,E,u,u,2
b3201,,9,453,15.44424150377654,0.0,15.44424150377654,1,3434323.3277931698,b3201,N,,,
b3199,,9,453,15.44424150377654,0.0,15.44424150377654,1,3434323.3277931698,b3199,E,E,u,2.5
b1519,,1,22,15.44424150377654,15.444241503776688,-1.4743761767022081e-13,0,1385667.6173864102,b1519,N,,,
b1276,,2,465,15.44424150377654,-2.638523182293807e-13,15.444241503776803,1,2837056.087050326,b1276,N,,,
b0118,,3,465,15.44424150377654,0.0,15.44424150377654,1,2837056.0870502368,b0118,N,,,
b1748,,2,465,15.44424150377654,0.0,15.44424150377654,1,2837056.0870502368,b1748,N,,,
b3359,,2,465,15.44424150377654,0.0,15.44424150377654,1,2837056.087050254,b3359,N,,,
b1090,,7,22,15.44424150377654,15.444241503776544,-3.552713678800501e-15,0,1385667.6173864056,b1090,N,,,
b3475,,1,22,15.44424150377654,15.444241503776423,1.1546319456101628e-13,0,1385667.6173864,b3475,N,,,
b2563,,1,22,15.44424150377654,15.444241503776423,1.1546319456101628e-13,0,1385667.6173864,b2563,E,E,u,3
b2578,,2,22,15.44424150377654,15.444241503776423,1.1546319456101628e-13,0,1385667.6173864,b2578,N,,,
b4067,,2,22,15.44424150377654,15.444241503776423,1.1546319456101628e-13,0,1385667.6173864,b4067,N,,,
b1623,,2,22,15.44424150377654,15.444241503776423,1.1546319456101628e-13,0,1385667.6173864,b1623,N,,,
b1096,,1,452,15.44424150377654,-1.4441516884421435e-11,15.444241503790982,1,2729497.7313985545,b1096,N,,,
b1812,,2,452,15.44424150377654,3.5147921700619635e-26,15.44424150377654,1,2729497.7313961987,b1812,N,,,
b3360,,1,452,15.44424150377654,3.5147921700619635e-26,15.44424150377654,1,2729497.7313961987,b3360,N,,,
