source,target,source_reactions,target_reactions,transition_type
R_0,R_1,"r1, r2","r1, r2, r3",inclusion (optic morphism)
R_0,R_2,"r1, r2","r1, r2, r5",inclusion (optic morphism)
R_1,R_3,"r1, r2, r3","r1, r2, r3, r4",inclusion (optic morphism)
R_1,R_4,"r1, r2, r3","r1, r2, r3, r5",inclusion (optic morphism)
R_2,R_4,"r1, r2, r5","r1, r2, r3, r5",inclusion (optic morphism)
R_3,R_5,"r1, r2, r3, r4","r1, r2, r3, r4, r5",inclusion (optic morphism)
R_3,R_6,"r1, r2, r3, r4","r1, r2, r3, r4, r7",inclusion (optic morphism)
R_4,R_5,"r1, r2, r3, r5","r1, r2, r3, r4, r5",inclusion (optic morphism)
R_5,R_7,"r1, r2, r3, r4, r5","r1, r2, r3, r4, r5, r6",inclusion (optic morphism)
R_5,R_8,"r1, r2, r3, r4, r5","r1, r2, r3, r4, r5, r7",inclusion (optic morphism)
R_6,R_8,"r1, r2, r3, r4, r7","r1, r2, r3, r4, r5, r7",inclusion (optic morphism)
R_7,R_9,"r1, r2, r3, r4, r5, r6","r1, r2, r3, r4, r5, r6, r7",inclusion (optic morphism)
R_7,R_10,"r1, r2, r3, r4, r5, r6","r1, r2, r3, r4, r5, r6, r8",inclusion (optic morphism)
R_8,R_9,"r1, r2, r3, r4, r5, r7","r1, r2, r3, r4, r5, r6, r7",inclusion (optic morphism)
R_9,R_11,"r1, r2, r3, r4, r5, r6, r7","r1, r2, r3, r4, r5, r6, r7, r8",inclusion (optic morphism)
R_9,R_12,"r1, r2, r3, r4, r5, r6, r7","r1, r2, r3, r4, r5, r6, r7, r9",inclusion (optic morphism)
R_10,R_11,"r1, r2, r3, r4, r5, r6, r8","r1, r2, r3, r4, r5, r6, r7, r8",inclusion (optic morphism)
R_11,R_13,"r1, r2, r3, r4, r5, r6, r7, r8","r1, r2, r3, r4, r5, r6, r7, r8, r9",inclusion (optic morphism)
R_12,R_13,"r1, r2, r3, r4, r5, r6, r7, r9","r1, r2, r3, r4, r5, r6, r7, r8, r9",inclusion (optic morphism)
R_13,R_14,"r1, r2, r3, r4, r5, r6, r7, r8, r9","r1, r10, r2, r3, r4, r5, r6, r7, r8, r9",inclusion (optic morphism)
R_14,R_15,"r1, r10, r2, r3, r4, r5, r6, r7, r8, r9","r1, r10, r11, r2, r3, r4, r5, r6, r7, r8, r9",inclusion (optic morphism)
