node,reactions,cardinality,state_size,residual_D_phi,h_alpha,grad_F,kappa_alpha,is_limit
R_0,"r1, r2",2,4,2.000000,2.000000,2.000000,0.000000000,False
R_1,"r1, r2, r3",3,5,4.500000,4.500000,3.000000,0.000000000,False
R_2,"r1, r2, r5",3,5,4.500000,4.500000,3.000000,0.000000000,False
R_3,"r1, r2, r3, r4",4,6,8.000000,8.000000,4.000000,0.000000000,False
R_4,"r1, r2, r3, r5",4,6,8.000000,8.000000,4.000000,0.000000000,False
R_5,"r1, r2, r3, r4, r5",5,7,12.500000,12.500000,5.000000,0.000000000,False
R_6,"r1, r2, r3, r4, r7",5,7,12.500000,12.500000,5.000000,0.000000000,False
R_7,"r1, r2, r3, r4, r5, r6",6,8,18.000000,18.000000,6.000000,0.000000000,False
R_8,"r1, r2, r3, r4, r5, r7",6,8,18.000000,18.000000,6.000000,0.000000000,False
R_9,"r1, r2, r3, r4, r5, r6, r7",7,9,24.500000,24.500000,7.000000,0.000000000,False
R_10,"r1, r2, r3, r4, r5, r6, r8",7,9,24.500000,24.500000,7.000000,0.000000000,False
R_11,"r1, r2, r3, r4, r5, r6, r7, r8",8,10,32.000000,32.000000,8.000000,0.000000000,False
R_12,"r1, r2, r3, r4, r5, r6, r7, r9",8,10,32.000000,32.000000,8.000000,0.000000000,False
R_13,"r1, r2, r3, r4, r5, r6, r7, r8, r9",9,11,40.500000,40.500000,9.000000,0.000000000,False
R_14,"r1, r10, r2, r3, r4, r5, r6, r7, r8, r9",10,12,50.000000,50.000000,10.000000,0.000000000,False
R_15,"r1, r10, r11, r2, r3, r4, r5, r6, r7, r8, r9",11,13,60.500000,60.500000,0.000000,0.000000000,True
