optic,name,d,type,analytic_bound,numerical_estimate,bound_holds
1,RAF,2,contracting,0.92,0.9139878923529967,True
2,RPSI,2,expansion,1.15,1.1500000000000008,True
3,IFS,2,contracting,0.92,0.9150454739911545,True
4,Noether,2,contracting,0.92,0.9148750956343049,True
5,Perturbation,2,contracting,0.92,0.9154085668429143,True
6,WCIG,2,contracting,0.92,0.9126686441949969,True
7,n=3_FR,2,contracting,0.92,0.9170412701638105,True
1,RAF,3,contracting,0.92,0.9036203123346597,True
2,RPSI,3,expansion,1.15,1.1500000000000012,True
3,IFS,3,contracting,0.92,0.895218113003682,True
4,Noether,3,contracting,0.92,0.9024861686312865,True
5,Perturbation,3,contracting,0.92,0.9008363928553138,True
6,WCIG,3,contracting,0.92,0.9078595771690836,True
7,n=3_FR,3,contracting,0.92,0.8955481203827024,True
1,RAF,5,contracting,0.92,0.8871407702644816,True
2,RPSI,5,expansion,1.15,1.1500000000000004,True
3,IFS,5,contracting,0.92,0.8962173291855983,True
4,Noether,5,contracting,0.92,0.8805518389016964,True
5,Perturbation,5,contracting,0.92,0.8809584039090493,True
6,WCIG,5,contracting,0.92,0.8847235510548109,True
7,n=3_FR,5,contracting,0.92,0.8733498125622753,True
1,RAF,10,contracting,0.92,0.8441429947309541,True
2,RPSI,10,expansion,1.15,1.1500000000000001,True
3,IFS,10,contracting,0.92,0.82077461216123,True
4,Noether,10,contracting,0.92,0.8292425995482048,True
5,Perturbation,10,contracting,0.92,0.8156574831072244,True
6,WCIG,10,contracting,0.92,0.8624750434990609,True
7,n=3_FR,10,contracting,0.92,0.8201645492991034,True
1,RAF,20,contracting,0.92,0.7802820331907715,True
2,RPSI,20,expansion,1.15,1.1500000000000004,True
3,IFS,20,contracting,0.92,0.7645018001037089,True
4,Noether,20,contracting,0.92,0.7848486349669797,True
5,Perturbation,20,contracting,0.92,0.7908975945112221,True
6,WCIG,20,contracting,0.92,0.791835622957678,True
7,n=3_FR,20,contracting,0.92,0.7726485912247116,True
