t,growth,D1,D2,event,event_S,event_B,theta_deg
1,0.08647858263,2.485102607,nan,0,0,0,nan
1.036144578,0.09007654741,2.485102607,6.537321015e-12,0,0,0,0
1.072289157,0.09367451219,2.485102607,5.170678605e-12,0,0,0,8.537736463e-07
1.108433735,0.09727247697,2.485102607,1.082430976e-11,0,0,0,0
1.144578313,0.1008704417,2.485102607,1.466535709e-11,0,0,0,0
1.180722892,0.1044684065,2.485102607,5.581696492e-12,0,0,0,8.537736463e-07
1.21686747,0.1080663713,2.485102607,8.081932149e-12,0,0,0,0
1.253012048,0.1116643361,2.485102607,9.428416913e-12,0,0,0,0
1.289156627,0.1152623009,2.485102607,9.063241917e-12,0,0,0,0
1.325301205,0.1188602656,2.485102607,9.931776251e-12,0,0,0,0
1.361445783,0.1224582304,2.485102607,1.189015919e-11,0,0,0,0
1.397590361,0.1260561952,2.485102607,8.502920627e-12,0,0,0,8.537736463e-07
1.43373494,0.12965416,2.485102607,6.40386903e-12,0,0,0,0
1.469879518,0.1332521248,2.485102607,4.03379675e-12,0,0,0,0
1.506024096,0.1368500895,2.485102607,6.084652035e-12,0,0,0,0
1.542168675,0.1404480543,2.485102607,4.41512777e-12,0,0,0,8.537736463e-07
1.578313253,0.1440460191,2.485102607,5.982180423e-12,0,0,0,8.537736463e-07
1.614457831,0.1476439839,2.485102607,5.606693425e-12,0,0,0,0
1.65060241,0.1512419487,2.485102607,9.265849843e-12,0,0,0,0
1.686746988,0.1548399134,2.485102607,8.224816005e-12,0,0,0,0
1.722891566,0.1584378782,2.485102607,5.240248311e-12,0,0,0,0
1.759036145,0.162035843,2.485102607,4.28609553e-12,0,0,0,0
1.795180723,0.1656338078,2.485102607,5.08880984e-12,0,0,0,0
1.831325301,0.1692317726,2.485102607,1.007029476e-12,0,0,0,0
1.86746988,0.1728297373,2.485102607,2.755682371e-11,0,0,0,8.537736463e-07
1.903614458,0.1764277021,2.485102607,2.797247787e-11,0,0,0,8.537736463e-07
1.939759036,0.1800256669,2.485102607,2.26926517e-11,0,0,0,0
1.975903614,0.1836236317,2.485102607,2.438309446e-11,0,0,0,0
2.012048193,0.1872215965,2.485102607,1.106617823e-11,0,0,0,8.537736463e-07
2.048192771,0.1908195612,2.485102607,2.286771201e-11,0,0,0,0
2.084337349,0.194417526,2.485102607,4.735237489e-11,0,0,0,0
2.120481928,0.1980154908,2.485102607,4.74792555e-11,0,0,0,0
2.156626506,0.2016134556,2.485102607,3.485646289e-11,0,0,0,0
2.192771084,0.2052114204,2.485102607,2.977690372e-11,0,0,0,0
2.228915663,0.2088093851,2.485102607,2.444076246e-11,0,0,0,0
2.265060241,0.2124073499,2.485102607,2.775983672e-11,0,0,0,0
2.301204819,0.2160053147,2.485102607,2.775829862e-11,0,0,0,8.537736463e-07
2.337349398,0.2196032795,2.485102607,2.151603656e-11,0,0,0,0
2.373493976,0.2232012442,2.485102607,4.915719583e-11,0,0,0,0
2.409638554,0.226799209,2.485102607,2.840129127e-11,0,0,0,0
2.445783133,0.2303971738,2.485102607,1.075550124e-11,0,0,0,0
2.481927711,0.2339951386,2.485102607,2.268131683e-11,0,0,0,0
2.518072289,0.2375931034,2.485102607,4.079964871e-11,0,0,0,0
2.554216867,0.2411910681,2.485102607,2.633289107e-11,0,0,0,8.537736463e-07
2.590361446,0.2447890329,2.485102607,3.247103824e-11,0,0,0,0
2.626506024,0.2483869977,2.485102607,5.42902214e-11,0,0,0,0
2.662650602,0.2519849625,2.485102607,3.309542512e-11,0,0,0,8.537736463e-07
2.698795181,0.2555829273,2.485102607,5.813523687e-12,0,0,0,0
2.734939759,0.259180892,2.485102607,2.416054661e-11,0,0,0,0
2.771084337,0.2627788568,2.485102607,5.364178208e-11,0,0,0,0
2.807228916,0.2663768216,2.485102607,3.779251624e-11,0,0,0,0
2.843373494,0.2699747864,2.485102607,3.796650045e-12,0,0,0,0
2.879518072,0.2735727512,2.485102607,1.079964675e-11,0,0,0,0
2.915662651,0.2771707159,2.485102607,1.003756362e-11,0,0,0,0
2.951807229,0.2807686807,2.485102607,2.283699812e-12,0,0,0,0
2.987951807,0.2843666455,2.485102607,2.847084107e-11,0,0,0,0
3.024096386,0.2879646103,2.485102607,5.087961995e-11,0,0,0,8.537736463e-07
3.060240964,0.2915625751,2.485102607,4.946362623e-11,0,0,0,8.537736463e-07
3.096385542,0.2951605398,2.485102607,3.105555153e-11,0,0,0,0
3.13253012,0.2987585046,2.485102607,1.946600801e-11,0,0,0,0
3.168674699,0.3023564694,2.485102607,9.476716537e-12,0,0,0,0
3.204819277,0.3059544342,2.485102607,8.622007706e-12,0,0,0,0
3.240963855,0.309552399,2.485102607,1.753077406e-12,0,0,0,0
3.277108434,0.3131503637,2.485102607,2.108696287e-11,0,0,0,0
3.313253012,0.3167483285,2.485102607,3.172851836e-11,0,0,0,0
3.34939759,0.3203462933,2.485102607,1.570973873e-11,0,0,0,8.537736463e-07
3.385542169,0.3239442581,2.485102607,9.269066544e-12,0,0,0,8.537736463e-07
3.421686747,0.3275422229,2.485102607,2.370346675e-11,0,0,0,8.537736463e-07
3.457831325,0.3311401876,2.485102607,2.705672659e-11,0,0,0,0
3.493975904,0.3347381524,2.485102607,1.180167179e-11,0,0,0,0
