t,growth,D1,D2,event,event_S,event_B,theta_deg
1,0.06424248879,2.869909074,nan,0,0,0,nan
1.036144578,0.06752178057,2.869909074,4.106954305e-11,0,0,0,0
1.072289157,0.07080107235,2.869909074,5.662140031e-11,0,0,0,0
1.108433735,0.07408036412,2.869909074,8.754732911e-11,0,0,0,0
1.144578313,0.0773596559,2.767032956,0.206593752,1,1,0,6.152610571
1.180722892,0.08063894768,2.747592772,0.1342001046,1,1,0,4.05806113
1.21686747,0.08391823946,2.747592772,4.905202136e-11,0,0,0,0
1.253012048,0.08719753124,2.747592772,2.14672223e-11,0,0,0,0
1.289156627,0.09047682301,2.747592772,5.989512106e-11,0,0,0,1.20741827e-06
1.325301205,0.09375611479,2.747592772,8.272002469e-11,0,0,0,0
1.361445783,0.09703540657,2.747592772,7.713691548e-11,0,0,0,0
1.397590361,0.1003146983,2.747592772,9.514580525e-11,0,0,0,0
1.43373494,0.1035939901,2.747592772,9.671305195e-11,0,0,0,1.20741827e-06
1.469879518,0.1068732819,2.747592772,6.779558651e-11,0,0,0,0
1.506024096,0.1101525737,2.715097648,0.09931987483,1,1,0,2.439808213
1.542168675,0.1134222453,2.700822596,0.06742193981,1,1,0,1.655381941
1.578313253,0.1166853862,2.700822596,8.501433229e-11,0,0,0,0
1.614457831,0.1199485271,2.700822596,9.948552266e-11,0,0,0,1.20741827e-06
1.65060241,0.123211668,2.700822596,5.379803201e-11,0,0,0,1.20741827e-06
1.686746988,0.1264748089,2.700822596,3.723738677e-11,0,0,0,1.20741827e-06
1.722891566,0.1297379498,2.700822596,5.288312846e-11,0,0,0,1.20741827e-06
1.759036145,0.1330010907,2.700822596,4.89055376e-11,0,0,0,0
1.795180723,0.1362642316,2.699610889,0.00605853423,1,1,0,0.3067919412
1.831325301,0.1395273725,2.698120335,0.007452768108,1,1,0,0.3775667272
1.86746988,0.1427905134,2.698120335,3.840233452e-11,1,1,0,0
1.903614458,0.1460536543,2.698120335,6.101807271e-11,1,1,0,1.20741827e-06
1.939759036,0.1493167952,2.698120335,4.807465491e-11,0,0,0,0
1.975903614,0.152579936,2.698120335,4.357018209e-11,0,0,0,0
2.012048193,0.1558430769,2.698120335,8.37459687e-11,0,0,0,0
2.048192771,0.1591062178,2.698120335,8.827543598e-11,0,0,0,1.20741827e-06
2.084337349,0.1623693587,2.698120335,3.39010099e-11,0,0,0,0
2.120481928,0.1656324996,2.698120335,4.947899771e-11,0,0,0,0
2.156626506,0.1688956405,2.698120335,5.509415721e-11,0,0,0,0
2.192771084,0.1721587814,2.698120335,6.883724024e-11,0,0,0,0
2.228915663,0.1754219223,2.698120335,6.412451975e-11,0,0,0,0
2.265060241,0.1786850632,2.698120335,8.029146985e-11,0,0,0,0
2.301204819,0.1819482041,2.698120335,3.586616334e-11,0,0,0,0
2.337349398,0.185211345,2.698120335,3.658303312e-11,0,0,0,0
2.373493976,0.1884744859,2.698120335,9.986837378e-11,0,0,0,1.20741827e-06
2.409638554,0.1917376268,2.698120335,5.762706623e-11,0,0,0,1.20741827e-06
2.445783133,0.1950007677,2.698120335,7.434793777e-11,0,0,0,0
2.481927711,0.1982639086,2.698120335,7.621630542e-11,0,0,0,0
2.518072289,0.2015270494,2.698120335,6.037009528e-11,0,0,0,0
2.554216867,0.2047901903,2.698120335,3.637124462e-11,0,0,0,0
2.590361446,0.2080533312,2.698120335,4.308308444e-11,0,0,0,0
2.626506024,0.2113164721,2.698120335,6.525350888e-11,0,0,0,0
2.662650602,0.214579613,2.698120335,2.240339515e-11,0,0,0,0
2.698795181,0.2178427539,2.698120335,3.777484999e-11,0,0,0,0
2.734939759,0.2211058948,2.698120335,6.058564529e-11,0,0,0,0
2.771084337,0.2243690357,2.698120335,4.725349812e-11,0,0,0,0
2.807228916,0.2276321766,2.698120335,2.512653453e-11,0,0,0,0
2.843373494,0.2308953175,2.698120335,9.254709566e-12,0,0,0,0
2.879518072,0.2341584584,2.698120335,2.434400125e-11,0,0,0,0
2.915662651,0.2374215993,2.698120335,3.058378407e-11,0,0,0,0
2.951807229,0.2406847402,2.698120335,5.988742153e-11,0,0,0,0
2.987951807,0.2439478811,2.698120335,6.91266437e-11,0,0,0,0
3.024096386,0.247211022,2.698120335,8.479194744e-11,0,0,0,0
3.060240964,0.2504741629,2.698120335,6.294727637e-11,0,0,0,0
3.096385542,0.2537373037,2.698120335,3.844496123e-11,0,0,0,1.20741827e-06
3.13253012,0.2570004446,2.698120335,2.632708452e-11,0,0,0,0
3.168674699,0.2602635855,2.698120335,3.902589025e-11,0,0,0,1.20741827e-06
3.204819277,0.2635267264,2.698120335,5.133928091e-11,0,0,0,1.707547293e-06
3.240963855,0.2667898673,2.698120335,5.061144463e-11,0,0,0,0
3.277108434,0.2700530082,2.698120335,6.008955299e-11,0,0,0,0
3.313253012,0.2733161491,2.698120335,7.192812003e-11,0,0,0,1.20741827e-06
3.34939759,0.27657929,2.698120335,8.772365324e-11,0,0,0,1.20741827e-06
3.385542169,0.2798424309,2.698120335,1.108055816e-10,0,0,0,0
3.421686747,0.2831055718,2.698120335,1.050419679e-10,0,0,0,0
3.457831325,0.2863687127,2.698120335,8.753064146e-11,0,0,0,0
3.493975904,0.2896318536,2.698120335,2.913647386e-11,0,0,0,0
3.530120482,0.2928949945,2.698120335,5.808099542e-11,0,0,0,0
3.56626506,0.2961581354,2.698120335,7.960164909e-11,0,0,0,0
