t,growth,D1,D2,event,event_S,event_B,theta_deg
0.5,0.1773398743,4.445216431,nan,0,0,0,nan
0.6184738956,0.1819767383,4.445216431,3.757687744e-11,0,0,0,1.478779333e-06
0.7369477912,0.1866136022,4.445216431,8.349275477e-11,0,0,0,1.478779333e-06
0.8554216867,0.1912504662,4.445216431,9.42309161e-11,0,0,0,8.537736463e-07
0.9738955823,0.1958873301,4.445216431,5.724303187e-11,0,0,0,0
1.092369478,0.2005241941,4.445216431,1.162395259e-11,0,0,0,0
1.210843373,0.205161058,4.445216431,2.903844416e-11,0,0,0,8.537736463e-07
1.329317269,0.209797922,4.445216431,7.783654795e-11,0,0,0,8.537736463e-07
1.447791165,0.2144347859,4.445216431,3.020692543e-11,0,0,0,0
1.56626506,0.2190716499,4.445216431,3.655754455e-11,0,0,0,8.537736463e-07
1.684738956,0.2237085138,4.445216431,8.112027288e-11,0,0,0,0
1.803212851,0.2283453778,4.445216431,1.677254017e-09,0,0,0,0
1.921686747,0.2329822417,4.445216432,2.927542895e-09,0,0,0,0
2.040160643,0.2376191057,4.445216433,2.83091798e-09,0,0,0,0
2.158634538,0.2422559696,4.445216433,3.052729062e-11,0,0,0,0
2.277108434,0.2468928336,4.445216433,6.025621113e-11,0,0,0,0
2.395582329,0.2515296975,4.445216433,7.942296025e-11,0,0,0,0
2.514056225,0.2561665614,4.445216433,1.0001099e-10,0,0,0,8.537736463e-07
2.63253012,0.2608034254,4.445216433,7.090584052e-11,0,0,0,8.537736463e-07
2.751004016,0.2654402893,4.445216433,4.488270113e-11,0,0,0,0
2.869477912,0.2700771533,4.445216433,5.857496027e-11,0,0,0,0
2.987951807,0.2747140172,4.445216433,4.587204174e-11,0,0,0,0
3.106425703,0.2793508812,4.445216433,3.532115739e-11,0,0,0,0
3.224899598,0.2839877451,4.445216433,4.437958971e-11,0,0,0,0
3.343373494,0.2886246091,4.445216433,8.243590047e-11,0,0,0,0
3.46184739,0.293261473,4.445216433,1.202207514e-10,0,0,0,0
3.580321285,0.297898337,4.445216433,1.018968188e-10,0,0,0,8.537736463e-07
3.698795181,0.3025352009,4.445216433,4.967702019e-11,0,0,0,8.537736463e-07
3.817269076,0.3071720649,4.445216433,2.362278205e-11,0,0,0,8.537736463e-07
3.935742972,0.3118089288,4.445216433,7.028043014e-11,0,0,0,0
4.054216867,0.3164457928,4.445216433,5.58035151e-11,0,0,0,8.537736463e-07
4.172690763,0.3210826567,4.445216433,5.700664208e-11,0,0,0,8.537736463e-07
4.291164659,0.3257195207,4.445216433,1.333753561e-10,0,0,0,8.537736463e-07
4.409638554,0.3303563846,4.445216433,6.381825671e-11,0,0,0,8.537736463e-07
4.52811245,0.3349932486,4.445216433,4.220661053e-11,0,0,0,8.537736463e-07
4.646586345,0.3396301125,4.445216433,5.966779755e-11,0,0,0,0
4.765060241,0.3442669765,4.445216433,1.002297934e-10,0,0,0,0
4.883534137,0.3489038404,4.445216433,6.49486367e-11,0,0,0,8.537736463e-07
5.002008032,0.3535407044,4.445216433,2.580411153e-11,0,0,0,0
5.120481928,0.3581775683,4.445216433,6.139373634e-11,0,0,0,0
5.238955823,0.3628144322,4.445216433,3.774838252e-11,0,0,0,0
5.357429719,0.3674512962,4.445216433,5.970552271e-11,0,0,0,0
5.475903614,0.3720881601,4.445216433,1.005517544e-10,0,0,0,8.537736463e-07
5.59437751,0.3767250241,4.445216433,1.468075012e-10,0,0,0,0
5.712851406,0.381361888,4.445216433,1.541986116e-10,0,0,0,0
5.831325301,0.385998752,4.445216433,6.091677289e-11,0,0,0,1.478779333e-06
5.949799197,0.3906356159,4.445216433,7.081968956e-11,0,0,0,8.537736463e-07
6.068273092,0.3952724799,4.445216433,6.057639316e-11,0,0,0,8.537736463e-07
6.186746988,0.3999093438,4.445216433,4.503109119e-11,0,0,0,8.537736463e-07
6.305220884,0.4045462078,4.445216433,8.847666692e-11,0,0,0,0
6.423694779,0.4091830717,4.445216433,1.777051074e-10,0,0,0,0
6.542168675,0.4138199357,4.445216433,8.299338678e-11,0,0,0,8.537736463e-07
6.66064257,0.4184567996,4.457143936,0.2116168775,1,1,0,3.128353884
6.779116466,0.4230678335,6.68534869,5.052881582,1,1,0,53.4660457
6.897590361,0.4270571705,6.658255724,0.3647941397,1,1,0,4.475725556
7.016064257,0.4310465074,6.72546461,0.1120302482,1,1,0,2.497056787
7.134538153,0.4350358444,6.72546719,1.470748133e-05,1,1,0,0.0001256556428
7.253012048,0.4390251814,6.693278002,3.523464117,1,1,0,31.24409412
7.371485944,0.4430145184,6.789624978,1.056860208,1,1,0,7.414368706
7.489959839,0.4470038553,6.789624977,6.44829127e-10,0,0,0,0
7.608433735,0.4509931923,6.789624977,2.897543483e-10,0,0,0,0
7.726907631,0.4549825293,6.789624977,2.784989875e-10,0,0,0,0
7.845381526,0.4589718662,6.789624977,6.466005427e-11,0,0,0,0
7.963855422,0.4629612032,6.789624977,2.469226069e-10,0,0,0,0
8.082329317,0.4669505402,6.789624977,1.770509569e-10,0,0,0,0
8.200803213,0.4709398771,6.789624977,1.186572028e-10,0,0,0,0
8.319277108,0.4749292141,6.789624978,2.102290966e-10,0,0,0,0
8.437751004,0.4789185511,6.789624977,3.366972371e-10,0,0,0,0
8.5562249,0.4829078881,6.789624978,8.06402582e-10,0,0,0,0
8.674698795,0.486897225,6.789624977,7.851160813e-10,0,0,0,8.537736463e-07
8.793172691,0.490886562,6.789624977,2.125479418e-10,0,0,0,0
8.911646586,0.494875899,6.789624977,6.026335603e-11,0,0,0,0
9.030120482,0.4988652359,6.789624977,9.401675154e-11,1,1,0,0
9.148594378,0.5028545729,6.789624977,7.571736644e-11,1,1,0,0
9.267068273,0.5068439099,6.789624977,8.775502046e-11,0,0,0,0
9.385542169,0.5108332469,6.789624977,9.498458052e-11,0,0,0,0
9.504016064,0.5148225838,6.789624978,3.50212161e-10,0,0,0,0
9.62248996,0.5188119208,6.789624977,3.611230714e-10,0,0,0,0
9.740963855,0.5228012578,6.789624977,6.893264302e-12,0,0,0,0
9.859437751,0.5267905947,6.789624978,3.125632353e-10,0,0,0,0
9.977911647,0.5307799317,6.789624977,3.536573634e-10,0,0,0,0
10.09638554,0.5347692687,6.789624977,2.715190789e-10,0,0,0,0
10.21485944,0.5387586057,6.789624977,4.080604724e-11,0,0,0,0
10.33333333,0.5427479426,6.789624977,1.052395771e-10,0,0,0,0
10.45180723,0.5467372796,6.789624977,1.181001779e-10,0,0,0,0
10.57028112,0.5507266166,6.789624977,5.153650024e-11,0,0,0,8.537736463e-07
10.68875502,0.5547159535,6.789624978,5.913890051e-10,0,0,0,1.20741827e-06
10.80722892,0.5587052905,6.789624977,1.223239241e-09,0,0,0,0
10.92570281,0.5626946275,6.789624977,7.047892813e-10,0,0,0,8.537736463e-07
11.04417671,0.5666839645,6.789624977,7.035259048e-11,0,0,0,0
11.1626506,0.5706733014,6.789624977,1.292975582e-10,0,0,0,0
11.2811245,0.5746626384,6.789624977,8.303912587e-11,0,0,0,8.537736463e-07
11.39959839,0.5786519754,6.789624977,8.477410549e-11,0,0,0,0
11.51807229,0.5826413123,6.789624977,3.271481206e-10,0,0,0,0
11.63654618,0.5866306493,6.789624977,4.851511444e-10,0,0,0,0
11.75502008,0.5906199863,6.789624977,2.661107824e-10,0,0,0,0
11.87349398,0.5946093233,6.789624977,1.202711426e-10,0,0,0,0
11.99196787,0.5985986602,6.789624977,1.887991356e-10,0,0,0,8.537736463e-07
12.11044177,0.6025879972,6.789624977,9.168486393e-11,0,0,0,0
12.22891566,0.6065773342,6.789624977,3.256616606e-10,0,0,0,0
12.34738956,0.6105666711,6.789624977,4.170678678e-10,0,0,0,0
12.46586345,0.6145560081,6.789624978,1.479476709e-09,0,0,0,0
12.58433735,0.6185453451,6.810893954,5.149833973,1,1,0,43.96972429
12.70281124,0.6225346821,7.035648893,1.49260512,1,1,0,12.97012839
12.82128514,0.626524019,7.035648893,3.692952002e-11,0,0,0,0
12.93975904,0.630513356,7.035648893,4.280779937e-11,0,0,0,0
13.05823293,0.634502693,7.035648893,2.626457922e-11,0,0,0,8.537736463e-07
13.17670683,0.6384920299,7.035648893,7.899237631e-12,0,0,0,8.537736463e-07
13.29518072,0.6424813669,7.035648893,3.813368449e-11,0,0,0,0
13.41365462,0.6464707039,7.035648893,6.789011202e-11,0,0,0,0
13.53212851,0.6504600409,7.035648893,4.879771068e-11,0,0,0,0
13.65060241,0.6544493778,7.035648893,1.243520524e-11,0,0,0,0
13.76907631,0.6584387148,7.035648893,1.866516233e-11,0,0,0,0
13.8875502,0.6624280518,6.92295627,0.271289819,1,1,0,2.014059338
14.0060241,0.6663962083,4.88677698,4.46293633,1,1,0,45.43183099
14.12449799,0.6696499301,4.374871907,1.112468265,1,1,0,14.96577397
14.24297189,0.6727178496,4.374871907,1.04204139e-10,0,0,0,0
14.36144578,0.675785769,4.374871907,2.096884443e-10,0,0,0,0
14.47991968,0.6788536884,4.374871907,4.889401503e-10,0,0,0,0
14.59839357,0.6819216078,4.374871907,3.21508287e-10,0,0,0,0
14.71686747,0.6849895272,4.374871907,1.194175831e-10,0,0,0,1.20741827e-06
14.83534137,0.6880574466,4.374871907,3.640653408e-10,0,0,0,0
14.95381526,0.691125366,4.374871907,4.080353138e-10,0,0,0,0
15.07228916,0.6941932855,4.374871907,1.638910216e-10,0,0,0,0
15.19076305,0.6972612049,4.374871907,3.027205441e-10,0,0,0,1.20741827e-06
15.30923695,0.7003291243,4.374871907,2.689544311e-10,0,0,0,0
15.42771084,0.7033970437,4.374871907,1.118004868e-10,0,0,0,1.20741827e-06
15.54618474,0.7064649631,4.374871907,2.652899518e-10,0,0,0,0
15.66465863,0.7095328825,4.374871907,5.651386694e-11,0,0,0,0
15.78313253,0.7126008019,4.374871907,2.091649495e-10,0,0,0,0
15.90160643,0.7156687213,4.374871907,6.323168182e-11,0,0,0,1.20741827e-06
16.02008032,0.7187366408,4.374871907,3.104444459e-10,0,0,0,1.20741827e-06
16.13855422,0.7218045602,4.374871907,2.749261701e-10,0,0,0,1.20741827e-06
16.25702811,0.7248724796,4.374871907,1.255494005e-10,0,0,0,0
16.37550201,0.727940399,4.374871907,1.187168257e-10,0,0,0,0
16.4939759,0.7310083184,4.374871907,8.514478304e-11,0,0,0,1.20741827e-06
16.6124498,0.7340762378,4.374871907,3.868656461e-10,0,0,0,1.20741827e-06
16.73092369,0.7371441572,4.374871907,3.915273423e-10,0,0,0,1.20741827e-06
16.84939759,0.7402120767,4.374871907,1.869620153e-10,0,0,0,0
16.96787149,0.7432799961,4.374871907,1.25542591e-10,0,0,0,1.20741827e-06
17.08634538,0.7463479155,4.374871907,5.930147134e-10,0,0,0,0
17.20481928,0.7494158349,4.374871907,4.524126159e-10,0,0,0,1.20741827e-06
17.32329317,0.7524837543,4.374871907,3.439240451e-10,0,0,0,0
17.44176707,0.7555516737,4.374871907,7.842148792e-10,0,0,0,1.20741827e-06
17.56024096,0.7586195931,4.374871907,8.897247308e-10,0,0,0,1.20741827e-06
17.67871486,0.7616875126,4.374871907,3.709508347e-10,0,0,0,1.20741827e-06
17.79718876,0.764755432,4.374871907,1.036907331e-10,0,0,0,1.20741827e-06
17.91566265,0.7678233514,4.374871907,2.131883537e-10,0,0,0,0
18.03413655,0.7708912708,4.374871907,1.752168257e-10,0,0,0,0
18.15261044,0.7739591902,4.374871907,5.138522064e-10,0,0,0,0
18.27108434,0.7770271096,4.374871907,6.787606515e-10,0,0,0,1.20741827e-06
18.38955823,0.780095029,4.374871907,9.226742762e-11,0,0,0,0
18.50803213,0.7831629485,4.374871907,5.968815535e-11,0,0,0,0
18.62650602,0.7862308679,4.374871907,1.883830316e-10,0,0,0,0
18.74497992,0.7892987873,4.374871907,4.387991531e-10,0,0,0,0
18.86345382,0.7923667067,4.374871907,6.276028464e-10,0,0,0,1.20741827e-06
18.98192771,0.7954346261,4.374871907,1.391167519e-10,0,0,0,1.20741827e-06
19.10040161,0.7985025455,4.374871907,2.314913476e-10,0,0,0,0
19.2188755,0.8015704649,4.374871907,4.950192196e-10,0,0,0,1.20741827e-06
19.3373494,0.8046383844,4.374871907,5.658613775e-10,0,0,0,0
19.45582329,0.8077063038,4.374871907,2.455293814e-10,0,0,0,0
19.57429719,0.8107742232,4.374871907,2.612758864e-10,0,0,0,0
19.69277108,0.8138421426,4.374871907,2.607940408e-10,0,0,0,0
19.81124498,0.816910062,4.374871907,9.770668327e-11,0,0,0,1.20741827e-06
19.92971888,0.8199779814,4.374871907,1.944290902e-10,0,0,0,0
20.04819277,0.8230459008,4.374871907,2.754806222e-10,0,0,0,0
20.16666667,0.8261138203,4.374871907,1.503193683e-10,0,0,0,0
20.28514056,0.8291817397,4.374871907,1.505155856e-10,0,0,0,0
20.40361446,0.8322496591,4.374871907,5.586584588e-11,0,0,0,1.20741827e-06
20.52208835,0.8353175785,4.374871907,2.086885819e-10,0,0,0,1.20741827e-06
20.64056225,0.8383854979,4.374871907,1.472658951e-10,0,0,0,0
20.75903614,0.8414534173,4.374871907,3.822536913e-10,0,0,0,0
20.87751004,0.8445213367,4.374871907,3.089479991e-10,0,0,0,0
20.99598394,0.8475892562,4.374871907,2.127828787e-10,0,0,0,0
