g1,g2,n1,n2,kappa_i,kappa_j,kappa_ij,eps_add,rho,eps_growth,growth_i,growth_j,growth_ij,J_support,J_dR,SL,panel,kappaV_i,kappaV_j,kappaV_ij,eps_masked,n_dis_ij,shared_subsystems
b0870,b2551,ltaE,glyA,1.14560243886151e-05,32.189029754157175,32.189029754156266,-1.1456025298173245e-05,0.9999996441016612,2.7933246309341797e-06,0.8769947315394453,0.8656368615614326,0.8656368615614323,0.4166666666666667,0.25980392156862747,False,ISO,0.0,0.0,0.0,0.0,7,;Alanine and Aspartate Metabolism;Alternate Carbon Metabolism
b3916,b1723,pfkA,pfkB,1.8722461476583845,0.0,244.64534369855957,242.77309755090118,130.6694336128168,-0.006579007609428644,0.8769972144269703,0.87699721442697,0.8712274440863864,0.0,0.0,False,TGT,0.0,0.0,0.0,0.0,3,
b2243,b3426,glpC,glpD,0.0,0.0,0.0,0.0,0.5,-1.140254557441267e-09,0.8769972144269701,0.87699721442697,0.87699721442697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,3,
b2242,b3426,glpB,glpD,0.0,0.0,0.0,0.0,0.5,-1.140254557441267e-09,0.8769972144269701,0.87699721442697,0.87699721442697,0.0,0.0,False,ISO,0.0,0.0,0.0,0.0,3,
b2242,b0126,glpB,|can|,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b3752,glpB,rbsK,0.0,0.0,0.0,0.0,0.5,-1.140254779485872e-09,0.8769972144269701,0.8769972144269703,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b4232,glpB,fbp,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b4025,glpB,pgi,0.0,438.1712989467118,438.17129894679636,8.458300726488233e-11,1.0000000000001907,-1.1307615954692096e-09,0.8769972144269701,0.8696956584514208,0.8696956584514206,0.0,0.0,False,X,0.0,0.0,0.0,0.0,3,
b2242,b3011,glpB,yqhD,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b0871,glpB,poxB,0.0,0.0,0.0,0.0,0.5,-1.140254557441267e-09,0.8769972144269701,0.8769972144269703,0.8769972144269703,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b4015,glpB,aceA,0.0,0.0,0.0,0.0,0.5,-1.140254779485872e-09,0.8769972144269701,0.8769972144269703,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b3617,glpB,kbl,0.0,0.0,0.0,0.0,0.5,-1.1402550015304769e-09,0.8769972144269701,0.8769972144269703,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b2988,glpB,gss,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,4,
b2242,b1767,glpB,ansA,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b2601,glpB,aroF,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b0347,glpB,mhpA,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,4,
b2242,b1656,glpB,sodB,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b1465,glpB,narV,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b2429,glpB,murP,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,4,
b2242,b0861,glpB,artM,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b3736,glpB,atpF,0.0,19586.667612014615,19586.667612014622,7.275957614183426e-12,1.0000000000000002,-3.7046421486053305e-10,0.8769972144269701,0.2849329232733675,0.2849329232733675,0.0,0.0,False,X,0.0,19586.667612014615,19586.667612014622,7.275957614183426e-12,3,
b2242,b0341,glpB,cynX,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b0934,glpB,ssuC,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,5,
b2242,b1296,glpB,puuP,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b3626,glpB,waaJ,0.0,0.0,0.0,0.0,0.5,-1.1402541133520572e-09,0.8769972144269701,0.87699721442697,0.8769972144269702,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b2871,glpB,ygeX,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b3915,glpB,fieF,0.0,0.0,0.0,0.0,0.5,-1.1402550015304769e-09,0.8769972144269701,0.8769972144269703,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,4,
b2242,b1857,glpB,znuA,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.8769972144269703,0.8769972144269705,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b0696,glpB,kdpC,0.0,0.0,0.0,0.0,0.5,-1.140254779485872e-09,0.8769972144269701,0.8769972144269703,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b1186,glpB,nhaB,0.0,0.0,0.0,0.0,0.5,-1.140254557441267e-09,0.8769972144269701,0.8769972144269705,0.8769972144269704,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b3371,glpB,frlB,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b3748,glpB,rbsD,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b2482,glpB,hyfB,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b1640,glpB,anmK,0.0,0.0,0.0,0.0,0.5,-1.140254557441267e-09,0.8769972144269701,0.87699721442697,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b3919,glpB,tpiA,0.0,871.9980214793411,871.9980214793349,-6.252776074688882e-12,0.9999999999999917,-1.0950932383124723e-09,0.8769972144269701,0.8422625567901132,0.8422625567901132,0.0,0.0,False,X,0.0,0.0,0.0,0.0,3,
b2242,b3630,glpB,waaP,0.0,0.0,0.0,0.0,0.5,-1.1402541133520572e-09,0.8769972144269701,0.87699721442697,0.8769972144269702,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b4394,glpB,yjjX,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,4,
b2242,b2146,glpB,preT,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b0832,glpB,gsiD,0.0,0.0,0.0,0.0,0.5,-1.140254779485872e-09,0.8769972144269701,0.8769972144269701,0.87699721442697,0.0,0.0,False,B,0.0,0.0,0.0,0.0,3,
b2242,b3396,glpB,mrcA,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b0723,glpB,sdhA,0.0,3719.237820017231,3719.237820016615,-6.161826604511589e-10,0.9999999999998341,-1.0945263584360987e-09,0.8769972144269701,0.8418157926999568,0.8418157926999444,0.0,0.0,False,X,0.0,0.0,0.0,0.0,3,
b2242,b2282,glpB,nuoH,0.0,3294.285861140926,3294.285861140378,-5.479705578181893e-10,0.9999999999998334,-9.863688754663258e-10,0.8769972144269701,0.7586431920374903,0.758643192037494,0.0,0.0,False,X,0.0,3294.285861140926,3294.285861140378,-5.479705578181893e-10,5,
b2242,b2278,glpB,nuoL,0.0,3294.285861140926,3294.285861140378,-5.479705578181893e-10,0.9999999999998334,-9.863688754663258e-10,0.8769972144269701,0.7586431920374903,0.758643192037494,0.0,0.0,False,X,0.0,3294.285861140926,3294.285861140378,-5.479705578181893e-10,5,
b2242,b0681,glpB,chiP,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.87699721442697,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,2,
b2242,b1473,glpB,yddG,0.0,0.0,0.0,0.0,0.5,-1.140254335396662e-09,0.8769972144269701,0.8769972144269699,0.8769972144269701,0.0,0.0,False,B,0.0,0.0,0.0,0.0,5,
