g1,g2,n1,n2,chi,kappa_moma_i,kappa_moma_j,kappa_moma_ij_ifirst,kappa_moma_ij_jfirst,kappa_path_asymmetry,h_loop_ifirst,h_loop_jfirst,h_loop_asym,eps_add,kappa_i,kappa_j,kappa_ij,SL,panel
b3734,b3735,atpA,atpH,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3734,b3736,atpA,atpF,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3734,b3737,atpA,atpE,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3734,b3731,atpA,atpC,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3734,b3732,atpA,atpD,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3734,b3733,atpA,atpG,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3734,b3738,atpA,atpB,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3735,b3736,atpH,atpF,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3735,b3737,atpH,atpE,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3735,b3731,atpH,atpC,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3735,b3732,atpH,atpD,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3735,b3733,atpH,atpG,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3735,b3738,atpH,atpB,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3736,b3737,atpF,atpE,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3736,b3731,atpF,atpC,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3736,b3732,atpF,atpD,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3736,b3733,atpF,atpG,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3736,b3738,atpF,atpB,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3737,b3731,atpE,atpC,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3737,b3732,atpE,atpD,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3737,b3733,atpE,atpG,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3737,b3738,atpE,atpB,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
b3731,b3732,atpC,atpD,0.0,9110.51178279249,9110.51178279249,9110.51178279249,9110.51178279249,0.0,272.9656969818416,272.9656969818416,0.0,-19586.667612014615,19586.667612014615,19586.667612014615,19586.667612014615,False,A
