g1,g2,n1,n2,SL,panel,origin,slope_chi,n_fit_points,class_chi,slope_d1_i,chi_max,chi_at_eps1
b3734,b3735,atpA,atpH,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3734,b3736,atpA,atpF,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3734,b3737,atpA,atpE,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3734,b3731,atpA,atpC,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3734,b3732,atpA,atpD,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3734,b3733,atpA,atpG,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3734,b3738,atpA,atpB,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3735,b3736,atpH,atpF,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3735,b3737,atpH,atpE,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3735,b3731,atpH,atpC,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3735,b3732,atpH,atpD,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3735,b3733,atpH,atpG,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3735,b3738,atpH,atpB,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3736,b3737,atpF,atpE,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3736,b3731,atpF,atpC,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3736,b3732,atpF,atpD,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3736,b3733,atpF,atpG,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3736,b3738,atpF,atpB,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3737,b3731,atpE,atpC,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3737,b3732,atpE,atpD,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3737,b3733,atpE,atpG,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3737,b3738,atpE,atpB,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3731,b3732,atpC,atpD,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3731,b3733,atpC,atpG,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3731,b3738,atpC,atpB,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3732,b3733,atpD,atpG,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3732,b3738,atpD,atpB,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b3733,b3738,atpG,atpB,False,A,panel,,0,zero,1.0104854889423132,0.0,0.0
b0722,b2283,sdhD,nuoG,False,A,panel,0.9982407513015231,6,slope~1,1.001129100683189,101.28580689036127,101.28580689036127
b0722,b2282,sdhD,nuoH,False,A,panel,0.9982407513015231,6,slope~1,1.001129100683189,101.28580689036127,101.28580689036127
b0733,b0978,cydA,appC,False,ISO,panel,,0,zero,,1.4028960662481634e-11,1.4028960662481634e-11
b3617,b1857,kbl,znuA,False,B,panel,,0,zero,,2.5884683135757e-12,2.5884683135757e-12
b3011,b2988,yqhD,gss,False,B,panel,,0,zero,,0.0,0.0
b4015,b0341,aceA,cynX,False,B,panel,,0,zero,,1.4872434457336185e-14,1.4872434457336185e-14
b3626,b4101,waaJ,phnG,False,B,panel,,0,zero,,2.2647682340615205e-14,2.2647682340615205e-14
b2242,b2601,glpB,aroF,False,B,panel,,0,zero,,9.643742510286046e-14,9.643742510286046e-14
b2280,b2286,nuoJ,nuoC,False,A,panel,,0,zero,1.000004920926629,0.0,0.0
b3626,b2482,waaJ,hyfB,False,B,panel,,0,zero,,2.2647682340615205e-14,2.2647682340615205e-14
b3630,b2146,waaP,preT,False,B,panel,,0,zero,,2.2647682340615205e-14,2.2647682340615205e-14
b1779,b3731,gapA,atpC,False,A,panel,1.2438675878502259,6,slope~1,1.0047502177947298,269.5840423629438,269.5840423629438
b0126,b3748,|can|,rbsD,False,B,panel,,0,zero,,0.0,0.0
b3732,b2280,atpD,nuoJ,False,A,panel,0.9982155262882385,6,slope~1,1.0104854889423132,226.48252944535557,226.48252944535557
b3752,b3915,rbsK,fieF,False,B,panel,,0,zero,,3.2742431969413953e-13,3.2742431969413953e-13
b1856,b2328,mepM,mepA,False,ISO,panel,,0,zero,,1.4135638189485822e-14,1.4135638189485822e-14
b2483,b2724,hyfC,hycB,False,ISO,panel,,0,zero,,0.0,0.0
b2149,b4227,mglA,ytfQ,False,ISO,panel,,0,zero,,9.482221009833483e-13,9.482221009833483e-13
b2415,b1779,ptsH,gapA,False,A,panel,1.0049177978644954,6,slope~1,1.000000268643599,46.79421290117433,46.79421290117433
b0973,b2723,hyaB,hycC,False,ISO,panel,,0,zero,,0.0,0.0
b0211,b2963,mltD,mltC,False,ISO,panel,,0,zero,,0.0,0.0
b4232,b3630,fbp,waaP,False,B,panel,,0,zero,,2.2647682340615205e-14,2.2647682340615205e-14
b0874,b2923,lysO,argO,False,ISO,panel,,0,zero,,6.663834523253087e-14,6.663834523253087e-14
b3735,b2277,atpH,nuoM,False,A,panel,0.9982155262882385,6,slope~1,1.0104854889423132,226.48252944535557,226.48252944535557
b2150,b4231,mglB,yjfF,False,ISO,panel,,0,zero,,9.482221009833483e-13,9.482221009833483e-13
b3617,b2415,kbl,ptsH,False,X,panel,,1,insufficient,,0.027512494580926868,0.027512494580926868
b0974,b2996,hyaC,hybA,False,ISO,panel,,0,zero,,0.0,0.0
b1465,b3371,narV,frlB,False,B,panel,,0,zero,,0.0,0.0
b3750,b4485,rbsC,ytfR,False,ISO,panel,,0,zero,,0.0,0.0
b0726,b3630,sucA,waaP,False,X,panel,,2,insufficient,1.0000072629840804,0.04970801614679425,0.04970801614679425
b0114,b0430,aceE,cyoC,False,A,panel,0.9759416736558882,6,slope~1,1.000000064980642,2.4687948854541673,2.4687948854541673
b3731,b2871,atpC,ygeX,False,X,panel,,1,insufficient,1.0104854889423132,0.005704935088483751,9.452110348717187e-07
b1692,b3281,ydiB,aroE,True,ISO,panel,,0,zero,,0.0,0.0
b0844,b3812,ybjI,yigB,True,ISO,panel,,0,zero,,0.0,0.0
b0126,b0339,|can|,cynT,True,ISO,panel,,0,zero,,0.0,0.0
b1190,b4053,dadX,alr,True,ISO,panel,,0,zero,,0.0,0.0
b0928,b4054,aspC,tyrB,True,ISO,panel,,0,zero,,0.0,0.0
b2708,b3197,gutQ,kdsD,True,ISO,panel,,0,zero,,0.0,0.0
b0078,b3671,ilvH,ilvB,True,ISO,panel,,0,zero,,0.0,0.0
b0078,b3670,ilvH,ilvN,True,ISO,panel,,0,zero,,0.0,0.0
b0077,b3671,ilvI,ilvB,True,ISO,panel,,0,zero,,0.0,0.0
b0077,b3670,ilvI,ilvN,True,ISO,panel,,0,zero,,0.0,0.0
b1852,b2029,zwf,gnd,False,ARCH,archetype,0.8572741891537602,6,slope~1,1.000038833069842,8.431490199983955,8.431490199983955
b3916,b1723,pfkA,pfkB,False,ARCH,archetype,,0,zero,1.0000000000056772,1.1320827578001367e-10,5.550760042679129e-13
b4025,b1852,pgi,zwf,False,ARCH,archetype,1.00262745044451,6,slope~1,1.000014783628366,0.44488898125555487,0.44488898125555487
b2935,b2465,tktA,tktB,False,ARCH,archetype,,0,zero,,0.0,0.0
b3386,b2914,rpe,rpiA,False,ARCH,archetype,,0,zero,1.0000000148741128,1.9367806847854228e-11,5.343384696959475e-12
b1276,b0118,acnA,acnB,False,ARCH,archetype,,0,zero,,2.7826565787869058e-12,2.7826565787869058e-12
