g1,g2,n1,n2,eps,feasible,chi,d1_i,d1_j,d1_ij,eps_add,SL,panel,origin
b3734,b3735,atpA,atpH,1.0,True,0.0,272.9656969818416,272.9656969818416,272.9656969818416,-19586.667612014615,False,A,panel
b3734,b3735,atpA,atpH,0.5,True,0.0,129.721954850527,129.721954850527,129.7219548505272,-19586.667612014615,False,A,panel
b3734,b3735,atpA,atpH,0.25,True,0.0,64.86074477132381,64.86074477132381,64.8607447713239,-19586.667612014615,False,A,panel
b3734,b3735,atpA,atpH,0.125,True,0.0,32.43013973172044,32.43013973172044,32.43013973172986,-19586.667612014615,False,A,panel
b3734,b3735,atpA,atpH,0.0625,True,0.0,16.214837211918624,16.214837211918624,16.21483721192078,-19586.667612014615,False,A,panel
b3734,b3735,atpA,atpH,0.03125,True,0.0,8.107185952017195,8.107185952017195,8.107185952018536,-19586.667612014615,False,A,panel
b3734,b3736,atpA,atpF,1.0,True,0.0,272.9656969818416,272.9656969818416,272.9656969818416,-19586.667612014615,False,A,panel
b3734,b3736,atpA,atpF,0.5,True,0.0,129.721954850527,129.721954850527,129.7219548505272,-19586.667612014615,False,A,panel
b3734,b3736,atpA,atpF,0.25,True,0.0,64.86074477132381,64.86074477132381,64.8607447713239,-19586.667612014615,False,A,panel
b3734,b3736,atpA,atpF,0.125,True,0.0,32.43013973172044,32.43013973172044,32.43013973172986,-19586.667612014615,False,A,panel
b3734,b3736,atpA,atpF,0.0625,True,0.0,16.214837211918624,16.214837211918624,16.21483721192078,-19586.667612014615,False,A,panel
b3734,b3736,atpA,atpF,0.03125,True,0.0,8.107185952017195,8.107185952017195,8.107185952018536,-19586.667612014615,False,A,panel
b3734,b3737,atpA,atpE,1.0,True,0.0,272.9656969818416,272.9656969818416,272.9656969818416,-19586.667612014615,False,A,panel
b3734,b3737,atpA,atpE,0.5,True,0.0,129.721954850527,129.721954850527,129.7219548505272,-19586.667612014615,False,A,panel
b3734,b3737,atpA,atpE,0.25,True,0.0,64.86074477132381,64.86074477132381,64.8607447713239,-19586.667612014615,False,A,panel
b3734,b3737,atpA,atpE,0.125,True,0.0,32.43013973172044,32.43013973172044,32.43013973172986,-19586.667612014615,False,A,panel
b3734,b3737,atpA,atpE,0.0625,True,0.0,16.214837211918624,16.214837211918624,16.21483721192078,-19586.667612014615,False,A,panel
b3734,b3737,atpA,atpE,0.03125,True,0.0,8.107185952017195,8.107185952017195,8.107185952018536,-19586.667612014615,False,A,panel
b3734,b3731,atpA,atpC,1.0,True,0.0,272.9656969818416,272.9656969818416,272.9656969818416,-19586.667612014615,False,A,panel
b3734,b3731,atpA,atpC,0.5,True,0.0,129.721954850527,129.721954850527,129.7219548505272,-19586.667612014615,False,A,panel
b3734,b3731,atpA,atpC,0.25,True,0.0,64.86074477132381,64.86074477132381,64.8607447713239,-19586.667612014615,False,A,panel
b3734,b3731,atpA,atpC,0.125,True,0.0,32.43013973172044,32.43013973172044,32.43013973172986,-19586.667612014615,False,A,panel
b3734,b3731,atpA,atpC,0.0625,True,0.0,16.214837211918624,16.214837211918624,16.21483721192078,-19586.667612014615,False,A,panel
