sigma,eps,t_base,D_machine,D_analytic,rel_err
0.003,0.00040000000000000013,0.0,2.9783035466593337e-12,0.0001516666736702984,0.9999999803628346
0.003,0.0007982770197819224,0.0,7.159928017344162e-12,0.0006025727602943919,0.9999999881177369
0.003,0.0015931155007797707,0.0,1.4319723022756826e-11,0.0023765913653314573,0.9999999939746802
0.003,0.003179368735327153,0.0,0.00815931656888221,0.009109023753834745,0.10426004044096653
0.003,0.006345042497061947,0.0,0.030251113561306484,0.0315231565431923,0.0403526525061947
0.003,0.01266275403736065,0.0,0.08603315242597667,0.08685632189001795,0.00947736959301151
0.003,0.02527096388793942,0.0,0.197988381155244,0.198810332263201,0.004134348042177342
0.003,0.05043307434870219,0.0,0.41305127460537333,0.4138226830948505,0.0018641039290259091
0.003,0.10064891072380525,0.0,0.9486785247145028,0.9493044775459099,0.0006593804687672749
0.003,0.20086428124224,0.0,2.0889066818487385,2.0894538007687813,0.0002618478187177307
0.003,0.40086334952673347,0.0,4.390082538844533,4.3905924489380626,0.0001161369677235358
0.003,0.8,0.0,7.922939961198098,8.99371611850436,0.11905825614210394
0.01,0.00040000000000000013,0.0,9.46383803741919e-12,5.5615181474414565e-05,0.9999998298335493
0.01,0.0007982770197819224,0.0,2.1057183276396778e-07,0.00022141813287355352,0.9990489856000898
0.01,0.0015931155007797707,0.0,2.105751453754461e-07,0.0008805102194763634,0.9997608487207557
0.01,0.003179368735327153,0.0,0.006219112515547267,0.0034856381806341458,0.784210578739936
0.01,0.006345042497061947,0.0,0.02124203669648803,0.013557065192609456,0.5668609979147983
0.01,0.01266275403736065,0.0,0.05296707266160235,0.04947240050199099,0.07063882334698357
0.01,0.02527096388793942,0.0,0.15532327867373405,0.15098517659094238,0.028731973434350484
0.01,0.05043307434870219,0.0,0.3744539438510496,0.3708039299091802,0.009843514718852505
0.01,0.10064891072380525,0.0,0.917207744364348,0.9140390588358486,0.003466685036999641
0.01,0.20086428124224,0.0,2.061222392892224,2.058420943720764,0.0013609700095627716
0.01,0.40086334952673347,0.0,4.364152647910902,4.361517560213412,0.0006041676231061518
0.01,0.8,0.0,7.901798094392539,8.965573723973616,0.11865114964551345
0.03,0.0008999999999999998,0.0,3.587178861348906e-11,9.758813850753913e-05,0.9999996324165092
0.03,0.0016684744205420219,0.0,1.3966548825074871e-11,0.0003353435724622734,0.9999999583515237
0.03,0.00309311876889226,0.0,0.005809622427765979,0.0011519513243602065,4.043288118959924
0.03,0.005734210606216853,0.0,0.01804530041804854,0.003952469858095096,3.565575719974124
0.03,0.01063042635385953,0.0,0.040826472269894894,0.01350738971027639,2.022528641402433
0.03,0.019707327167633792,0.0,0.08382925528033924,0.045556606534060975,0.8401119323420904
0.03,0.036534634751610943,0.0,0.16375825261113774,0.14763500316102615,0.10921020831710142
0.03,0.06773011505212052,0.0,0.4575557152105629,0.43411577588587485,0.05399467291151881
0.03,0.1255621827387014,0.0,1.0998270012187452,1.081260792111099,0.017170889061275146
0.03,0.2327747667632737,0.0,2.3330776866683944,2.315575725131318,0.007558362849949053
0.03,0.4315319378801746,0.0,4.625110489672107,4.608122855954149,0.003686454169946409
0.03,0.8,0.0,7.818809008565911,8.859934592246976,0.11750939838676887
0.1,0.003000000000000001,0.0,0.00536761459274876,0.00040048531869180695,12.40277493887211
0.1,0.004984985125143472,0.0,0.014789764487307752,0.001105651409465946,12.376516649539237
0.1,0.008283358899300564,0.0,0.030446190159377374,0.0030517960014629585,8.976482748120187
0.1,0.013764140299746035,0.0,0.05646166544731376,0.008418458744452486,5.7068886551852875
0.1,0.022871344884873933,0.0,0.0996909294192433,0.023184284224439165,3.2999356138912614
0.1,0.03800443801437427,0.0,0.16866195937311093,0.0635618070745299,1.6535110805667472
0.1,0.06315051939703092,0.0,0.29281917402780094,0.17215838113148982,0.7008708614897682
0.1,0.10493479994642783,0.0,0.5408291839352136,0.45195771714766403,0.1966366839544714
0.1,0.1743661389476163,0.0,1.1532556937953218,1.1048703078935969,0.043792819443188996
0.1,0.28973753632752236,0.0,2.4540497771563006,2.392866923850919,0.025568849105456298
0.1,0.48144576959613855,0.0,4.653742205000074,4.603429853235103,0.01092931865348472
0.1,0.8,0.0,7.2093851288341,8.279749231372431,0.12927494210605583
