metabolite,closure_verdict,gene_level_verdict,n_producing_reactions,n_nonessential_gene_backups,n_essential_gene_backups,baseline_prod_flux,recovery_prod_flux
citr__L_c,AUTOPOIETIC,AUTOPOIETIC,1,1,0,0.29057772323013425,0.2905777232301372
3psme_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.3744005628946959,0.37440056289469104
zn2_c,AUTOPOIETIC,AUTOPOIETIC,2,1,1,0.0003349887881399003,0.00033498878813989925
indole_c,AUTOPOIETIC,AUTOPOIETIC,3,2,1,0.11168192190167948,0.11168192190168096
malACP_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.07645603344091544,0.07645603344091502
2mahmp_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.00021906891423811604,0.0002190689142381172
grdp_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.000273099363938101,0.0002730993639381022
fe3_c,AUTOPOIETIC,AUTOPOIETIC,6,4,2,0.003835179556886112,0.0038351795568861724
ohpb_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.00021906891423811677,0.0002190689142381177
moadamp_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.0004793974446107668,0.00047939744461076954
argsuc_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.29057772323013925,0.290577723230136
iscu_2fe2s_c,AUTOPOIETIC,HOMEOSTATIC,2,0,2,0.00028292308206537064,0.00028292308206536983
atp_c,AUTOPOIETIC,AUTOPOIETIC,4,4,0,56.68062259236275,55.815247399842306
4ampm_c,AUTOPOIETIC,AUTOPOIETIC,3,1,2,0.0002190689142381172,0.0002190689142381142
pap_c,AUTOPOIETIC,AUTOPOIETIC,3,1,2,0.24350246596426212,0.24350246596426078
2me4p_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.002346886260604771,0.0023468862606047646
akg_c,AUTOPOIETIC,AUTOPOIETIC,9,4,5,15.482493241182897,15.482493241213916
orn_c,AUTOPOIETIC,AUTOPOIETIC,2,1,1,0.2905777232301382,0.29057772323013925
dmlz_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,0.0008762756569524118,0.0008762756569525271
amp_c,AUTOPOIETIC,AUTOPOIETIC,86,63,23,2.2345490967039887,2.2345490967039754
opmeACP_c,AUTOPOIETIC,HOMEOSTATIC,1,0,1,1.9647436254539755e-06,1.964743625453965e-06
3mop_c,AUTOPOIETIC,HOMEOSTATIC,2,0,2,0.5708150007595137,0.5708150007595187
e4p_c,AUTOPOIETIC,AUTOPOIETIC,2,2,0,12.67084016496939,1.1667814054477554
