type,tau,TP,FP,TN,FN,kappa,mcc,f1,precision,recall
metabolite,1,187,173,0,0,0.0,0.0,0.683729433272395,0.5194444444444445,1.0
metabolite,2,65,16,157,122,0.24938808811531146,0.30522730296086403,0.4850746268656716,0.8024691358024691,0.34759358288770054
metabolite,3,33,2,171,154,0.15965883585216212,0.278108886519431,0.2972972972972973,0.9428571428571428,0.17647058823529413
metabolite,4,22,1,172,165,0.10803307561419734,0.2285419138043438,0.20952380952380953,0.9565217391304348,0.11764705882352941
metabolite,5,16,1,172,171,0.07695059777585649,0.1879198378369175,0.1568627450980392,0.9411764705882353,0.0855614973262032
reaction,0.0,52,149,199,0,0.2577463385473746,0.3846277012601367,0.41106719367588934,0.25870646766169153,1.0
reaction,0.1,52,10,338,0,0.8978340825500613,0.9025568262552491,0.9122807017543859,0.8387096774193549,1.0
reaction,0.25,52,10,338,0,0.8978340825500613,0.9025568262552491,0.9122807017543859,0.8387096774193549,1.0
reaction,0.5,52,10,338,0,0.8978340825500613,0.9025568262552491,0.9122807017543859,0.8387096774193549,1.0
reaction,0.75,49,9,339,3,0.8735777496839442,0.875328251093303,0.890909090909091,0.8448275862068966,0.9423076923076923
reaction,0.9,49,8,340,3,0.883202378424294,0.8844496818432506,0.8990825688073394,0.8596491228070176,0.9423076923076923
reaction,1.0,9,0,348,43,0.26696215479031654,0.39248297804902743,0.29508196721311475,1.0,0.17307692307692307
