config,amplitude,target_erosion,kappa_V (manuscript),raw_curvature ||F|| (Stokes),Fisher_distance,viability_margin,constraint_violation_rate,natural_gradient norm,random_curvature_control
circle_a=0.10_V_quad,0.1,0.02928613444796459,0.010000000000000002,0.03141277250932773,3.141592653589793,0.010000000000000009,0.0,0.19999999999902385,0.9905626398010526
circle_a=0.20_V_quad,0.2,0.12328473941985346,0.039999999999999994,0.12565109003731093,3.141592653589793,0.040000000000000036,0.0,0.40000000000076735,0.9929520952467162
circle_a=0.30_V_quad,0.3,0.2885210595834358,0.08999999999999997,0.2827149525839495,3.141592653589793,0.09000000000000008,0.0,0.6000000000008695,0.9761077566033123
circle_a=0.40_V_quad,0.4,0.4725882718735564,0.16000000000000003,0.5026043601492437,3.141592653589793,0.16000000000000014,0.0,0.8000000000008395,1.0163315841119616
circle_a=0.50_V_quad,0.5,0.7744626805326679,0.25,0.7853193127331932,3.141592653589793,0.2500000000000001,0.0,1.0000000000007159,1.032163864633211
circle_a=0.60_V_quad,0.6,1.1562359102551945,0.36,1.130859810335798,3.141592653589793,0.3600000000000001,0.0,1.1999999999968345,1.0251071947335924
circle_a=0.70_V_quad,0.7,1.4506807506602528,0.4900000000000001,1.5392258529570586,3.141592653589793,0.4900000000000001,0.0,1.3999999999946986,1.0136671963340171
square_a=0.10_V_quad,0.1,0.041129797784536834,0.013439153439153442,0.04000000000000001,3.141592653589793,0.020000000000000018,0.0,0.230402969128779,0.9767412528082986
square_a=0.20_V_quad,0.2,0.16883463948171104,0.05375661375661381,0.16000000000000003,3.141592653589793,0.08000000000000007,0.0,0.46080593825751126,1.0278074441073108
square_a=0.30_V_quad,0.3,0.3676395369361969,0.1209523809523809,0.36,3.141592653589793,0.17999999999999994,0.0,0.6912089073856387,1.0130935928478793
square_a=0.40_V_quad,0.4,0.6225260677384861,0.21502645502645507,0.6400000000000001,3.141592653589793,0.32000000000000006,0.0,0.9216118765146173,0.9837925689497825
square_a=0.50_V_quad,0.5,0.9022674836880422,0.33597883597883593,1.0,3.141592653589793,0.5,0.0,1.1520148456419226,1.033206843180711
square_a=0.60_V_quad,0.6,1.4914674393791971,0.4838095238095238,1.44,3.141592653589793,0.72,0.0,1.3824178147650732,0.9957477265557177
square_a=0.70_V_quad,0.7,1.8941972467519337,0.6585185185185185,1.96,3.141592653589793,0.98,0.0,1.6128207838905895,1.0352994620616756
triangle_a=0.10_V_quad,0.1,0.015633741182136153,0.005059523809523805,0.01299038105676658,3.141592653589793,0.010000000000000009,0.0,0.13875351088988738,0.994902647560839
triangle_a=0.20_V_quad,0.2,0.060803785768189594,0.020238095238095246,0.05196152422706632,3.141592653589793,0.040000000000000036,0.0,0.2775070217817517,1.0178714178040196
triangle_a=0.30_V_quad,0.3,0.12278034125254306,0.04553571428571428,0.11691342951089921,3.141592653589793,0.09000000000000008,0.0,0.41626053267329777,1.0050595679440115
triangle_a=0.40_V_quad,0.4,0.23762410795890632,0.08095238095238097,0.20784609690826528,3.141592653589793,0.16000000000000003,0.0,0.5550140435638388,1.0195706773467936
triangle_a=0.50_V_quad,0.5,0.4195305532842743,0.1264880952380952,0.3247595264191645,3.141592653589793,0.25,0.0,0.6937675544548015,0.9872595404196793
triangle_a=0.60_V_quad,0.6,0.6348225669339189,0.18214285714285713,0.46765371804359684,3.141592653589793,0.3600000000000001,0.0,0.8325210653449708,1.0051788175018577
triangle_a=0.70_V_quad,0.7,0.7600792689018138,0.24791666666666662,0.6365286717815624,3.141592653589793,0.49,0.0,0.9712745762348286,1.0180146031293063
ellipse_a=0.10_V_quad,0.1,0.017322002450147,0.0062500000000000056,0.015706386254663866,3.141592653589793,0.010000000000000009,0.0,0.15419644251822412,0.9905067534789882
ellipse_a=0.20_V_quad,0.2,0.08536398913590054,0.025,0.06282554501865546,3.141592653589793,0.040000000000000036,0.0,0.3083928850381169,1.016324062396721
ellipse_a=0.30_V_quad,0.3,0.1816705025033824,0.05624999999999998,0.14135747629197476,3.141592653589793,0.08999999999999997,0.0,0.4625893275575893,0.996862845125867
ellipse_a=0.40_V_quad,0.4,0.30924616882764555,0.1,0.25130218007462185,3.141592653589793,0.16000000000000003,0.0,0.6167857700767568,1.0006343975805658
ellipse_a=0.50_V_quad,0.5,0.46621418431262546,0.15625,0.3926596563665966,3.141592653589793,0.25,0.0,0.7709822125954562,0.991932270422137
ellipse_a=0.60_V_quad,0.6,0.6205942814112283,0.22499999999999998,0.565429905167899,3.141592653589793,0.36,0.0,0.9251786551128403,1.0207326371756715
ellipse_a=0.70_V_quad,0.7,1.039391054771158,0.30624999999999997,0.7696129264785293,3.141592653589793,0.49,0.0,1.0793750976305716,0.9987096136965429
circle_a=0.10_V_quartic,0.1,7.913763124087984e-05,7.500000000000041e-05,0.03141277250932773,3.141592653589793,9.999999999998899e-05,0.0,0.003083928889276995,0.9929007015859277
circle_a=0.20_V_quartic,0.2,0.0015960816683077191,0.0012000000000000235,0.12565109003731093,3.141592653589793,0.0016000000000000458,0.0,0.02467143088120287,0.9987011516814484
circle_a=0.30_V_quartic,0.3,0.00860551454346995,0.006075000000000002,0.2827149525839495,3.141592653589793,0.008099999999999996,0.0,0.08326607907660348,1.024231443351995
circle_a=0.40_V_quartic,0.4,0.045744990278972726,0.019200000000000002,0.5026043601492437,3.141592653589793,0.025599999999999956,0.0,0.19737144657984773,0.9812686712821378
circle_a=0.50_V_quartic,0.5,0.13040953895864668,0.046875,0.7853193127331932,3.141592653589793,0.0625,0.0,0.3854911064924781,0.9987973891461406
circle_a=0.60_V_quartic,0.6,0.3429599880668829,0.09719999999999998,1.130859810335798,3.141592653589793,0.12959999999999994,0.0,0.6661286319131846,0.979896670566628
circle_a=0.70_V_quartic,0.7,1.292396234811823,0.18007499999999999,1.5392258529570586,3.141592653589793,0.24009999999999998,0.0,1.0577875959483538,0.9990244629462478
circle_a=0.10_V_gauss,0.1,0.028890755892575407,0.009950166250832004,0.03141277250932773,3.141592653589793,0.009950166250832004,0.0,0.19800996672982765,0.9873640306535947
circle_a=0.20_V_gauss,0.2,0.10660670232853593,0.03921056084767682,0.12565109003731093,3.141592653589793,0.03921056084767682,0.0,0.384315775623019,1.0230130750362014
circle_a=0.30_V_gauss,0.3,0.19946490823592172,0.08606881472877181,0.2827149525839495,3.141592653589793,0.08606881472877181,0.0,0.5483587111105783,0.9874165862438901
circle_a=0.40_V_gauss,0.4,0.3233099825874719,0.14785621103378865,0.5026043601492437,3.141592653589793,0.14785621103378876,0.0,0.6817150311106788,0.9881462947643767
circle_a=0.50_V_gauss,0.5,0.408415176044068,0.22119921692859504,0.7853193127331932,3.141592653589793,0.22119921692859512,0.0,0.7788007830043664,1.0468655713784123
circle_a=0.60_V_gauss,0.6,0.48420613194072215,0.302323673928969,1.130859810335798,3.141592653589793,0.302323673928969,0.0,0.8372115912142959,0.9836032412660087
circle_a=0.70_V_gauss,0.7,0.5708253414277458,0.3873736058155838,1.5392258529570586,3.141592653589793,0.387373605815584,0.0,0.8576769517900458,0.9545985753981805
circle_a=0.10_V_rat,0.1,0.026787502470711655,0.009900990099009906,0.03141277250932773,3.141592653589793,0.00990099009900991,0.0,0.1960592098434287,1.033091269997822
circle_a=0.20_V_rat,0.2,0.10101751597373615,0.03846153846153853,0.12565109003731093,3.141592653589793,0.03846153846153855,0.0,0.3698224851395638,0.9953979138604572
circle_a=0.30_V_rat,0.3,0.1670176984141761,0.08256880733944955,0.2827149525839495,3.141592653589793,0.0825688073394496,0.0,0.5050079958790177,1.0108977862788595
circle_a=0.40_V_rat,0.4,0.25931250487187235,0.13793103448275862,0.5026043601492437,3.141592653589793,0.13793103448275867,0.0,0.5945303209653097,0.9890870308378638
circle_a=0.50_V_rat,0.5,0.3281785875525473,0.2,0.7853193127331932,3.141592653589793,0.20000000000000018,0.0,0.6399999999302596,0.9578273477603045
