bnum,gene_name,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iJO1366,b_wt,b_ko,delta_b,kV,log10_kV
b1377,ompN,COG3203,N,,,1,15.44424150377654,0.0,15.44424150377654,13601064.29713598,7.133572893685531
b2215,ompC,COG3203,N,,,1,15.44424150377654,0.0,15.44424150377654,13601064.29713598,7.133572893685531
b0929,ompF,COG3203,N,,,1,15.44424150377654,0.0,15.44424150377654,13601064.29713598,7.133572893685531
b0241,phoE,COG3203,N,,,1,15.44424150377654,0.0,15.44424150377654,13601064.29713598,7.133572893685531
b4034,malE,COG2182,N,,,0,15.44424150377654,15.444241503776595,-5.506706202140776e-14,18317.032906994977,4.26285512563749
b4033,malF,COG1175,N,,,0,15.44424150377654,15.44424150377646,7.993605777301127e-14,18317.032906994737,4.2628551256374845
b4032,malG,COG3833,N,,,0,15.44424150377654,15.44424150377646,7.993605777301127e-14,18317.032906994737,4.2628551256374845
b4035,malK,COG3839,N,,,0,15.44424150377654,15.44424150377646,7.993605777301127e-14,18317.032906994737,4.2628551256374845
b4036,lamB,COG4580,N,,,0,15.44424150377654,15.44424150377646,7.993605777301127e-14,18117.032906994737,4.258087073162403
b4213,cpdB,COG0737,N,,,0,15.44424150377654,15.44424150377646,7.993605777301127e-14,18117.032906994737,4.258087073162403
b2835,ygeD,COG0477,N,,,0,15.44424150377654,15.44424150377646,7.993605777301127e-14,18117.032906994737,4.258087073162403
b2836,aas,COG0204,N,,,0,15.44424150377654,15.050509393827964,0.3937321099485764,58237.54429383565,4.765203053768552
b3553,tiaE,COG1052,N,,,0,15.44424150377654,15.444241503776782,-2.415845301584341e-13,18117.03290699554,4.2580870731624225
b1134,ymfB,COG0494,N,,,0,15.44424150377654,15.444241503776444,9.592326932761353e-14,18117.03290699465,4.258087073162401
b0446,cof,COG0561,N,,,0,15.44424150377654,15.444241503776444,9.592326932761353e-14,18117.03290699465,4.258087073162401
b1009,rarA,COG0596,N,,,0,15.44424150377654,15.444241503776444,9.592326932761353e-14,18117.03290699465,4.258087073162401
b0954,fabA,COG0764,E,E,u,0,15.44424150377654,15.444241503776444,9.592326932761353e-14,18117.03290699465,4.258087073162401
b0180,fabZ,COG0764,E,E,u,1,15.44424150377654,0.0,15.44424150377654,2111094.9919648757,6.324507775495246
b0347,mhpA,COG0654,N,,,0,15.44424150377654,15.444241503776215,3.250733016102459e-13,18117.03290699398,4.258087073162385
b3580,lyxK,COG1070,N,,,0,15.44424150377654,15.444241503776464,7.638334409421078e-14,18117.0329069947,4.258087073162402
b1093,fabG,COG1028,E,E,u,1,15.44424150377654,1.5610721400768961e-15,15.44424150377654,2111094.991964898,6.324507775495251
