bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_essential_in_silico_iML1515,b_wt,b_ko,delta_b,kV,log10_kV
b0870,ltaE,COG2008,N,,,0,0.9259332133632957,0.9259332133632575,3.8191672047105385e-14,0.0,0.0
b2551,glyA,COG0112,N,,,0,0.9259332133632957,0.9259332133632597,3.597122599785507e-14,659.929672388436,2.8194976559645615
b3368,cysG,COG0007,N,,,1,0.9259332133632957,-3.668529914506607e-15,0.9259332133632994,3955.031594655419,3.5971499571964514
b2436,hemF,COG0408,N,,,0,0.9259332133632957,0.9259332133632364,5.928590951498336e-14,29.155301310526916,1.4647175340720346
b3500,gor,COG1249,N,,,0,0.9259332133632957,0.9259332133632859,9.769962616701378e-15,29.155301310485832,1.4647175340714227
b0945,pyrD,COG0167,N,,,0,0.9259332133632957,0.9259332133632859,9.769962616701378e-15,29.155301310485832,1.4647175340714227
b2979,glcD,COG0277,N,,,0,0.9259332133632957,0.9259332133632859,9.769962616701378e-15,29.155301310485832,1.4647175340714227
b3916,pfkA,COG0205,N,,,0,0.9259332133632957,0.9259332133633028,-7.105427357601002e-15,1254.1175156763748,3.098338233479193
b1260,trpA,COG0159,N,,,1,0.9259332133632957,-1.4269617035349306e-16,0.9259332133632958,6067.235836734629,3.7829908765332756
b1261,trpB,COG0133,N,,,1,0.9259332133632957,0.0,0.9259332133632957,6067.235836734539,3.7829908765332694
b3426,glpD,COG0578,N,,,0,0.9259332133632957,0.9259332133632303,6.539213615042172e-14,1272.7224529751163,3.104733705866226
b2243,glpC,COG0247,N,,,0,0.9259332133632957,0.9259332133632524,4.3298697960381105e-14,1272.7224529751356,3.1047337058662325
b2242,glpB,COG3075,N,,,0,0.9259332133632957,0.9259332133632524,4.3298697960381105e-14,1272.7224529751356,3.1047337058662325
b2241,glpA,COG0578,N,,,0,0.9259332133632957,0.9259332133632524,4.3298697960381105e-14,1272.7224529751356,3.1047337058662325
b4054,tyrB,COG1448,N,,,1,0.9259332133632957,2.210868370054814e-15,0.9259332133632935,4293.39742767491,3.6328010917539193
b3281,aroE,COG0169,N,,,1,0.9259332133632957,2.1626143363220526e-14,0.925933213363274,4293.397427674869,3.6328010917539153
b1692,ydiB,COG0169,N,,,1,0.9259332133632957,0.0,0.9259332133632957,4293.397427674946,3.632801091753923
b0243,proA,COG0014,N,,,1,0.9259332133632957,1.1336740221183747e-29,0.9259332133632957,4293.397427674954,3.6328010917539237
b0414,ribD,COG0117,E,N,u,1,0.9259332133632957,4.058783943723746e-15,0.9259332133632916,5744.156584658629,3.7592262701838086
b3041,ribB,COG0108,E,E,u,1,0.9259332133632957,0.0,0.9259332133632957,5744.156584658673,3.7592262701838117
b0025,ribF,COG0196,E,,,1,0.9259332133632957,0.0,0.9259332133632957,5744.156584658638,3.759226270183809
