bnum,gene_name_keio,COG_id,keio_call,PEC,MG_Tn5,y_ess_in_silico,b_wt,b_ko,delta_b,kV,log10_kV,keio_E,kV_db_original,log10_kV_db_original,kV_db_linear,log10_kV_db_linear,kV_db_quadratic,log10_kV_db_quadratic,kV_db_indicator,log10_kV_db_indicator,model
b1377,ompN,COG3203,N,,,1,15.44424150377654,0.0,15.44424150377654,13601064.29713598,7.133572893685531,0,13601064.29713598,7.133572893685531,27202128.59427196,7.434602889349512,27202128.59427196,7.434602889349512,13601064.29713598,7.133572893685531,iJO1366
b2215,ompC,COG3203,N,,,1,15.44424150377654,0.0,15.44424150377654,13601064.29713598,7.133572893685531,0,13601064.29713598,7.133572893685531,27202128.59427196,7.434602889349512,27202128.59427196,7.434602889349512,13601064.29713598,7.133572893685531,iJO1366
b0929,ompF,COG3203,N,,,1,15.44424150377654,0.0,15.44424150377654,13601064.29713598,7.133572893685531,0,13601064.29713598,7.133572893685531,27202128.59427196,7.434602889349512,27202128.59427196,7.434602889349512,13601064.29713598,7.133572893685531,iJO1366
b0241,phoE,COG3203,N,,,1,15.44424150377654,0.0,15.44424150377654,13601064.29713598,7.133572893685531,0,13601064.29713598,7.133572893685531,27202128.59427196,7.434602889349512,27202128.59427196,7.434602889349512,13601064.29713598,7.133572893685531,iJO1366
b4034,malE,COG2182,N,,,0,15.44424150377654,15.444241503776595,-5.5067062021407764e-14,18317.032906994977,4.26285512563749,0,18317.032906994977,4.26285512563749,18317.03290699491,4.262855125637489,18317.032906994977,4.26285512563749,0.0,-12.0,iJO1366
b4033,malF,COG1175,N,,,0,15.44424150377654,15.44424150377646,7.993605777301127e-14,18317.032906994737,4.2628551256374845,0,18317.032906994737,4.2628551256374845,18317.03290699483,4.262855125637487,18317.032906994737,4.2628551256374845,0.0,-12.0,iJO1366
b4032,malG,COG3833,N,,,0,15.44424150377654,15.44424150377646,7.993605777301127e-14,18317.032906994737,4.2628551256374845,0,18317.032906994737,4.2628551256374845,18317.03290699483,4.262855125637487,18317.032906994737,4.2628551256374845,0.0,-12.0,iJO1366
b4035,malK,COG3839,N,,,0,15.44424150377654,15.44424150377646,7.993605777301127e-14,18317.032906994737,4.2628551256374845,0,18317.032906994737,4.2628551256374845,18317.03290699483,4.262855125637487,18317.032906994737,4.2628551256374845,0.0,-12.0,iJO1366
b4036,lamB,COG4580,N,,,0,15.44424150377654,15.44424150377646,7.993605777301127e-14,18117.032906994737,4.258087073162403,0,18117.032906994737,4.258087073162403,18117.032906994827,4.258087073162405,18117.032906994737,4.258087073162403,0.0,-12.0,iJO1366
b4213,cpdB,COG0737,N,,,0,15.44424150377654,15.44424150377646,7.993605777301127e-14,18117.032906994737,4.258087073162403,0,18117.032906994737,4.258087073162403,18117.032906994827,4.258087073162405,18117.032906994737,4.258087073162403,0.0,-12.0,iJO1366
