gene,table,time_point,log2_fold_change,abs_log2_FC,kappa_V_predicted,mapping_status
flhD,1,T1,0.18,0.18,0.0,GLOBAL (uses biomass-deficit curvature time-series)
flhD,1,T2,-0.2,0.2,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
flhD,1,T3,-0.39,0.39,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
flhD,1,T4,-0.05,0.05,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
flhD,1,T5,-0.12,0.12,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
flhD,1,T6,-0.33,0.33,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
flhD,1,T7,-0.37,0.37,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
flhD,1,T8,-0.5,0.5,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
fliA,1,T1,0.1,0.1,0.0,GLOBAL (uses biomass-deficit curvature time-series)
fliA,1,T2,-0.26,0.26,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
fliA,1,T3,-0.29,0.29,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
fliA,1,T4,-0.64,0.64,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
fliA,1,T5,-0.55,0.55,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
fliA,1,T6,-0.68,0.68,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
fliA,1,T7,-1.0,1.0,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
fliA,1,T8,-2.42,2.42,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
ycgR,1,T1,0.08,0.08,0.0,GLOBAL (uses biomass-deficit curvature time-series)
ycgR,1,T2,0.02,0.02,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
ycgR,1,T3,-0.74,0.74,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
ycgR,1,T4,0.15,0.15,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
ycgR,1,T5,0.06,0.06,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
ycgR,1,T6,0.06,0.06,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
ycgR,1,T7,0.22,0.22,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
ycgR,1,T8,0.05,0.05,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
flgB,1,T1,0.07,0.07,0.0,GLOBAL (uses biomass-deficit curvature time-series)
flgB,1,T2,-0.1,0.1,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
flgB,1,T3,-0.4,0.4,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
flgB,1,T4,-0.29,0.29,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
flgB,1,T5,0.07,0.07,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
flgB,1,T6,-0.2,0.2,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
flgB,1,T7,-0.45,0.45,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
flgB,1,T8,-1.32,1.32,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
flgD,1,T1,-0.22,0.22,0.0,GLOBAL (uses biomass-deficit curvature time-series)
flgD,1,T2,-0.25,0.25,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
flgD,1,T3,-0.35,0.35,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
flgD,1,T4,-0.59,0.59,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
flgD,1,T5,-0.41,0.41,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
flgD,1,T6,-0.54,0.54,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
flgD,1,T7,-0.98,0.98,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
flgD,1,T8,-1.44,1.44,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
flgE,1,T1,0.2,0.2,0.0,GLOBAL (uses biomass-deficit curvature time-series)
flgE,1,T2,-0.56,0.56,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
flgE,1,T3,-0.68,0.68,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
flgE,1,T4,-0.52,0.52,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
flgE,1,T5,-0.27,0.27,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
flgE,1,T6,-0.58,0.58,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
flgE,1,T7,-0.87,0.87,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
flgE,1,T8,-1.96,1.96,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
flgC,1,T1,-0.09,0.09,0.0,GLOBAL (uses biomass-deficit curvature time-series)
flgC,1,T2,-0.47,0.47,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
flgC,1,T3,-0.4,0.4,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
flgC,1,T4,-0.35,0.35,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
flgC,1,T5,-0.5,0.5,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
flgC,1,T6,-0.63,0.63,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
flgC,1,T7,-0.99,0.99,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
flgC,1,T8,-2.04,2.04,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
flgA,1,T1,-0.08,0.08,0.0,GLOBAL (uses biomass-deficit curvature time-series)
flgA,1,T2,-0.12,0.12,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
flgA,1,T3,0.03,0.03,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
flgA,1,T4,-0.31,0.31,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
flgA,1,T5,0.09,0.09,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
flgA,1,T6,0.36,0.36,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
flgA,1,T7,-0.05,0.05,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
flgA,1,T8,-0.71,0.71,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
flgJ,1,T1,-0.03,0.03,0.0,GLOBAL (uses biomass-deficit curvature time-series)
flgJ,1,T2,-0.45,0.45,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
flgJ,1,T3,-0.63,0.63,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
flgJ,1,T4,-0.52,0.52,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
flgJ,1,T5,-0.08,0.08,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
flgJ,1,T6,-0.08,0.08,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
flgJ,1,T7,-0.3,0.3,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
flgJ,1,T8,-0.61,0.61,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
flgG,1,T1,-0.09,0.09,0.0,GLOBAL (uses biomass-deficit curvature time-series)
flgG,1,T2,-0.43,0.43,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
flgG,1,T3,-0.95,0.95,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
flgG,1,T4,-0.36,0.36,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
flgG,1,T5,-0.02,0.02,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
flgG,1,T6,-0.41,0.41,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
flgG,1,T7,-0.41,0.41,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
flgG,1,T8,-0.98,0.98,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
flgH,1,T1,-0.09,0.09,0.0,GLOBAL (uses biomass-deficit curvature time-series)
flgH,1,T2,-0.4,0.4,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
flgH,1,T3,-0.48,0.48,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
flgH,1,T4,-0.03,0.03,0.05241832784954572,GLOBAL (uses biomass-deficit curvature time-series)
flgH,1,T5,0.33,0.33,0.08918051997086955,GLOBAL (uses biomass-deficit curvature time-series)
flgH,1,T6,-0.03,0.03,0.12138459662701677,GLOBAL (uses biomass-deficit curvature time-series)
flgH,1,T7,-0.17,0.17,0.14308518981992852,GLOBAL (uses biomass-deficit curvature time-series)
flgH,1,T8,-0.59,0.59,0.1585431466148791,GLOBAL (uses biomass-deficit curvature time-series)
flgK,1,T1,-0.08,0.08,0.0,GLOBAL (uses biomass-deficit curvature time-series)
flgK,1,T2,-0.44,0.44,0.0063417258645956445,GLOBAL (uses biomass-deficit curvature time-series)
flgK,1,T3,-0.64,0.64,0.025366903458380084,GLOBAL (uses biomass-deficit curvature time-series)
