tau,beta,D,L,structure,mdl,sse,nll,bic_penalty,scale,kappa_V_uncalibrated,kappa_V_calibrated,abs_err_calibrated,abs_err_uncalibrated
0.02,0.5,0.02,4,uniform,-462.95260934054386,74.67017855248635,-475.38182553738824,12.429216196844383,0.3453899752947236,0.16352102202638494,0.05647852175786105,0.2642168873001563,0.15717438703163242
0.02,0.5,0.02,4,kmeans,-465.6932058927239,73.85608557046561,-478.12242208956826,12.429216196844383,0.42686057252395543,0.16134591346661836,0.06887220899676129,0.2518232000612561,0.159349495591399
0.02,0.5,0.02,8,uniform,-451.755253596841,78.09064124385795,-464.18446979368537,12.429216196844383,0.2877988828285372,0.16482801078909842,0.047437317363952604,0.27325809169406473,0.15586739826891893
0.02,0.5,0.02,8,kmeans,-453.303160792349,77.60862674921661,-465.73237698919337,12.429216196844383,0.3455656103906486,0.16451230242491666,0.0568497942042373,0.26384561485378005,0.1561831066331007
0.02,0.5,0.02,16,uniform,-451.755253596841,78.09064124385795,-464.18446979368537,12.429216196844383,0.2877988828285372,0.16482801078909842,0.047437317363952604,0.27325809169406473,0.15586739826891893
0.02,0.5,0.02,16,kmeans,-453.303160792349,77.60862674921661,-465.73237698919337,12.429216196844383,0.3455656103906486,0.16451230242491666,0.0568497942042373,0.26384561485378005,0.1561831066331007
0.02,0.5,0.02,32,uniform,-451.755253596841,78.09064124385795,-464.18446979368537,12.429216196844383,0.2877988828285372,0.16482801078909842,0.047437317363952604,0.27325809169406473,0.15586739826891893
0.02,0.5,0.02,32,kmeans,-453.303160792349,77.60862674921661,-465.73237698919337,12.429216196844383,0.3455656103906486,0.16451230242491666,0.0568497942042373,0.26384561485378005,0.1561831066331007
0.02,0.5,0.05,4,uniform,-466.0507504562729,73.75053369992834,-478.4799666531173,12.429216196844383,0.36429497591472787,0.1629275466283269,0.05935368667481205,0.2613417223832053,0.15776786242969046
0.02,0.5,0.05,4,kmeans,-468.9699528987024,72.89437109937721,-481.39916909554677,12.429216196844383,0.4506352061882516,0.16028996102735,0.07223229963746668,0.24846310942055067,0.16040544803066736
0.02,0.5,0.05,8,uniform,-454.4801510245914,77.24410711212734,-466.9093672214358,12.429216196844383,0.3031975417790503,0.1645982783862144,0.04990579338776399,0.2707896156702534,0.15609713067180295
0.02,0.5,0.05,8,kmeans,-456.161239990718,76.72643271154885,-468.5904561875624,12.429216196844383,0.3648508055363917,0.16409843233437807,0.05987144522445691,0.26082396383356043,0.1565969767236393
0.02,0.5,0.05,16,uniform,-454.4801510245914,77.24410711212734,-466.9093672214358,12.429216196844383,0.3031975417790503,0.1645982783862144,0.04990579338776399,0.2707896156702534,0.15609713067180295
