study,tau,n_passing,metric,orig,v12,delta
E8,0.001,55,zero_order_pearson,0.9066547945735345,0.9114256114598086,0.004770816886274121
E8,0.001,55,zero_order_spearman,0.8012172853739827,0.9546790036568223,
E8,0.001,55,partial_r_given_margin,0.8488451353141486,0.8566556399540929,0.00781050463994426
E8,0.002,53,zero_order_pearson,0.9066547945735345,0.9121620053481299,0.0055072107745953724
E8,0.002,53,zero_order_spearman,0.8012172853739827,0.9673022793648327,
E8,0.002,53,partial_r_given_margin,0.8488451353141486,0.8578416140417209,0.008996478727572255
E8,0.005,51,zero_order_pearson,0.9066547945735345,0.9124075192878378,0.0057527247143033255
E8,0.005,51,zero_order_spearman,0.8012172853739827,0.9648174490342734,
E8,0.005,51,partial_r_given_margin,0.8488451353141486,0.8582391502715337,0.009394014957385122
E8,0.01,22,zero_order_pearson,0.9066547945735345,0.9151516895977685,0.008496895024234008
E8,0.01,22,zero_order_spearman,0.8012172853739827,0.7816295879438321,
E8,0.01,22,partial_r_given_margin,0.8488451353141486,0.8639975407026217,0.015152405388473067
E8,0.02,20,zero_order_pearson,0.9066547945735345,0.9140517571922737,0.0073969626187392334
E8,0.02,20,zero_order_spearman,0.8012172853739827,0.7549695384928238,
E8,0.02,20,partial_r_given_margin,0.8488451353141486,0.8623827946642998,0.013537659350151166
E8,0.03,16,zero_order_pearson,0.9066547945735345,0.9106079580924624,0.003953163518927938
E8,0.03,16,zero_order_spearman,0.8012172853739827,0.6933557964492595,
E8,0.03,16,partial_r_given_margin,0.8488451353141486,0.8578141023815868,0.008968967067438216
E8,0.05,12,zero_order_pearson,0.9066547945735345,0.9015669651901678,-0.005087829383366715
E8,0.05,12,zero_order_spearman,0.8012172853739827,0.6147061761940776,
E8,0.05,12,partial_r_given_margin,0.8488451353141486,0.8413711125571993,-0.007474022756949306
E8,0.1,10,zero_order_pearson,0.9066547945735345,0.8746041418851107,-0.032050652688423775
E8,0.1,10,zero_order_spearman,0.8012172853739827,0.5675110141121583,
E8,0.1,10,partial_r_given_margin,0.8488451353141486,0.7940205831556177,-0.05482455215853088
E10,0.005,77,all_pairs_pearson,0.21578741828319892,0.21701309131478544,0.0012256730315865216
E10,0.005,77,per_gene_pearson,-0.06334628128456737,0.10236053268696348,0.16570681397153086
E10,0.005,77,per_gene_spearman,-0.09477082861851907,0.08479194068399311,0.1795627693025122
E10,0.01,77,all_pairs_pearson,0.21578741828319892,0.21701309131478544,0.0012256730315865216
E10,0.01,77,per_gene_pearson,-0.06334628128456737,0.10236053268696348,0.16570681397153086
E10,0.01,77,per_gene_spearman,-0.09477082861851907,0.08479194068399311,0.1795627693025122
E10,0.02,77,all_pairs_pearson,0.21578741828319892,0.21701309131478544,0.0012256730315865216
E10,0.02,77,per_gene_pearson,-0.06334628128456737,0.10236053268696348,0.16570681397153086
E10,0.02,77,per_gene_spearman,-0.09477082861851907,0.08479194068399311,0.1795627693025122
E10,0.05,77,all_pairs_pearson,0.21578741828319892,0.21701309131478544,0.0012256730315865216
E10,0.05,77,per_gene_pearson,-0.06334628128456737,0.10236053268696348,0.16570681397153086
E10,0.05,77,per_gene_spearman,-0.09477082861851907,0.08479194068399311,0.1795627693025122
E10,0.1,77,all_pairs_pearson,0.21578741828319892,0.21701309131478544,0.0012256730315865216
E10,0.1,77,per_gene_pearson,-0.06334628128456737,0.10236053268696348,0.16570681397153086
E10,0.1,77,per_gene_spearman,-0.09477082861851907,0.08479194068399311,0.1795627693025122
E10,0.2,77,all_pairs_pearson,0.21578741828319892,0.21701309131478544,0.0012256730315865216
E10,0.2,77,per_gene_pearson,-0.06334628128456737,0.10236053268696348,0.16570681397153086
E10,0.2,77,per_gene_spearman,-0.09477082861851907,0.08479194068399311,0.1795627693025122
