gene_bnumber,gene_name,n_reactions_total,n_reactions_active,active_reactions,dominant_gpr_class,subsystem_max_kappa_rxn,kappa_V_T1,kappa_V_T2,kappa_V_T3,kappa_V_T4,kappa_V_T5,kappa_V_T6,kappa_V_T7,kappa_V_T8,kappa_V_max,kappa_V_variance,in_lemuth92,in_mapped15
b3735,b3735,1,1,ATPS4rpp,mixed,Oxidative Phosphorylation,0.0,18.665199854488243,74.66079941795316,154.2795425472538,262.4793729537401,357.26359096481286,421.1335717168893,466.6299963622043,466.6299963622043,29537.779541722037,False,False
b3736,b3736,1,1,ATPS4rpp,mixed,Oxidative Phosphorylation,0.0,18.665199854488243,74.66079941795316,154.2795425472538,262.4793729537401,357.26359096481286,421.1335717168893,466.6299963622043,466.6299963622043,29537.779541722037,False,False
b3737,b3737,1,1,ATPS4rpp,mixed,Oxidative Phosphorylation,0.0,18.665199854488243,74.66079941795316,154.2795425472538,262.4793729537401,357.26359096481286,421.1335717168893,466.6299963622043,466.6299963622043,29537.779541722037,False,False
b3738,b3738,1,1,ATPS4rpp,mixed,Oxidative Phosphorylation,0.0,18.665199854488243,74.66079941795316,154.2795425472538,262.4793729537401,357.26359096481286,421.1335717168893,466.6299963622043,466.6299963622043,29537.779541722037,False,False
b3739,b3739,1,1,ATPS4rpp,mixed,Oxidative Phosphorylation,0.0,18.665199854488243,74.66079941795316,154.2795425472538,262.4793729537401,357.26359096481286,421.1335717168893,466.6299963622043,466.6299963622043,29537.779541722037,False,False
b3732,b3732,1,1,ATPS4rpp,mixed,Oxidative Phosphorylation,0.0,18.665199854488243,74.66079941795316,154.2795425472538,262.4793729537401,357.26359096481286,421.1335717168893,466.6299963622043,466.6299963622043,29537.779541722037,False,False
b3733,b3733,1,1,ATPS4rpp,mixed,Oxidative Phosphorylation,0.0,18.665199854488243,74.66079941795316,154.2795425472538,262.4793729537401,357.26359096481286,421.1335717168893,466.6299963622043,466.6299963622043,29537.779541722037,False,False
b3734,b3734,1,1,ATPS4rpp,mixed,Oxidative Phosphorylation,0.0,18.665199854488243,74.66079941795316,154.2795425472538,262.4793729537401,357.26359096481286,421.1335717168893,466.6299963622043,466.6299963622043,29537.779541722037,False,False
b3731,b3731,1,1,ATPS4rpp,mixed,Oxidative Phosphorylation,0.0,18.665199854488243,74.66079941795316,154.2795425472538,262.4793729537401,357.26359096481286,421.1335717168893,466.6299963622043,466.6299963622043,29537.779541722037,False,False
s0001,s0001,39,11,MTHTHFSs; OMCDC; MEOHtrpp; CO2tpp; H2Otex; G5SADs; NH4tpp; O2tpp; FESD1s; DHPTDCs2; H2Otpp,single,"Transport, Inner Membrane",0.0,13.207802234862713,52.83120893945109,109.17074034753136,185.73471892774785,252.80558965165648,298.0010379240733,330.19505587154964,330.19505587154964,14790.187197329378,False,False
b0875,b0875,1,1,H2Otpp,isozyme-or,"Transport, Inner Membrane",0.0,13.207802234862713,52.83120893945109,109.17074034753136,185.73471892774785,252.80558965165648,298.0010379240733,330.19505587154964,330.19505587154964,14790.187197329378,False,False
b0241,b0241,270,20,MEOHtex; CLtex; SO4tex; MNtex; PItex; Htex; COBALT2tex; NH4tex; Zn2tex; CU2tex; NI2tex; GLCtex_copy1; MOBDtex; CO2tex; H2Otex; MG2tex; Ktex; O2tex; CA2tex; FE2tex,isozyme-or,"Transport, Outer Membrane Porin",0.0,13.207802234862687,52.83120893945103,109.1707403475313,185.73471892774776,252.80558965165636,298.0010379240733,330.1950558715495,330.1950558715495,14790.187197329371,False,False
b0957,b0957,1,1,H2Otex,isozyme-or,"Transport, Outer Membrane Porin",0.0,13.207802234862687,52.83120893945103,109.1707403475313,185.73471892774776,252.80558965165636,298.0010379240733,330.1950558715495,330.1950558715495,14790.187197329371,False,False
b3875,b3875,1,1,H2Otex,isozyme-or,"Transport, Outer Membrane Porin",0.0,13.207802234862687,52.83120893945103,109.1707403475313,185.73471892774776,252.80558965165636,298.0010379240733,330.1950558715495,330.1950558715495,14790.187197329371,False,False
