gene,b_number,gene_name,class,matched_condition,reactions,max_abs_log2_FC,kv_baseline,kv_anaerobic-nitrate,kv_galactose,kv_glycerol-P-limited,kv_trehalose,kv_proline-nitrogen,kv_oxidative-WT,kv_oxidative-vulnerable,kv_osmotic-retention,kv_matched
b2097,b2097,b2097,primary,baseline,FBA,0.44,9.490141723290312,8.941708032801127,0.0,0.0,0.0,11.23550243905165,9.482963415103914,9.341591427562888,5.508366255969801,9.490141723290312
bcp,b2480,b2480,burden,oxidative-vulnerable,THIORDXi,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014400000000000003,0.0,0.014400000000000003
caiC,b0037,b0037,excluded,(none),CTBTCAL2; CRNCAL2; CRNDCAL2,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
galT,b0758,b0758,primary,galactose,UGLT,0.56,0.0,0.0,16.000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,16.000000000000007
msrA,b4219,b4219,burden,oxidative-WT,METSOXR1,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0016,0.0,0.0016
narJ,b1226,b1226,primary,anaerobic-nitrate,NO3R1pp; NO3R2pp,0.77,0.0,274.8918188886903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.8918188886903
otsB,b1897,b1897,burden,osmotic-retention,TRE6PP,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04000000000000001,0.04000000000000001
proV,b2677,b2677,primary,proline-nitrogen,PROabcpp; CTBTabcpp; CRNabcpp,1.14,0.0,0.0,0.0,0.0,0.0,63.58852288589176,0.0,0.0,0.0,63.58852288589176
proW,b2678,b2678,primary,proline-nitrogen,PROabcpp; CTBTabcpp; CRNabcpp,0.48,0.0,0.0,0.0,0.0,0.0,63.58852288589176,0.0,0.0,0.0,63.58852288589176
sodA,b3908,b3908,burden,oxidative-WT,SPODM,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.04000000000000001,0.04000000000000001,0.0,0.04000000000000001
treA,b1197,b1197,primary,trehalose,TREHpp,0.36,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0
ugpC,b3450,b3450,primary,glycerol-P-limited,G3PSabcpp; GLYC2Pabcpp; G3PEabcpp,0.56,0.0,0.0,5.256084306918138e-67,2.5600000000000125,7.921101783716329e-35,0.0,4.985559161443871e-36,0.0,0.0,2.5600000000000125
yeaA,b1778,b1778,burden,oxidative-WT,METSOXR2,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0016,0.0,0.0016
yehX,b2129,b2129,burden,osmotic-retention,CHLabcpp; GLYBabcpp,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04000000000000001,0.04000000000000001
yehY,b2130,b2130,burden,osmotic-retention,CHLabcpp; GLYBabcpp,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04000000000000001,0.04000000000000001
