gene_bnumber,kappa_V_max,log10_kv,gpr_class,subsystem,active_reactions,fc_m3d_stationary_135min,fc_m3d_stationary_330min,fc_m3d_stationary_480min,fc_m3d_stationary_720min,fc_m3d_lateLog,fc_m3d_proline,fc_m3d_glycerol,fc_m3d_acetate,fc_m3d_hu_stat_minus_exp,fc_m3d_biofilm_noGlucose,fc_m3d_max_exhaustion,fc_prec_galactose,fc_prec_glycerol,fc_prec_arg_sbt,fc_prec_cytd_rib,fc_prec_leu_glcr,fc_prec_phe_acgam,fc_prec_tyr_glcn,fc_prec_ura_pyr,fc_prec_wt_ac,fc_prec_wt_fru,fc_prec_max_carbon_switch,in_lemuth92
b3735,466.629996,2.668973,mixed,Oxidative Phosphorylation,ATPS4rpp,-0.58672,-2.11277,-3.519265,-3.22798,-0.157787,-0.02247,0.28938,-0.02037,0.1673,1.07898,3.519265,0.344927,0.901036,0.482962,-1.400572,0.363204,0.146034,0.101374,0.329686,-0.309772,0.422298,1.400572,False
b3736,466.629996,2.668973,mixed,Oxidative Phosphorylation,ATPS4rpp,-0.66855,-2.1136,-3.41974,-3.426415,-0.0898,-0.3009,0.1715,-0.09275,0.278,1.01596,3.426415,0.346023,0.946866,0.82177,-0.954344,0.40547,0.206744,0.262071,0.751068,-0.245602,0.390275,0.954344,False
b3737,466.629996,2.668973,mixed,Oxidative Phosphorylation,ATPS4rpp,-1.35416,-1.91206,-3.78975,-3.389305,-0.359093,0.10894,0.42699,0.11369,0.1566,0.0908,3.78975,-0.178146,1.095419,0.598447,-1.101918,0.383636,-0.214313,0.010899,0.961102,-0.279488,0.003536,1.101918,False
b3738,466.629996,2.668973,mixed,Oxidative Phosphorylation,ATPS4rpp,-1.02417,-2.21935,-4.226835,-3.65558,-0.250453,-0.15217,0.13548,0.18808,0.0502,0.67381,4.226835,0.632795,0.417745,0.507711,-0.693122,0.720998,0.445023,0.392245,0.685266,-0.300139,0.057286,0.720998,False
b3739,466.629996,2.668973,mixed,Oxidative Phosphorylation,ATPS4rpp,-1.3107,-1.51174,-2.551965,-2.36643,-0.004647,-0.08193,0.28757,0.17882,-0.39075,1.15348,2.551965,1.040064,1.312646,0.208861,0.0562,0.932783,0.769023,0.560844,1.69382,1.070454,1.152588,1.69382,False
b3732,466.629996,2.668973,mixed,Oxidative Phosphorylation,ATPS4rpp,0.4315,-1.689055,-2.541055,-2.494395,-0.0396,-0.217985,0.28375,-0.0454,-0.3153,1.44843,2.541055,0.523825,0.442148,0.817978,-0.891442,0.418209,0.400693,0.55292,0.512683,-0.564112,0.11837,0.891442,False
b3733,466.629996,2.668973,mixed,Oxidative Phosphorylation,ATPS4rpp,0.13016,-1.824935,-2.85872,-2.72245,-0.160973,-0.23584,0.10941,-0.23014,0.0556,1.0816,2.85872,0.252954,0.280583,0.622651,-1.171858,0.280879,0.122506,0.271905,0.361673,-0.679544,-0.083504,1.171858,False
b3734,466.629996,2.668973,mixed,Oxidative Phosphorylation,ATPS4rpp,-0.23368,-2.24175,-3.471315,-3.40696,-0.309847,-0.02373,0.41177,-0.05688,0.1394,1.85035,3.471315,0.349435,0.385155,0.578489,-1.326676,0.347335,0.240268,0.251898,0.260371,0.029025,0.784823,1.326676,False
b3731,466.629996,2.668973,mixed,Oxidative Phosphorylation,ATPS4rpp,0.68016,-1.135295,-1.385235,-1.811695,0.429493,-0.70519,-0.06544,-0.52304,-0.361,1.10544,1.811695,0.083504,0.808429,0.375747,-1.264177,-0.187125,-0.018384,0.006012,0.403489,-0.263642,0.227882,1.264177,False
b0875,330.195056,2.518771,isozyme-or,"Transport, Inner Membrane",H2Otpp,0.05694,0.67484,1.253775,0.71208,-0.0979,0.32347,-0.01979,0.410325,0.00035,0.12846,1.253775,0.410027,-0.053998,0.249798,1.483612,0.326934,-0.138343,-0.109818,0.862158,0.338439,-0.04203,1.483612,False
