gene_bnumber,kappa_V_max,paxdb_ppm,m3d_exhaustion_maxfc,gse_transcript_maxfc,gse_protein_maxfc,gse_protein_4h_fc
b3735,466.6299963622043,983.0,3.5192650000000008,9.127210376686683,0.5849625007211561,0.19264507794239583
b3736,466.6299963622043,1126.0,3.4264149999999987,7.310402672441293,1.6300503902496937,0.497499659470817
b3737,466.6299963622043,795.0,3.7897499999999997,8.146769662777453,,
b3738,466.6299963622043,68.4,4.2268349999999995,9.12128009778543,,
b3739,466.6299963622043,5.74,2.551964999999999,7.462098806324669,,
b3732,466.6299963622043,3831.0,2.541055,6.897702259474409,0.6402123612866184,0.21041977967037173
b3733,466.6299963622043,1080.0,2.8587200000000017,6.874431619374176,0.5849625007211565,0.5849625007211565
b3734,466.6299963622043,2836.0,3.4713150000000006,8.817349976814963,0.7849871090291494,0.11681366498275025
b3731,466.6299963622043,1118.0,1.8116950000000003,8.443415071980967,1.3219280948873622,0.2630344058337939
s0001,330.19505587154964,,,,,
b0875,330.19505587154964,,1.253775,,,
b0241,330.1950558715495,63.7,0.7786849999999994,,,
b0957,330.1950558715495,5812.0,1.8448999999999973,,,
b3875,330.1950558715495,0.225,0.8458729999999992,,,
b2215,330.1950558715495,1739.0,1.939020000000001,,,
b0929,330.1950558715495,1045.0,5.531305,4.492430707058294,2.538419914784126,0.15200309344505047
b1377,330.1950558715495,122.0,0.7382730000000004,0.8794358494846637,,
b1319,330.1950558715495,0.609,0.650677,,,
b0431,185.1892689286952,113.0,3.557715,3.924750513394154,2.169925001442312,2.169925001442312
b0432,185.1892689286952,265.0,2.926689999999999,3.6476052999950275,0.8479969065549504,0.28950661719498516
b0430,185.1892689286952,9.44,2.898365,3.408738985568081,,
b0429,185.1892689286952,16.8,3.471655,3.34046960644403,,
b2285,145.5163626409395,203.0,2.226894999999999,6.210245184750586,0.5849625007211561,0.5849625007211561
b2283,145.5163626409395,329.0,0.9551549999999995,5.749239144693027,0.5081469036703252,0.27417496343899384
b2286,145.5163626409395,358.0,2.379340000000001,5.741359320831279,0.23446525363702353,0.19264507794239627
b2276,145.5163626409395,22.4,1.259341000000001,,,
b2281,145.5163626409395,276.0,1.5896300000000014,5.509609645868383,0.24100809950379487,0.24100809950379487
b2277,145.5163626409395,2.59,1.071091000000001,7.354800590694873,,
b2278,145.5163626409395,17.3,1.7442449999999994,4.9940165948528215,1.584962500721156,1.087462841250339
b2279,145.5163626409395,87.4,1.779031999999999,5.691367451979357,2.0,1.0
b2287,145.5163626409395,272.0,2.4201000000000015,4.9491251693821185,0.6780719051126378,0.2630344058337939
b2288,145.5163626409395,167.0,1.846812,5.1009994014506574,1.3219280948873622,0.5849625007211561
b2284,145.5163626409395,206.0,1.2766850000000023,5.652662328954776,0.7162070339994089,0.7162070339994089
b2282,145.5163626409395,21.0,1.424175,5.2831956821432335,1.5849625007211565,1.0
b2280,145.5163626409395,12.3,1.1168899999999997,5.508078953806919,,
b1779,41.845541949642005,8977.0,2.5209100000000007,,,
b2926,41.845541949642005,5981.0,0.9883699999999997,7.2786003274660604,0.5745833549411579,0.5745833549411579
b2779,33.46252370443901,6953.0,1.4090799999999994,,,
b0755,33.46252370443899,4017.0,0.7487399999999997,,,
b3612,33.46252370443899,543.0,1.0915099999999995,,,
b4395,33.46252370443899,88.8,0.5692840000000015,,,
b0451,18.495294543147853,244.0,0.15308100000000024,,,
b2417,16.0,4137.0,1.4669000000000008,,,
b1101,16.0,456.0,1.9386849999999995,,,
b2415,16.0,2288.0,2.0380000000000003,9.063334908252749,1.8479969065549495,1.691877704637668
b2416,16.0,1408.0,0.9775900000000011,6.829610457842916,0.9014361655164107,0.8115549105868896
b1819,16.0,449.0,1.0846660000000004,5.474127264218522,0.362570079384708,0.16046467219324612
b1817,16.0,1470.0,1.2909299999999995,,,
b1621,16.0,4.15,0.8124199999999995,,,
b1818,16.0,292.0,1.3978449999999984,5.126041388596622,0.7004397181410922,0.28950661719498516
b1761,11.594530020086626,919.0,2.2045999999999992,,,
b0116,9.624846505736867,2119.0,2.773389999999999,,,
b0115,9.624846505736867,1429.0,1.8432999999999993,5.004502421821142,0.5879463591599778,0.4423581052783554
b0114,9.624846505736867,2367.0,1.9470600000000005,4.834766657987769,0.8535411710155847,0.4179908166681905
b3916,9.490141723290314,868.0,0.629055000000001,7.822914072358477,1.1255308820838588,0.900464326449085
b1723,9.490141723290314,217.0,0.9323809999999995,,,
