gene_bnumber,kappa_V_max,schmidt_prot_exh_maxfc,schmidt_prot_exh_signed,schmidt_prot_lim_maxfc,schmidt_prot_switch_maxfc,schmidt_prot_stress_maxfc,e24_m3d_exh_maxfc,e25_gse_trans_maxfc,gse_protein_maxfc
b3735,466.6299963622043,0.5314473951240873,-0.5314473951240873,0.7404137198495057,0.6290104146470963,0.4881453171019789,3.5192650000000008,9.127210376686683,0.5849625007211561
b3736,466.6299963622043,0.06988640107978465,-0.06988640107978465,0.7566653506956124,0.5886539342550258,0.5284198087613082,3.4264149999999987,7.310402672441293,1.6300503902496937
b3737,466.6299963622043,0.7159013270591272,0.7159013270591272,0.4817428471275255,0.6612039455097216,0.43799863662684957,3.7897499999999997,8.146769662777453,
b3738,466.6299963622043,0.4317781332772403,-0.4317781332772403,1.3830022023616313,1.6540664344444733,0.8027547487061919,4.2268349999999995,9.12128009778543,
b3739,466.6299963622043,,,,,,2.551964999999999,7.462098806324669,
b3732,466.6299963622043,0.9494831620660754,-0.9494831620660754,0.5355684132185389,0.5803352674135197,0.9086313075052441,2.541055,6.897702259474409,0.6402123612866184
b3733,466.6299963622043,0.6946751027143021,-0.6946751027143021,0.48604446991545414,0.5628444294149269,1.115574406356178,2.8587200000000017,6.874431619374176,0.5849625007211565
b3734,466.6299963622043,0.6360427314316494,-0.6360427314316494,0.2744830822585973,0.754390064659195,0.4239121139251635,3.4713150000000006,8.817349976814963,0.7849871090291494
b3731,466.6299963622043,0.7180681843978874,-0.7180681843978874,0.6759410904535473,0.6492926807551713,0.6255284601501919,1.8116950000000003,8.443415071980967,1.3219280948873622
s0001,330.19505587154964,,,,,,,,
b0875,330.19505587154964,,,,,,1.253775,,
b0241,330.1950558715495,,,,,,0.7786849999999994,,
b0957,330.1950558715495,0.7354701904088965,0.7354701904088965,0.1397395379149489,0.5550291897750659,0.6703169489396901,1.8448999999999973,,
b3875,330.1950558715495,,,,,,0.8458729999999992,,
b2215,330.1950558715495,0.4594000699647905,0.4594000699647905,1.25629966262551,1.0411776284716674,1.0803577277274534,1.939020000000001,,
b0929,330.1950558715495,0.7288863979547192,-0.7288863979547192,1.1841599109395833,1.0247777109660945,1.543228988442646,5.531305,4.492430707058294,2.538419914784126
b1377,330.1950558715495,,,,,,0.7382730000000004,0.8794358494846637,
b1319,330.1950558715495,,,,,,0.650677,,
b0431,185.1892689286952,0.2513345547420928,0.2513345547420928,0.7106110935334309,1.0654015700273662,0.41030428028293775,3.557715,3.924750513394154,2.169925001442312
b0432,185.1892689286952,0.8199384778047858,-0.8199384778047858,0.4745473140046231,1.1847579740313745,0.5676070590778517,2.926689999999999,3.6476052999950275,0.8479969065549504
b0430,185.1892689286952,2.6475772061171217,2.6475772061171217,2.186560236318202,2.83375535634366,3.0324208270177078,2.898365,3.408738985568081,
b0429,185.1892689286952,5.492279527790868,-5.492279527790868,1.6908005716954642,2.7733887515721993,0.8819547692574125,3.471655,3.34046960644403,
b2285,145.5163626409395,1.1634746829432239,-1.1634746829432239,1.2634823069135488,1.57136618446396,0.39621375165531936,2.226894999999999,6.210245184750586,0.5849625007211561
b2283,145.5163626409395,1.568444048469056,-1.568444048469056,1.008474182969565,0.848130396893783,1.330828798507849,0.9551549999999995,5.749239144693027,0.5081469036703252
