dimension,profile,starting_set,lambda,n_iter,final_distance,fitted_q,r2,valid_fit,verdict
2,canonical,halton 27,0.0,40,0.000000e+00,0.854269,0.246745,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical,halton 27,0.3,40,0.000000e+00,0.439317,0.896751,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical,halton 27,0.5,40,9.837405e-14,0.510025,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical,halton 27,0.7,40,2.034812e-08,0.706017,1.000000,True,"CONFIRMED (q=0.7060, R^2=1.0000)"
2,canonical,halton 27,0.9,40,9.931866e-05,0.902023,1.000000,True,"CONFIRMED (q=0.9020, R^2=1.0000)"
2,canonical,random 27,0.0,40,0.000000e+00,0.854772,0.245381,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical,random 27,0.3,40,0.000000e+00,0.426017,0.913012,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical,random 27,0.5,40,2.253784e-13,0.510079,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical,random 27,0.7,40,4.589556e-08,0.706052,1.000000,True,"CONFIRMED (q=0.7061, R^2=1.0000)"
2,canonical,random 27,0.9,40,2.220616e-04,0.902046,1.000000,True,"CONFIRMED (q=0.9020, R^2=1.0000)"
2,canonical,corners 8,0.0,40,0.000000e+00,0.852580,0.248629,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical,corners 8,0.3,40,0.000000e+00,0.399572,0.931255,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical,corners 8,0.5,40,8.995696e-13,0.510085,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical,corners 8,0.7,40,1.787744e-07,0.706052,1.000000,True,"CONFIRMED (q=0.7061, R^2=1.0000)"
2,canonical,corners 8,0.9,40,8.540181e-04,0.902032,1.000000,True,"CONFIRMED (q=0.9020, R^2=1.0000)"
2,k=3 axis,halton 27,0.0,40,0.000000e+00,0.503322,0.715138,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 axis,halton 27,0.3,40,0.000000e+00,0.436780,0.904067,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 axis,halton 27,0.5,40,4.735704e-12,0.571655,0.998747,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 axis,halton 27,0.7,40,8.641162e-08,0.729667,0.999336,True,"CONFIRMED (q=0.7297, R^2=0.9993)"
2,k=3 axis,halton 27,0.9,40,1.685505e-04,0.894210,0.864788,True,"WEAK (q=0.8942, R^2=0.8648)"
2,k=3 axis,random 27,0.0,40,0.000000e+00,0.499819,0.712677,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 axis,random 27,0.3,40,0.000000e+00,0.437709,0.952837,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 axis,random 27,0.5,40,8.357173e-12,0.576305,0.999152,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 axis,random 27,0.7,40,3.269449e-07,0.745363,0.998964,True,"CONFIRMED (q=0.7454, R^2=0.9990)"
2,k=3 axis,random 27,0.9,40,5.141152e-04,0.915872,0.999998,True,"CONFIRMED (q=0.9159, R^2=1.0000)"
2,k=3 axis,corners 8,0.0,40,0.000000e+00,0.501906,0.710857,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 axis,corners 8,0.3,40,8.881784e-16,0.424235,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=3 axis,corners 8,0.5,40,2.165553e-10,0.588290,0.999997,True,"CONFIRMED (q=0.5883, R^2=1.0000)"
2,k=3 axis,corners 8,0.7,40,1.874630e-06,0.750973,0.999978,True,"CONFIRMED (q=0.7510, R^2=1.0000)"
2,k=3 axis,corners 8,0.9,40,1.467115e-03,0.913162,0.999762,True,"CONFIRMED (q=0.9132, R^2=0.9998)"
2,k=7 axis,halton 27,0.0,40,0.000000e+00,0.855483,0.244507,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 axis,halton 27,0.3,40,3.526136e-22,0.299811,0.999991,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 axis,halton 27,0.5,40,1.282245e-13,0.501305,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 axis,halton 27,0.7,40,3.673010e-08,0.700689,1.000000,True,"CONFIRMED (q=0.7007, R^2=1.0000)"
2,k=7 axis,halton 27,0.9,40,2.167423e-04,0.900210,1.000000,True,"CONFIRMED (q=0.9002, R^2=1.0000)"
