dimension,profile,starting_set,lambda,n_iter,final_distance,fitted_q,r2,valid_fit,verdict
2,canonical (k=0),grid 9,0.0,40,0.000000e+00,0.852580,0.248629,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical (k=0),grid 9,0.3,40,0.000000e+00,0.423685,0.915998,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical (k=0),grid 9,0.5,40,2.618909e-13,0.510073,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical (k=0),grid 9,0.7,40,5.317010e-08,0.706045,1.000000,True,"CONFIRMED (q=0.7060, R^2=1.0000)"
2,canonical (k=0),grid 9,0.9,40,2.568918e-04,0.902021,1.000000,True,"CONFIRMED (q=0.9020, R^2=1.0000)"
2,canonical (k=0),random 27,0.0,40,0.000000e+00,0.854772,0.245381,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical (k=0),random 27,0.3,40,0.000000e+00,0.426017,0.913012,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical (k=0),random 27,0.5,40,2.253784e-13,0.510079,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical (k=0),random 27,0.7,40,4.589556e-08,0.706052,1.000000,True,"CONFIRMED (q=0.7061, R^2=1.0000)"
2,canonical (k=0),random 27,0.9,40,2.220616e-04,0.902046,1.000000,True,"CONFIRMED (q=0.9020, R^2=1.0000)"
2,canonical (k=0),corners 4,0.0,40,0.000000e+00,0.852580,0.248629,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical (k=0),corners 4,0.3,40,0.000000e+00,0.399572,0.931255,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical (k=0),corners 4,0.5,40,8.995696e-13,0.510085,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,canonical (k=0),corners 4,0.7,40,1.787744e-07,0.706052,1.000000,True,"CONFIRMED (q=0.7061, R^2=1.0000)"
2,canonical (k=0),corners 4,0.9,40,8.540181e-04,0.902032,1.000000,True,"CONFIRMED (q=0.9020, R^2=1.0000)"
2,k=1 expansion  (f2),grid 9,0.0,40,0.000000e+00,0.745664,0.358289,True,STRONG-CONVERGED (machine precision; q<1)
2,k=1 expansion  (f2),grid 9,0.3,40,0.000000e+00,0.422230,0.930296,True,STRONG-CONVERGED (machine precision; q<1)
2,k=1 expansion  (f2),grid 9,0.5,40,5.672611e-13,0.521685,0.999991,True,STRONG-CONVERGED (machine precision; q<1)
2,k=1 expansion  (f2),grid 9,0.7,40,7.174643e-08,0.711846,0.999998,True,"CONFIRMED (q=0.7118, R^2=1.0000)"
2,k=1 expansion  (f2),grid 9,0.9,40,2.796086e-04,0.903647,1.000000,True,"CONFIRMED (q=0.9036, R^2=1.0000)"
2,k=1 expansion  (f2),random 27,0.0,40,0.000000e+00,0.743601,0.360204,True,STRONG-CONVERGED (machine precision; q<1)
2,k=1 expansion  (f2),random 27,0.3,40,0.000000e+00,0.426651,0.921628,True,STRONG-CONVERGED (machine precision; q<1)
2,k=1 expansion  (f2),random 27,0.5,40,4.122352e-13,0.520719,0.999989,True,STRONG-CONVERGED (machine precision; q<1)
2,k=1 expansion  (f2),random 27,0.7,40,5.520259e-08,0.711411,0.999998,True,"CONFIRMED (q=0.7114, R^2=1.0000)"
2,k=1 expansion  (f2),random 27,0.9,40,2.205426e-04,0.903609,1.000000,True,"CONFIRMED (q=0.9036, R^2=1.0000)"
2,k=1 expansion  (f2),corners 4,0.0,40,0.000000e+00,0.745664,0.358289,True,STRONG-CONVERGED (machine precision; q<1)
2,k=1 expansion  (f2),corners 4,0.3,40,0.000000e+00,0.399183,0.953301,True,STRONG-CONVERGED (machine precision; q<1)
2,k=1 expansion  (f2),corners 4,0.5,40,2.146501e-12,0.523127,0.999994,True,STRONG-CONVERGED (machine precision; q<1)
2,k=1 expansion  (f2),corners 4,0.7,40,2.413925e-07,0.712488,0.999999,True,"CONFIRMED (q=0.7125, R^2=1.0000)"
2,k=1 expansion  (f2),corners 4,0.9,40,8.943856e-04,0.903944,1.000000,True,"CONFIRMED (q=0.9039, R^2=1.0000)"
2,"k=3 expansions (f2,f4,f6)",grid 9,0.0,40,0.000000e+00,0.476520,0.765984,True,STRONG-CONVERGED (machine precision; q<1)
2,"k=3 expansions (f2,f4,f6)",grid 9,0.3,40,1.054712e-15,0.443877,0.999999,True,STRONG-CONVERGED (machine precision; q<1)
2,"k=3 expansions (f2,f4,f6)",grid 9,0.5,40,8.396468e-12,0.573601,0.997132,True,STRONG-CONVERGED (machine precision; q<1)
2,"k=3 expansions (f2,f4,f6)",grid 9,0.7,40,1.610238e-07,0.734815,0.998821,True,"CONFIRMED (q=0.7348, R^2=0.9988)"
2,"k=3 expansions (f2,f4,f6)",grid 9,0.9,40,2.656792e-04,0.907789,0.999933,True,"CONFIRMED (q=0.9078, R^2=0.9999)"
2,"k=3 expansions (f2,f4,f6)",random 27,0.0,40,0.000000e+00,0.474573,0.767693,True,STRONG-CONVERGED (machine precision; q<1)
2,"k=3 expansions (f2,f4,f6)",random 27,0.3,40,3.885781e-16,0.443158,0.999954,True,STRONG-CONVERGED (machine precision; q<1)
2,"k=3 expansions (f2,f4,f6)",random 27,0.5,40,2.635130e-11,0.593310,0.999269,True,STRONG-CONVERGED (machine precision; q<1)
2,"k=3 expansions (f2,f4,f6)",random 27,0.7,40,4.304367e-07,0.754625,0.999708,True,"CONFIRMED (q=0.7546, R^2=0.9997)"
2,"k=3 expansions (f2,f4,f6)",random 27,0.9,40,5.540892e-04,0.916594,0.999926,True,"CONFIRMED (q=0.9166, R^2=0.9999)"
2,"k=3 expansions (f2,f4,f6)",corners 4,0.0,40,0.000000e+00,0.476520,0.765984,True,STRONG-CONVERGED (machine precision; q<1)
2,"k=3 expansions (f2,f4,f6)",corners 4,0.3,40,4.385381e-15,0.443793,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,"k=3 expansions (f2,f4,f6)",corners 4,0.5,40,4.906002e-10,0.602091,0.999994,True,"CONFIRMED (q=0.6021, R^2=1.0000)"
2,"k=3 expansions (f2,f4,f6)",corners 4,0.7,40,2.770437e-06,0.758638,0.999917,True,"CONFIRMED (q=0.7586, R^2=0.9999)"
2,"k=3 expansions (f2,f4,f6)",corners 4,0.9,40,1.636741e-03,0.914626,0.999837,True,"CONFIRMED (q=0.9146, R^2=0.9998)"
2,k=7 expansion  (all optics),grid 9,0.0,40,0.000000e+00,0.855360,0.244627,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 expansion  (all optics),grid 9,0.3,40,1.418394e-22,0.291619,0.997202,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 expansion  (all optics),grid 9,0.5,40,2.037582e-13,0.509047,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 expansion  (all optics),grid 9,0.7,40,4.227072e-08,0.705202,1.000000,True,"CONFIRMED (q=0.7052, R^2=1.0000)"
2,k=7 expansion  (all optics),grid 9,0.9,40,2.092967e-04,0.870500,0.801835,True,"WEAK (q=0.8705, R^2=0.8018)"
2,k=7 expansion  (all optics),random 27,0.0,40,0.000000e+00,0.855267,0.244641,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 expansion  (all optics),random 27,0.3,40,3.461967e-22,0.297790,0.998400,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 expansion  (all optics),random 27,0.5,40,2.873264e-13,0.509822,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 expansion  (all optics),random 27,0.7,40,5.931224e-08,0.705807,1.000000,True,"CONFIRMED (q=0.7058, R^2=1.0000)"
2,k=7 expansion  (all optics),random 27,0.9,40,2.897175e-04,0.901624,0.999995,True,"CONFIRMED (q=0.9016, R^2=1.0000)"
2,k=7 expansion  (all optics),corners 4,0.0,40,0.000000e+00,0.855360,0.244627,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 expansion  (all optics),corners 4,0.3,40,1.418394e-22,0.281387,0.994423,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 expansion  (all optics),corners 4,0.5,40,6.138637e-13,0.509909,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
2,k=7 expansion  (all optics),corners 4,0.7,40,1.235634e-07,0.705900,1.000000,True,"CONFIRMED (q=0.7059, R^2=1.0000)"
2,k=7 expansion  (all optics),corners 4,0.9,40,5.954106e-04,0.901864,1.000000,True,"CONFIRMED (q=0.9019, R^2=1.0000)"
3,canonical (k=0),grid 27,0.0,40,0.000000e+00,0.834999,0.236585,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical (k=0),grid 27,0.3,40,0.000000e+00,0.409747,0.927069,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical (k=0),grid 27,0.5,40,5.415460e-13,0.513109,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical (k=0),grid 27,0.7,40,9.540857e-08,0.707735,1.000000,True,"CONFIRMED (q=0.7077, R^2=1.0000)"
3,canonical (k=0),grid 27,0.9,40,4.285094e-04,0.902506,1.000000,True,"CONFIRMED (q=0.9025, R^2=1.0000)"
3,canonical (k=0),random 27,0.0,40,0.000000e+00,0.834637,0.237019,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical (k=0),random 27,0.3,40,0.000000e+00,0.418838,0.923587,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical (k=0),random 27,0.5,40,4.039561e-13,0.511362,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical (k=0),random 27,0.7,40,7.845995e-08,0.706740,1.000000,True,"CONFIRMED (q=0.7067, R^2=1.0000)"
3,canonical (k=0),random 27,0.9,40,3.711124e-04,0.902209,1.000000,True,"CONFIRMED (q=0.9022, R^2=1.0000)"
3,canonical (k=0),corners 8,0.0,40,0.000000e+00,0.834999,0.236585,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical (k=0),corners 8,0.3,40,0.000000e+00,0.398706,0.936107,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical (k=0),corners 8,0.5,40,1.101910e-12,0.511253,1.000000,True,STRONG-CONVERGED (machine precision; q<1)
3,canonical (k=0),corners 8,0.7,40,2.082789e-07,0.706670,1.000000,True,"CONFIRMED (q=0.7067, R^2=1.0000)"
3,canonical (k=0),corners 8,0.9,40,9.717748e-04,0.902242,1.000000,True,"CONFIRMED (q=0.9022, R^2=1.0000)"
3,k=1 expansion  (f2),grid 27,0.0,40,0.000000e+00,0.745658,0.358287,True,STRONG-CONVERGED (machine precision; q<1)
3,k=1 expansion  (f2),grid 27,0.3,40,0.000000e+00,0.410786,0.933001,True,STRONG-CONVERGED (machine precision; q<1)
3,k=1 expansion  (f2),grid 27,0.5,40,7.392364e-13,0.517711,0.999996,True,STRONG-CONVERGED (machine precision; q<1)
3,k=1 expansion  (f2),grid 27,0.7,40,1.068798e-07,0.709928,1.000000,True,"CONFIRMED (q=0.7099, R^2=1.0000)"
3,k=1 expansion  (f2),grid 27,0.9,40,4.425019e-04,0.903123,1.000000,True,"CONFIRMED (q=0.9031, R^2=1.0000)"
3,k=1 expansion  (f2),random 27,0.0,40,0.000000e+00,0.742630,0.361018,True,STRONG-CONVERGED (machine precision; q<1)
3,k=1 expansion  (f2),random 27,0.3,40,0.000000e+00,0.416252,0.929865,True,STRONG-CONVERGED (machine precision; q<1)
3,k=1 expansion  (f2),random 27,0.5,40,5.473270e-13,0.515441,0.999994,True,STRONG-CONVERGED (machine precision; q<1)
3,k=1 expansion  (f2),random 27,0.7,40,8.517412e-08,0.708087,1.000000,True,"CONFIRMED (q=0.7081, R^2=1.0000)"
3,k=1 expansion  (f2),random 27,0.9,40,3.793852e-04,0.902512,1.000000,True,"CONFIRMED (q=0.9025, R^2=1.0000)"
