"RegDbId"	"Gene"	"Strand"	"Start"	"End"	"Length"	"Sample"	"mRNARaw"	"mRNATPM"	"asRNARaw"	"asRNALen"	"asRNARPK"	"mRNACoverage"	"Gamma"	"TrMode"	"PeptideRaw"	"NPPH"
"ECK120000001"	"alr"	"+"	4263805	4264884	1080	"MOPS6h"	72	7.78653113348991	0	0	0	1	-Inf	"SD"	3	7.69230769230769
"ECK120000002"	"modB"	"+"	795085	795774	690	"MOPS6h"	21	3.55472073485409	0	0	0	0.926086956521739	-Inf	"SD"	0	0
"ECK120000005"	"dcuB"	"-"	4345427	4346767	1341	"MOPS6h"	1	0	0	0	0	0.035048471290082	NA	"NO"	NA	NA
"ECK120000006"	"hisM"	"-"	2422539	2423255	717	"MOPS6h"	136	22.1541471580466	3	100	0	1	-Inf	"SD"	NA	NA
"ECK120000008"	"rhsE"	"+"	1525914	1527962	2049	"MOPS6h"	3	0	1	51	0	0.0961444607125427	NA	"NO"	NA	NA
"ECK120000010"	"cydC"	"-"	926697	928418	1722	"MOPS6h"	138	9.36011582248787	1	97	0	0.966318234610918	-Inf	"SD"	8	12.6984126984127
"ECK120000011"	"mepM"	"-"	1938337	1939659	1323	"MOPS6h"	118	10.4173545776849	12	193	62.1761658031088	0.974300831443689	-2.11788264975953	"SD"	NA	NA
"ECK120000013"	"rodZ"	"-"	2639853	2640866	1014	"MOPS6h"	183	21.0789230388854	1	54	0	1	-Inf	"SD"	6	16.6666666666667
"ECK120000014"	"garL"	"-"	3270809	3271579	771	"MOPS6h"	10	1.51488932558169	0	0	0	0.507133592736706	-Inf	"SD"	11	40.7407407407407
"ECK120000019"	"aceA"	"+"	4215132	4216436	1305	"MOPS6h"	3791	339.295856632876	0	0	0	1	-Inf	"SD"	134	279.166666666667
"ECK120000020"	"aceB"	"+"	4213501	4215102	1602	"MOPS6h"	10008	729.659209587706	1	38	0	1	-Inf	"SD"	82	136.666666666667
"ECK120000021"	"aceE"	"+"	123017	125680	2664	"MOPS6h"	2675	117.280240890121	2	57	0	1	-Inf	"SD"	201	201
"ECK120000022"	"aceF"	"+"	125695	127587	1893	"MOPS6h"	757	46.706846814991	0	0	0	1	-Inf	"SD"	160	242.424242424242
"ECK120000026"	"ada"	"-"	2307363	2308427	1065	"MOPS6h"	23	2.52239740944039	0	0	0	0.455399061032864	-Inf	"SD"	NA	NA
"ECK120000029"	"adk"	"+"	496399	497043	645	"MOPS6h"	82	14.8487337894459	2	116	0	1	-Inf	"SD"	48	200
"ECK120000031"	"alaS"	"-"	2817403	2820033	2631	"MOPS6h"	361	16.0258708049593	0	0	0	0.986697073356138	-Inf	"SD"	100	104.166666666667
"ECK120000033"	"puuC"	"+"	1360767	1362254	1488	"MOPS6h"	41	3.21822355315611	0	0	0	0.756720430107527	-Inf	"SD"	NA	NA
"ECK120000034"	"alkB"	"-"	2306713	2307363	651	"MOPS6h"	13	2.33237107685182	3	65	0	0.812596006144393	-Inf	"SD"	1	4.16666666666667
"ECK120000035"	"amn"	"+"	2053085	2054539	1455	"MOPS6h"	140	11.2382923576143	7	96	0	0.906529209621993	-Inf	"SD"	7	12.962962962963
"ECK120000036"	"ampC"	"-"	4375834	4376967	1134	"MOPS6h"	12	1.23595732277618	5	154	0	0.516754850088183	-Inf	"SD"	2	4.76190476190476
"ECK120000041"	"ansA"	"+"	1848884	1849900	1017	"MOPS6h"	34	3.90475012593889	3	35	0	0.67748279252704	-Inf	"SD"	5	13.5135135135135
"ECK120000042"	"ansB"	"-"	3097704	3098750	1047	"MOPS6h"	3	0	5	134	0	0.191021967526266	NA	"NO"	17	45.9459459459459
"ECK120000043"	"apaG"	"-"	51229	51606	378	"MOPS6h"	36	11.1236159049856	0	0	0	0.775132275132275	-Inf	"SD"	NA	NA
"ECK120000047"	"apt"	"+"	490636	491187	552	"MOPS6h"	18	3.80862935877224	2	100	0	0.864130434782609	-Inf	"SD"	52	260
"ECK120000048"	"araA"	"-"	66835	68337	1503	"MOPS6h"	12	0.932518698621546	1	100	0	0.406520292747838	-Inf	"SD"	2	3.57142857142857
"ECK120000051"	"araD"	"-"	65855	66550	696	"MOPS6h"	5	0.83906585490193	2	40	0	0.301724137931034	-Inf	"SD"	NA	NA
"ECK120000052"	"araE"	"-"	2978786	2980204	1419	"MOPS6h"	39	3.21009211634362	1	100	0	0.834390415785765	-Inf	"SD"	NA	NA
"ECK120000054"	"araG"	"-"	1981579	1983093	1515	"MOPS6h"	11	0.848038044241475	2	46	0	0.260726072607261	-Inf	"SD"	NA	NA
"ECK120000055"	"araH"	"-"	1980578	1981567	990	"MOPS6h"	15	1.76966616670225	4	57	0	0.549494949494949	-Inf	"SD"	NA	NA
"ECK120000058"	"arcB"	"-"	3348711	3351047	2337	"MOPS6h"	253	12.6443669882731	2	63	0	0.935387248609328	-Inf	"SD"	9	10.2272727272727
"ECK120000060"	"argB"	"+"	4154039	4154812	774	"MOPS6h"	15	2.26352649229358	0	0	0	0.776485788113695	-Inf	"SD"	14	51.8518518518519
"ECK120000063"	"argF"	"-"	288525	289529	1005	"MOPS6h"	19	2.20812076919863	0	0	0	0.700497512437811	-Inf	"SD"	28	75.6756756756757
"ECK120000068"	"argT"	"-"	2425031	2425813	783	"MOPS6h"	746	111.278778267883	0	0	0	1	-Inf	"SD"	27	96.4285714285714
"ECK120000069"	"aroA"	"+"	958035	959318	1284	"MOPS6h"	34	3.09278105769459	4	104	0	0.596573208722741	-Inf	"SD"	16	34.7826086956522
"ECK120000070"	"aroB"	"-"	3515420	3516508	1089	"MOPS6h"	42	4.50460478796937	9	147	61.2244897959184	0.799816345270891	-1.32340363001706	"SD"	16	41.025641025641
"ECK120000071"	"aroC"	"-"	2444410	2445495	1086	"MOPS6h"	134	14.4115355233101	0	0	0	0.992633517495396	-Inf	"SD"	11	28.2051282051282
"ECK120000072"	"aroD"	"+"	1772710	1773468	759	"MOPS6h"	15	2.30826021743772	1	41	0	0.516469038208169	-Inf	"SD"	8	29.6296296296296
"ECK120000073"	"aroE"	"-"	3428042	3428860	819	"MOPS6h"	58	8.27140669857902	1	47	0	0.829059829059829	-Inf	"SD"	8	27.5862068965517
"ECK120000076"	"aroH"	"+"	1786459	1787505	1047	"MOPS6h"	102	11.3785985045268	1	100	0	0.875835721107927	-Inf	"SD"	4	10.2564102564103
"ECK120000077"	"aroK"	"-"	3516565	3517086	522	"MOPS6h"	161	36.0238940371229	0	0	0	1	-Inf	"SD"	40	200
"ECK120000078"	"aroL"	"+"	405629	406153	525	"MOPS6h"	67	14.9056453126807	2	100	0	1	-Inf	"SD"	7	36.8421052631579
"ECK120000079"	"aroM"	"+"	406652	407329	678	"MOPS6h"	20	3.44536775818138	0	0	0	0.646017699115044	-Inf	"SD"	NA	NA
"ECK120000088"	"asnB"	"-"	696736	698400	1665	"MOPS6h"	27	1.89402108652457	0	0	0	0.633033033033033	-Inf	"SD"	34	53.968253968254
"ECK120000090"	"asnS"	"-"	986808	988208	1401	"MOPS6h"	307	25.5938443038694	4	79	0	0.972162740899358	-Inf	"SD"	42	79.2452830188679
"ECK120000094"	"atpA"	"-"	3916339	3917880	1542	"MOPS6h"	275	20.8297282267483	1	100	0	1	-Inf	"SD"	111	201.818181818182
"ECK120000095"	"atpB"	"-"	3919259	3920074	816	"MOPS6h"	220	31.4896479663195	9	129	46.5116279069767	1	-4.71377131822953	"SD"	3	10
"ECK120000096"	"atpC"	"-"	3913576	3913995	420	"MOPS6h"	64	17.7977854479769	0	0	0	1	-Inf	"SD"	2	13.3333333333333
"ECK120000097"	"atpD"	"-"	3914016	3915398	1383	"MOPS6h"	268	22.6333009086258	6	78	0	0.992769342010123	-Inf	"SD"	125	250
"ECK120000098"	"atpE"	"-"	3918973	3919212	240	"MOPS6h"	270	131.397712877642	0	0	0	1	-Inf	"SD"	NA	NA
"ECK120000099"	"atpF"	"-"	3918441	3918911	471	"MOPS6h"	362	89.7682888638009	0	0	0	1	-Inf	"SD"	64	376.470588235294
"ECK120000100"	"atpG"	"-"	3915425	3916288	864	"MOPS6h"	171	23.1162643025482	0	0	0	1	-Inf	"SD"	20	62.5
"ECK120000101"	"atpH"	"-"	3917893	3918426	534	"MOPS6h"	151	33.0271404819375	0	0	0	1	-Inf	"SD"	5	26.3157894736842
"ECK120000102"	"atpI"	"-"	3920083	3920463	381	"MOPS6h"	45	13.7950354727183	1	100	0	0.979002624671916	-Inf	"SD"	NA	NA
"ECK120000104"	"bcp"	"+"	2598500	2598970	471	"MOPS6h"	158	39.1806343659683	2	138	0	1	-Inf	"SD"	14	77.7777777777778
"ECK120000105"	"betA"	"-"	324801	326471	1671	"MOPS6h"	130	9.08661622400079	3	163	0	0.610412926391382	-Inf	"SD"	0	0
"ECK120000106"	"betB"	"-"	326485	327957	1473	"MOPS6h"	62	4.91613981951501	1	97	0	0.828241683638832	-Inf	"SD"	5	9.43396226415094
"ECK120000110"	"bglB"	"-"	3900312	3901724	1413	"MOPS6h"	3	0	2	133	0	0.0905874026893135	NA	"NO"	NA	NA
"ECK120000111"	"bglF"	"-"	3901743	3903620	1878	"MOPS6h"	1	0	22	188	106.382978723404	0.053248136315229	Inf	"AD"	NA	NA
"ECK120000112"	"bglG"	"-"	3903754	3904590	837	"MOPS6h"	2	0	0	0	0	0.154121863799283	NA	"NO"	NA	NA
"ECK120000115"	"bioC"	"+"	810745	811500	756	"MOPS6h"	1	0	0	0	0	0.132275132275132	NA	"NO"	NA	NA
"ECK120000117"	"bioF"	"+"	809604	810758	1155	"MOPS6h"	4	0	0	0	0	0.153246753246753	NA	"NO"	1	2.38095238095238
"ECK120000123"	"btuC"	"-"	1792196	1793176	981	"MOPS6h"	23	2.73838250871969	0	0	0	0.678899082568807	-Inf	"SD"	NA	NA
