"RegDbId"	"Gene"	"Strand"	"Start"	"End"	"Length"	"Sample"	"mRNARaw"	"mRNATPM"	"asRNARaw"	"asRNALen"	"asRNARPK"	"mRNACoverage"	"Gamma"	"TrMode"	"PeptideRaw"	"NPPH"
"ECK120000001"	"alr"	"+"	4263805	4264884	1080	"LB 3.0"	125	13.5804285101099	0	0	0	0.989814814814815	-Inf	"SD"	0	0
"ECK120000002"	"modB"	"+"	795085	795774	690	"LB 3.0"	57	9.69288323573756	1	100	0	0.994202898550725	-Inf	"SD"	NA	NA
"ECK120000005"	"dcuB"	"-"	4345427	4346767	1341	"LB 3.0"	17	1.4874670690268	2	35	0	0.494407158836689	-Inf	"SD"	0	0
"ECK120000006"	"hisM"	"-"	2422539	2423255	717	"LB 3.0"	189	30.9292838770837	3	79	0	1	-Inf	"SD"	NA	NA
"ECK120000008"	"rhsE"	"+"	1525914	1527962	2049	"LB 3.0"	7	0	1	52	0	0.179599804782821	NA	"NO"	NA	NA
"ECK120000010"	"cydC"	"-"	926697	928418	1722	"LB 3.0"	103	7.01828974431881	0	0	0	0.93205574912892	-Inf	"SD"	2	3.17460317460317
"ECK120000011"	"mepM"	"-"	1938337	1939659	1323	"LB 3.0"	190	16.8508174166261	2	93	0	1	-Inf	"SD"	NA	NA
"ECK120000013"	"rodZ"	"-"	2639853	2640866	1014	"LB 3.0"	289	33.4416043122327	4	134	0	1	-Inf	"SD"	6	16.6666666666667
"ECK120000014"	"garL"	"-"	3270809	3271579	771	"LB 3.0"	16	2.43496554764927	0	0	0	0.723735408560311	-Inf	"SD"	5	18.5185185185185
"ECK120000019"	"aceA"	"+"	4215132	4216436	1305	"LB 3.0"	6225	559.700970871839	0	0	0	1	-Inf	"SD"	645	1343.75
"ECK120000020"	"aceB"	"+"	4213501	4215102	1602	"LB 3.0"	12098	886.09091657695	3	90	0	1	-Inf	"SD"	124	206.666666666667
"ECK120000021"	"aceE"	"+"	123017	125680	2664	"LB 3.0"	2590	114.075599484923	4	127	0	1	-Inf	"SD"	124	124
"ECK120000022"	"aceF"	"+"	125695	127587	1893	"LB 3.0"	1182	73.2645824357776	0	0	0	1	-Inf	"SD"	138	209.090909090909
"ECK120000026"	"ada"	"-"	2307363	2308427	1065	"LB 3.0"	23	2.53399319580191	1	100	0	0.551173708920188	-Inf	"SD"	NA	NA
"ECK120000029"	"adk"	"+"	496399	497043	645	"LB 3.0"	226	41.1126944588852	0	0	0	1	-Inf	"SD"	25	104.166666666667
"ECK120000031"	"alaS"	"-"	2817403	2820033	2631	"LB 3.0"	534	23.8148376445475	0	0	0	1	-Inf	"SD"	81	84.375
"ECK120000033"	"puuC"	"+"	1360767	1362254	1488	"LB 3.0"	44	3.46958044516356	0	0	0	0.809811827956989	-Inf	"SD"	NA	NA
"ECK120000034"	"alkB"	"-"	2306713	2307363	651	"LB 3.0"	9	1.62214150682972	2	77	0	0.462365591397849	-Inf	"SD"	0	0
"ECK120000035"	"amn"	"+"	2053085	2054539	1455	"LB 3.0"	148	11.9350965941221	4	40	0	0.958762886597938	-Inf	"SD"	13	24.0740740740741
"ECK120000036"	"ampC"	"-"	4375834	4376967	1134	"LB 3.0"	7	0.724289520539194	8	356	19.6629213483146	0.291887125220459	0.950788420393681	"AD"	1	2.38095238095238
"ECK120000041"	"ansA"	"+"	1848884	1849900	1017	"LB 3.0"	50	5.76867759721482	22	424	44.811320754717	0.902654867256637	-0.602241217022187	"SD"	0	0
"ECK120000042"	"ansB"	"-"	3097704	3098750	1047	"LB 3.0"	17	1.90515123167616	7	137	0	0.59694364851958	-Inf	"SD"	13	35.1351351351351
"ECK120000043"	"apaG"	"-"	51229	51606	378	"LB 3.0"	57	17.6933582874575	2	40	0	0.923280423280423	-Inf	"SD"	NA	NA
"ECK120000047"	"apt"	"+"	490636	491187	552	"LB 3.0"	46	9.77790852727912	4	247	0	1	-Inf	"SD"	24	120
"ECK120000048"	"araA"	"-"	66835	68337	1503	"LB 3.0"	80	6.24537071602658	3	53	0	0.920159680638723	-Inf	"SD"	4	7.14285714285714
"ECK120000051"	"araD"	"-"	65855	66550	696	"LB 3.0"	14	2.36018481692944	0	0	0	0.541666666666667	-Inf	"SD"	NA	NA
"ECK120000052"	"araE"	"-"	2978786	2980204	1419	"LB 3.0"	103	8.51690975314798	0	0	0	0.910500352360817	-Inf	"SD"	NA	NA
"ECK120000054"	"araG"	"-"	1981579	1983093	1515	"LB 3.0"	75	5.8086585310569	7	137	0	0.873267326732673	-Inf	"SD"	1	1.81818181818182
"ECK120000055"	"araH"	"-"	1980578	1981567	990	"LB 3.0"	47	5.57044485796508	5	179	0	0.97979797979798	-Inf	"SD"	NA	NA
"ECK120000058"	"arcB"	"-"	3348711	3351047	2337	"LB 3.0"	207	10.3929502703301	2	39	0	0.954214805305948	-Inf	"SD"	5	5.68181818181818
"ECK120000060"	"argB"	"+"	4154039	4154812	774	"LB 3.0"	1114	168.877365881999	0	0	0	1	-Inf	"SD"	2	7.40740740740741
"ECK120000063"	"argF"	"-"	288525	289529	1005	"LB 3.0"	2408	281.136760999261	0	0	0	1	-Inf	"SD"	1	2.7027027027027
"ECK120000068"	"argT"	"-"	2425031	2425813	783	"LB 3.0"	894	133.968585799043	0	0	0	1	-Inf	"SD"	90	321.428571428571
"ECK120000069"	"aroA"	"+"	958035	959318	1284	"LB 3.0"	40	3.65529290739406	5	286	0	0.775700934579439	-Inf	"SD"	4	8.69565217391304
"ECK120000070"	"aroB"	"-"	3515420	3516508	1089	"LB 3.0"	160	17.239287761594	5	110	0	1	-Inf	"SD"	7	17.9487179487179
"ECK120000071"	"aroC"	"-"	2444410	2445495	1086	"LB 3.0"	151	16.3145214101563	0	0	0	1	-Inf	"SD"	7	17.9487179487179
"ECK120000072"	"aroD"	"+"	1772710	1773468	759	"LB 3.0"	31	4.79233461416052	1	38	0	0.893280632411067	-Inf	"SD"	3	11.1111111111111
"ECK120000073"	"aroE"	"-"	3428042	3428860	819	"LB 3.0"	115	16.4755967858916	0	0	0	0.978021978021978	-Inf	"SD"	4	13.7931034482759
