"RegDbId"	"Gene"	"Strand"	"Start"	"End"	"Length"	"Sample"	"mRNARaw"	"mRNATPM"	"asRNARaw"	"asRNALen"	"asRNARPK"	"mRNACoverage"	"Gamma"	"TrMode"	"PeptideRaw"	"NPPH"
"ECK120000001"	"alr"	"+"	4263805	4264884	1080	"HS30'"	391	21.8089608982706	1	56	0	1	-Inf	"SD"	6	15.3846153846154
"ECK120000002"	"modB"	"+"	795085	795774	690	"HS30'"	47	4.10327608583052	1	65	0	0.981159420289855	-Inf	"SD"	NA	NA
"ECK120000005"	"dcuB"	"-"	4345427	4346767	1341	"HS30'"	38	1.70701285116658	12	165	42.4242424242424	0.431021625652498	-0.286047092498575	"SD"	NA	NA
"ECK120000006"	"hisM"	"-"	2422539	2423255	717	"HS30'"	126	10.5860358735305	10	184	32.6086956521739	1	-3.14105613709392	"SD"	NA	NA
"ECK120000008"	"rhsE"	"+"	1525914	1527962	2049	"HS30'"	49	1.44057572933273	1	100	0	0.268911664226452	-Inf	"SD"	NA	NA
"ECK120000010"	"cydC"	"-"	926697	928418	1722	"HS30'"	70	2.44876362153871	3	47	0	0.555168408826945	-Inf	"SD"	3	4.76190476190476
"ECK120000011"	"mepM"	"-"	1938337	1939659	1323	"HS30'"	110	5.00858228260299	5	126	0	0.950113378684807	-Inf	"SD"	NA	NA
"ECK120000013"	"rodZ"	"-"	2639853	2640866	1014	"HS30'"	447	26.5553200544023	5	141	0	1	-Inf	"SD"	8	22.2222222222222
"ECK120000014"	"garL"	"-"	3270809	3271579	771	"HS30'"	8	0.625054060595095	0	0	0	0.299610894941634	-Inf	"SD"	10	37.037037037037
"ECK120000019"	"aceA"	"+"	4215132	4216436	1305	"HS30'"	144	6.64712663060439	8	163	0	0.881226053639847	-Inf	"SD"	69	143.75
"ECK120000020"	"aceB"	"+"	4213501	4215102	1602	"HS30'"	1933	72.6860911227743	19	201	69.6517412935323	0.949438202247191	-4.69818059076199	"SD"	35	58.3333333333333
"ECK120000021"	"aceE"	"+"	123017	125680	2664	"HS30'"	517	11.6906401994946	9	83	0	0.993993993993994	-Inf	"SD"	289	289
"ECK120000022"	"aceF"	"+"	125695	127587	1893	"HS30'"	84	2.67307192157823	3	73	0	0.912308505018489	-Inf	"SD"	169	256.060606060606
"ECK120000026"	"ada"	"-"	2307363	2308427	1065	"HS30'"	18	1.01813383250455	0	0	0	0.495774647887324	-Inf	"SD"	NA	NA
"ECK120000029"	"adk"	"+"	496399	497043	645	"HS30'"	684	63.8819786069131	0	0	0	1	-Inf	"SD"	28	116.666666666667
"ECK120000031"	"alaS"	"-"	2817403	2820033	2631	"HS30'"	560	12.8218045041115	2	100	0	0.986316989737742	-Inf	"SD"	105	109.375
"ECK120000033"	"puuC"	"+"	1360767	1362254	1488	"HS30'"	40	1.61934368521108	2	106	0	0.672715053763441	-Inf	"SD"	NA	NA
"ECK120000034"	"alkB"	"-"	2306713	2307363	651	"HS30'"	4	0	3	144	0	0.133640552995392	NA	"NO"	NA	NA
"ECK120000035"	"amn"	"+"	2053085	2054539	1455	"HS30'"	96	3.97457056262943	8	134	0	0.696219931271478	-Inf	"SD"	8	14.8148148148148
"ECK120000036"	"ampC"	"-"	4375834	4376967	1134	"HS30'"	22	1.16866919927403	20	207	96.6183574879227	0.677248677248677	1.77513337817522	"AD"	1	2.38095238095238
"ECK120000041"	"ansA"	"+"	1848884	1849900	1017	"HS30'"	105	6.21942618921779	33	410	75.609756097561	0.997050147492625	-0.00451326643881786	"SD"	4	10.8108108108108
"ECK120000042"	"ansB"	"-"	3097704	3098750	1047	"HS30'"	37	2.12881055236345	26	237	59.0717299578059	0.575931232091691	0.395379260342394	"AD"	38	102.702702702703
"ECK120000043"	"apaG"	"-"	51229	51606	378	"HS30'"	79	12.5897545558157	15	158	69.620253164557	0.743386243386243	-2.5166747283358	"SD"	NA	NA
"ECK120000047"	"apt"	"+"	490636	491187	552	"HS30'"	199	21.7168069436243	2	123	0	1	-Inf	"SD"	14	70
"ECK120000048"	"araA"	"-"	66835	68337	1503	"HS30'"	10	0.400795642647055	7	123	0	0.312707917498337	-Inf	"SD"	NA	NA
"ECK120000051"	"araD"	"-"	65855	66550	696	"HS30'"	7	0.605857896018629	1	55	0	0.28448275862069	-Inf	"SD"	NA	NA
"ECK120000052"	"araE"	"-"	2978786	2980204	1419	"HS30'"	275	11.6743381957078	6	87	0	0.928823114869627	-Inf	"SD"	NA	NA
"ECK120000054"	"araG"	"-"	1981579	1983093	1515	"HS30'"	5	0	13	198	35.3535353535354	0.248184818481848	Inf	"AD"	NA	NA
"ECK120000055"	"araH"	"-"	1980578	1981567	990	"HS30'"	13	0.791024854715232	13	131	61.0687022900763	0.61010101010101	1.01627697380881	"AD"	NA	NA
"ECK120000058"	"arcB"	"-"	3348711	3351047	2337	"HS30'"	161	4.15000992702876	7	222	0	0.883611467693624	-Inf	"SD"	5	5.68181818181818
"ECK120000060"	"argB"	"+"	4154039	4154812	774	"HS30'"	1418	110.361410410091	0	0	0	1	-Inf	"SD"	18	66.6666666666667
"ECK120000063"	"argF"	"-"	288525	289529	1005	"HS30'"	2849	170.768734249741	0	0	0	1	-Inf	"SD"	13	35.1351351351351
"ECK120000068"	"argT"	"-"	2425031	2425813	783	"HS30'"	60	4.61606016014194	0	0	0	1	-Inf	"SD"	8	28.5714285714286
"ECK120000069"	"aroA"	"+"	958035	959318	1284	"HS30'"	44	2.06428484731581	15	254	51.1811023622047	0.418224299065421	0.332869563609028	"AD"	9	19.5652173913043
"ECK120000070"	"aroB"	"-"	3515420	3516508	1089	"HS30'"	705	38.998078501695	1	100	0	1	-Inf	"SD"	7	17.9487179487179
"ECK120000071"	"aroC"	"-"	2444410	2445495	1086	"HS30'"	152	8.43132314333108	1	52	0	0.999079189686924	-Inf	"SD"	10	25.6410256410256
"ECK120000072"	"aroD"	"+"	1772710	1773468	759	"HS30'"	29	2.30164422609449	0	0	0	0.881422924901186	-Inf	"SD"	7	25.9259259259259
"ECK120000073"	"aroE"	"-"	3428042	3428860	819	"HS30'"	123	9.04697065451994	3	100	0	0.969474969474969	-Inf	"SD"	4	13.7931034482759
"ECK120000076"	"aroH"	"+"	1786459	1787505	1047	"HS30'"	1704	98.0403562493871	9	130	69.2307692307692	1	-5.76730691486979	"SD"	2	5.12820512820513
"ECK120000077"	"aroK"	"-"	3516565	3517086	522	"HS30'"	3285	379.093940651657	0	0	0	1	-Inf	"SD"	35	175
"ECK120000078"	"aroL"	"+"	405629	406153	525	"HS30'"	227	26.0464491721838	111	689	161.103047895501	1	-0.230527031404397	"SD"	3	15.7894736842105
"ECK120000079"	"aroM"	"+"	406652	407329	678	"HS30'"	89	7.90755615486262	4	49	0	1	-Inf	"SD"	NA	NA
"ECK120000088"	"asnB"	"-"	696736	698400	1665	"HS30'"	119	4.30541178720266	3	79	0	0.964564564564565	-Inf	"SD"	16	25.3968253968254
"ECK120000090"	"asnS"	"-"	986808	988208	1401	"HS30'"	2478	106.547959923379	18	471	33.9702760084926	1	-5.05728725472685	"SD"	40	75.4716981132076
"ECK120000094"	"atpA"	"-"	3916339	3917880	1542	"HS30'"	574	22.423814423849	13	203	39.4088669950739	1	-3.80888789977772	"SD"	146	265.454545454545
"ECK120000095"	"atpB"	"-"	3919259	3920074	816	"HS30'"	1984	146.464873551798	30	228	74.5614035087719	1	-5.42887615018211	"SD"	NA	NA
"ECK120000096"	"atpC"	"-"	3913576	3913995	420	"HS30'"	115	16.4941721079357	0	0	0	1	-Inf	"SD"	1	6.66666666666667
"ECK120000097"	"atpD"	"-"	3914016	3915398	1383	"HS30'"	375	16.3339438963808	17	126	95.2380952380952	1	-2.76676686652866	"SD"	95	190
"ECK120000098"	"atpE"	"-"	3918973	3919212	240	"HS30'"	919	230.667411239893	0	0	0	1	-Inf	"SD"	NA	NA
"ECK120000099"	"atpF"	"-"	3918441	3918911	471	"HS30'"	1546	197.729083967965	1	41	0	1	-Inf	"SD"	2	11.7647058823529
"ECK120000100"	"atpG"	"-"	3915425	3916288	864	"HS30'"	211	14.7112875624524	3	100	0	1	-Inf	"SD"	18	56.25
"ECK120000101"	"atpH"	"-"	3917893	3918426	534	"HS30'"	700	78.9657482451247	0	0	0	1	-Inf	"SD"	10	52.6315789473684
"ECK120000102"	"atpI"	"-"	3920083	3920463	381	"HS30'"	555	87.7505767056904	16	103	155.339805825243	1	-4.77726479676122	"SD"	NA	NA
"ECK120000104"	"bcp"	"+"	2598500	2598970	471	"HS30'"	605	77.3778109965194	34	382	68.0628272251309	1	-3.89533638742515	"SD"	12	66.6666666666667
"ECK120000105"	"betA"	"-"	324801	326471	1671	"HS30'"	97	3.49685203693338	4	43	0	0.642728904847397	-Inf	"SD"	NA	NA
"ECK120000106"	"betB"	"-"	326485	327957	1473	"HS30'"	116	4.74391844563671	2	74	0	0.993890020366599	-Inf	"SD"	1	1.88679245283019
"ECK120000110"	"bglB"	"-"	3900312	3901724	1413	"HS30'"	3	0	7	155	0	0.185421089879689	NA	"NO"	NA	NA
"ECK120000111"	"bglF"	"-"	3901743	3903620	1878	"HS30'"	9	0	29	260	84.6153846153846	0.148562300319489	Inf	"AD"	NA	NA
"ECK120000112"	"bglG"	"-"	3903754	3904590	837	"HS30'"	10	0.719708304538259	2	102	0	0.397849462365591	-Inf	"SD"	NA	NA
"ECK120000115"	"bioC"	"+"	810745	811500	756	"HS30'"	8	0.637455926876744	5	153	0	0.474867724867725	-Inf	"SD"	NA	NA
"ECK120000117"	"bioF"	"+"	809604	810758	1155	"HS30'"	59	3.07717361065046	5	102	0	0.739393939393939	-Inf	"SD"	NA	NA
"ECK120000123"	"btuC"	"-"	1792196	1793176	981	"HS30'"	184	11.2987600984025	0	0	0	0.952089704383282	-Inf	"SD"	NA	NA
"ECK120000124"	"btuD"	"-"	1790833	1791582	750	"HS30'"	46	3.69469455217761	1	76	0	0.96	-Inf	"SD"	NA	NA
"ECK120000125"	"btuE"	"-"	1791582	1792133	552	"HS30'"	77	8.40298560130186	0	0	0	0.898550724637681	-Inf	"SD"	4	20
"ECK120000127"	"cadA"	"-"	4354493	4356640	2148	"HS30'"	17	0.476756492796783	65	390	69.2307692307692	0.367783985102421	3.50163491588147	"AD"	10	12.3456790123457
"ECK120000128"	"cadB"	"-"	4356720	4358054	1335	"HS30'"	3	0	4	56	0	0.0614232209737828	NA	"NO"	NA	NA
