"RegDbId"	"Gene"	"Strand"	"Start"	"End"	"Length"	"Sample"	"mRNARaw"	"mRNATPM"	"asRNARaw"	"asRNALen"	"asRNARPK"	"mRNACoverage"	"Gamma"	"TrMode"	"PeptideRaw"	"NPPH"
"ECK120000001"	"alr"	"+"	4263805	4264884	1080	"HS2h"	568	35.4009740203011	4	155	0	1	-Inf	"SD"	4	10.2564102564103
"ECK120000002"	"modB"	"+"	795085	795774	690	"HS2h"	48	4.68255382019904	1	100	0	1	-Inf	"SD"	NA	NA
"ECK120000005"	"dcuB"	"-"	4345427	4346767	1341	"HS2h"	30	1.50585483591412	29	449	26.7260579064588	0.570469798657718	0.672451704616033	"AD"	NA	NA
"ECK120000006"	"hisM"	"-"	2422539	2423255	717	"HS2h"	105	9.85736355978094	16	257	27.2373540856031	0.845188284518828	-2.81577500930769	"SD"	NA	NA
"ECK120000008"	"rhsE"	"+"	1525914	1527962	2049	"HS2h"	91	2.98944154028691	0	0	0	0.416788677403612	-Inf	"SD"	NA	NA
"ECK120000010"	"cydC"	"-"	926697	928418	1722	"HS2h"	60	2.34535578973384	6	172	0	0.678281068524971	-Inf	"SD"	7	11.1111111111111
"ECK120000011"	"mepM"	"-"	1938337	1939659	1323	"HS2h"	442	22.4881151436808	7	245	28.5714285714286	1	-4.00566401345623	"SD"	NA	NA
"ECK120000013"	"rodZ"	"-"	2639853	2640866	1014	"HS2h"	576	38.2362382951165	18	436	22.9357798165138	1	-4.25686869195269	"SD"	7	19.4444444444444
"ECK120000014"	"garL"	"-"	3270809	3271579	771	"HS2h"	37	3.23026370054263	0	0	0	0.850843060959792	-Inf	"SD"	19	70.3703703703704
"ECK120000019"	"aceA"	"+"	4215132	4216436	1305	"HS2h"	112	5.77694379350227	7	116	0	0.808429118773946	-Inf	"SD"	17	35.4166666666667
"ECK120000020"	"aceB"	"+"	4213501	4215102	1602	"HS2h"	2960	124.371201653851	6	129	0	0.98689138576779	-Inf	"SD"	10	16.6666666666667
"ECK120000021"	"aceE"	"+"	123017	125680	2664	"HS2h"	810	20.4663986651436	11	281	0	0.986111111111111	-Inf	"SD"	353	353
"ECK120000022"	"aceF"	"+"	125695	127587	1893	"HS2h"	158	5.61819881887326	2	91	0	0.914421553090333	-Inf	"SD"	340	515.151515151515
"ECK120000026"	"ada"	"-"	2307363	2308427	1065	"HS2h"	40	2.52813938649244	2	55	0	0.609389671361502	-Inf	"SD"	NA	NA
"ECK120000029"	"adk"	"+"	496399	497043	645	"HS2h"	1064	111.038233612317	0	0	0	1	-Inf	"SD"	32	133.333333333333
"ECK120000031"	"alaS"	"-"	2817403	2820033	2631	"HS2h"	1205	30.8288148818929	3	150	0	1	-Inf	"SD"	178	185.416666666667
"ECK120000033"	"puuC"	"+"	1360767	1362254	1488	"HS2h"	244	11.0376730674383	1	100	0	0.979166666666667	-Inf	"SD"	NA	NA
"ECK120000034"	"alkB"	"-"	2306713	2307363	651	"HS2h"	9	0.930576652055686	5	163	0	0.588325652841782	-Inf	"SD"	NA	NA
"ECK120000035"	"amn"	"+"	2053085	2054539	1455	"HS2h"	76	3.51593817770959	20	352	34.0909090909091	0.778006872852234	-0.550875297327863	"SD"	8	14.8148148148148
"ECK120000036"	"ampC"	"-"	4375834	4376967	1134	"HS2h"	20	1.18715539974182	10	277	36.101083032491	0.644620811287478	0.75249120254115	"AD"	3	7.14285714285714
"ECK120000041"	"ansA"	"+"	1848884	1849900	1017	"HS2h"	93	6.15534821866135	9	179	39.1061452513966	0.832841691248771	-2.13641364759401	"SD"	5	13.5135135135135
"ECK120000042"	"ansB"	"-"	3097704	3098750	1047	"HS2h"	122	7.84338945766387	16	175	68.5714285714286	1	-1.708442832312	"SD"	41	110.810810810811
"ECK120000043"	"apaG"	"-"	51229	51606	378	"HS2h"	102	18.1634776160499	15	323	46.4396284829721	0.957671957671958	-2.59800604454299	"SD"	NA	NA
"ECK120000047"	"apt"	"+"	490636	491187	552	"HS2h"	1274	155.353478305562	3	181	0	1	-Inf	"SD"	19	95
"ECK120000048"	"araA"	"-"	66835	68337	1503	"HS2h"	17	0.761343373127839	12	413	19.3704600484261	0.429141716566866	1.07145273026494	"AD"	NA	NA
"ECK120000051"	"araD"	"-"	65855	66550	696	"HS2h"	3	0	4	69	0	0.0172413793103448	NA	"NO"	NA	NA
"ECK120000052"	"araE"	"-"	2978786	2980204	1419	"HS2h"	331	15.7013223366699	2	48	0	0.993657505285412	-Inf	"SD"	NA	NA
"ECK120000054"	"araG"	"-"	1981579	1983093	1515	"HS2h"	35	1.5550560335232	23	243	45.2674897119342	0.706270627062706	0.500536957651561	"AD"	NA	NA
"ECK120000055"	"araH"	"-"	1980578	1981567	990	"HS2h"	21	1.42782417623494	28	399	70.1754385964912	0.744444444444444	1.97160849184473	"AD"	NA	NA
"ECK120000058"	"arcB"	"-"	3348711	3351047	2337	"HS2h"	229	6.5957988262164	7	126	0	0.91484809584938	-Inf	"SD"	0	0
"ECK120000060"	"argB"	"+"	4154039	4154812	774	"HS2h"	436	37.9171913024516	2	100	0	1	-Inf	"SD"	17	62.962962962963
"ECK120000063"	"argF"	"-"	288525	289529	1005	"HS2h"	1140	76.3535828144396	1	49	0	1	-Inf	"SD"	4	10.8108108108108
"ECK120000068"	"argT"	"-"	2425031	2425813	783	"HS2h"	107	9.19840752834439	2	104	0	1	-Inf	"SD"	1	3.57142857142857
"ECK120000069"	"aroA"	"+"	958035	959318	1284	"HS2h"	89	4.66568714463953	11	172	40.6976744186046	0.626168224299065	-1.73666274418757	"SD"	6	13.0434782608696
"ECK120000070"	"aroB"	"-"	3515420	3516508	1089	"HS2h"	360	22.2518053439211	4	138	0	1	-Inf	"SD"	5	12.8205128205128
"ECK120000071"	"aroC"	"-"	2444410	2445495	1086	"HS2h"	130	8.05757131813717	2	100	0	1	-Inf	"SD"	12	30.7692307692308
"ECK120000072"	"aroD"	"+"	1772710	1773468	759	"HS2h"	28	2.48317248040858	2	100	0	0.719367588932806	-Inf	"SD"	2	7.40740740740741
"ECK120000073"	"aroE"	"-"	3428042	3428860	819	"HS2h"	199	16.3553486225969	5	75	0	0.965811965811966	-Inf	"SD"	5	17.2413793103448
"ECK120000076"	"aroH"	"+"	1786459	1787505	1047	"HS2h"	2845	182.905270549621	17	435	25.2873563218391	1	-6.37744931402692	"SD"	0	0
"ECK120000077"	"aroK"	"-"	3516565	3517086	522	"HS2h"	2306	297.357865799469	1	51	0	1	-Inf	"SD"	1	5
"ECK120000078"	"aroL"	"+"	405629	406153	525	"HS2h"	299	38.3356221684629	5	171	0	1	-Inf	"SD"	1	5.26315789473684
"ECK120000079"	"aroM"	"+"	406652	407329	678	"HS2h"	313	31.074580523242	1	100	0	1	-Inf	"SD"	NA	NA
"ECK120000088"	"asnB"	"-"	696736	698400	1665	"HS2h"	65	2.62778451996906	6	104	0	0.890690690690691	-Inf	"SD"	15	23.8095238095238
