"RegDbId"	"Gene"	"Strand"	"Start"	"End"	"Length"	"Sample"	"mRNARaw"	"mRNATPM"	"asRNARaw"	"asRNALen"	"asRNARPK"	"mRNACoverage"	"Gamma"	"TrMode"	"PeptideRaw"	"NPPH"
"ECK120000001"	"alr"	"+"	4263805	4264884	1080	"M-C1h"	103	10.9200130467797	0	0	0	0.951851851851852	-Inf	"SD"	4	10.2564102564103
"ECK120000002"	"modB"	"+"	795085	795774	690	"M-C1h"	69	11.4501107674971	0	0	0	1	-Inf	"SD"	NA	NA
"ECK120000005"	"dcuB"	"-"	4345427	4346767	1341	"M-C1h"	9	0.768463809899138	1	76	0	0.331096196868009	-Inf	"SD"	NA	NA
"ECK120000006"	"hisM"	"-"	2422539	2423255	717	"M-C1h"	32	5.11023074700012	10	113	61.9469026548673	0.835425383542538	-1.86796160881396	"SD"	NA	NA
"ECK120000008"	"rhsE"	"+"	1525914	1527962	2049	"M-C1h"	6	0	0	0	0	0.125915080527086	NA	"NO"	NA	NA
"ECK120000010"	"cydC"	"-"	926697	928418	1722	"M-C1h"	66	4.38854419660169	0	0	0	0.853077816492451	-Inf	"SD"	9	14.2857142857143
"ECK120000011"	"mepM"	"-"	1938337	1939659	1323	"M-C1h"	78	6.7506321985244	1	76	0	0.953892668178382	-Inf	"SD"	NA	NA
"ECK120000013"	"rodZ"	"-"	2639853	2640866	1014	"M-C1h"	231	26.0845718667834	0	0	0	1	-Inf	"SD"	6	16.6666666666667
"ECK120000014"	"garL"	"-"	3270809	3271579	771	"M-C1h"	212	31.4840918639351	0	0	0	1	-Inf	"SD"	20	74.0740740740741
"ECK120000019"	"aceA"	"+"	4215132	4216436	1305	"M-C1h"	2043	179.253458222197	1	76	0	1	-Inf	"SD"	142	295.833333333333
"ECK120000020"	"aceB"	"+"	4213501	4215102	1602	"M-C1h"	5743	410.474320460275	4	72	0	1	-Inf	"SD"	35	58.3333333333333
"ECK120000021"	"aceE"	"+"	123017	125680	2664	"M-C1h"	1173	50.4165913298579	0	0	0	1	-Inf	"SD"	266	266
"ECK120000022"	"aceF"	"+"	125695	127587	1893	"M-C1h"	478	28.9125882031888	0	0	0	1	-Inf	"SD"	188	284.848484848485
"ECK120000026"	"ada"	"-"	2307363	2308427	1065	"M-C1h"	25	2.68781942898994	0	0	0	0.665727699530516	-Inf	"SD"	NA	NA
"ECK120000029"	"adk"	"+"	496399	497043	645	"M-C1h"	79	14.0241666764694	1	76	0	1	-Inf	"SD"	33	137.5
"ECK120000031"	"alaS"	"-"	2817403	2820033	2631	"M-C1h"	593	25.8073572220669	0	0	0	0.980615735461802	-Inf	"SD"	61	63.5416666666667
"ECK120000033"	"puuC"	"+"	1360767	1362254	1488	"M-C1h"	3	0	0	0	0	0.145161290322581	NA	"NO"	NA	NA
"ECK120000034"	"alkB"	"-"	2306713	2307363	651	"M-C1h"	9	1.58296462223463	1	54	0	0.608294930875576	-Inf	"SD"	NA	NA
"ECK120000035"	"amn"	"+"	2053085	2054539	1455	"M-C1h"	107	8.42035637197385	7	286	0	0.9553264604811	-Inf	"SD"	2	3.7037037037037
"ECK120000036"	"ampC"	"-"	4375834	4376967	1134	"M-C1h"	1	0	15	196	66.3265306122449	0.0573192239858906	Inf	"AD"	NA	NA
"ECK120000041"	"ansA"	"+"	1848884	1849900	1017	"M-C1h"	23	2.58950391005344	51	439	116.173120728929	0.554572271386431	1.97782151019852	"AD"	3	8.10810810810811
"ECK120000042"	"ansB"	"-"	3097704	3098750	1047	"M-C1h"	412	45.0567873563403	8	156	0	1	-Inf	"SD"	40	108.108108108108
"ECK120000043"	"apaG"	"-"	51229	51606	378	"M-C1h"	13	3.93786878247256	0	0	0	0.502645502645503	-Inf	"SD"	NA	NA
"ECK120000047"	"apt"	"+"	490636	491187	552	"M-C1h"	2	0.414859085778882	0	0	0	0.318840579710145	-Inf	"SD"	22	110
"ECK120000048"	"araA"	"-"	66835	68337	1503	"M-C1h"	126	9.59889525418922	2	76	0	0.987358616101131	-Inf	"SD"	NA	NA
"ECK120000051"	"araD"	"-"	65855	66550	696	"M-C1h"	10	1.64513085739902	0	0	0	0.647988505747126	-Inf	"SD"	NA	NA
"ECK120000052"	"araE"	"-"	2978786	2980204	1419	"M-C1h"	117	9.44089471315833	0	0	0	0.990838618745596	-Inf	"SD"	NA	NA
"ECK120000054"	"araG"	"-"	1981579	1983093	1515	"M-C1h"	299	22.5979083794168	3	109	0	1	-Inf	"SD"	NA	NA
"ECK120000055"	"araH"	"-"	1980578	1981567	990	"M-C1h"	163	18.8522025767882	6	308	19.4805194805195	1	-3.97362677811641	"SD"	NA	NA
"ECK120000058"	"arcB"	"-"	3348711	3351047	2337	"M-C1h"	805	39.4409035850886	0	0	0	0.997004706889174	-Inf	"SD"	10	11.3636363636364
"ECK120000060"	"argB"	"+"	4154039	4154812	774	"M-C1h"	18	2.66281645755748	0	0	0	0.757105943152455	-Inf	"SD"	NA	NA
"ECK120000063"	"argF"	"-"	288525	289529	1005	"M-C1h"	16	1.82290320676572	0	0	0	0.682587064676617	-Inf	"SD"	NA	NA
"ECK120000068"	"argT"	"-"	2425031	2425813	783	"M-C1h"	1647	240.847157523216	0	0	0	1	-Inf	"SD"	12	42.8571428571429
"ECK120000069"	"aroA"	"+"	958035	959318	1284	"M-C1h"	19	1.69433103257357	9	226	30.9734513274336	0.36214953271028	-0.275288943837147	"SD"	5	10.8695652173913
"ECK120000070"	"aroB"	"-"	3515420	3516508	1089	"M-C1h"	96	10.0937615581242	0	0	0	0.950413223140496	-Inf	"SD"	9	23.0769230769231
"ECK120000071"	"aroC"	"-"	2444410	2445495	1086	"M-C1h"	53	5.58799144270119	0	0	0	0.812154696132597	-Inf	"SD"	6	15.3846153846154
