"RegDbId"	"Gene"	"Strand"	"Start"	"End"	"Length"	"Sample"	"mRNARaw"	"mRNATPM"	"asRNARaw"	"asRNALen"	"asRNARPK"	"mRNACoverage"	"Gamma"	"TrMode"	"PeptideRaw"	"NPPH"
"ECK120000001"	"alr"	"+"	4263805	4264884	1080	"M-P2h"	328	21.7783571588261	1	82	0	1	-Inf	"SD"	5	12.8205128205128
"ECK120000002"	"modB"	"+"	795085	795774	690	"M-P2h"	97	10.0808620358723	1	100	0	1	-Inf	"SD"	NA	NA
"ECK120000005"	"dcuB"	"-"	4345427	4346767	1341	"M-P2h"	5	0	9	368	16.304347826087	0.233407904548844	Inf	"AD"	NA	NA
"ECK120000006"	"hisM"	"-"	2422539	2423255	717	"M-P2h"	378	37.8048632790726	31	188	101.063829787234	1	-3.31450051335134	"SD"	NA	NA
"ECK120000008"	"rhsE"	"+"	1525914	1527962	2049	"M-P2h"	21	0.734940810452119	2	102	0	0.272327964860908	-Inf	"SD"	NA	NA
"ECK120000010"	"cydC"	"-"	926697	928418	1722	"M-P2h"	740	30.8158108859059	12	270	0	1	-Inf	"SD"	10	15.8730158730159
"ECK120000011"	"mepM"	"-"	1938337	1939659	1323	"M-P2h"	305	16.5316051106072	6	102	0	0.955404383975813	-Inf	"SD"	NA	NA
"ECK120000013"	"rodZ"	"-"	2639853	2640866	1014	"M-P2h"	1124	79.4883320171327	14	294	40.8163265306122	1	-5.04963679377219	"SD"	7	19.4444444444444
"ECK120000014"	"garL"	"-"	3270809	3271579	771	"M-P2h"	13	1.20910495756983	2	114	0	0.595330739299611	-Inf	"SD"	11	40.7407407407407
"ECK120000019"	"aceA"	"+"	4215132	4216436	1305	"M-P2h"	39283	2158.58504021068	12	238	33.6134453781513	1	-10.3977983102795	"SD"	111	231.25
"ECK120000020"	"aceB"	"+"	4213501	4215102	1602	"M-P2h"	69563	3113.8007516568	23	740	31.0810810810811	1	-9.40282705455249	"SD"	54	90
"ECK120000021"	"aceE"	"+"	123017	125680	2664	"M-P2h"	6044	162.691649639022	22	328	48.780487804878	1	-5.66792448936932	"SD"	186	186
"ECK120000022"	"aceF"	"+"	125695	127587	1893	"M-P2h"	2060	78.0353951769619	1	75	0	1	-Inf	"SD"	131	198.484848484848
"ECK120000026"	"ada"	"-"	2307363	2308427	1065	"M-P2h"	55	3.70329329907899	2	61	0	0.75868544600939	-Inf	"SD"	NA	NA
"ECK120000029"	"adk"	"+"	496399	497043	645	"M-P2h"	749	83.2716424320175	2	100	0	1	-Inf	"SD"	24	100
"ECK120000031"	"alaS"	"-"	2817403	2820033	2631	"M-P2h"	3314	90.3247324052546	1	78	0	1	-Inf	"SD"	60	62.5
"ECK120000033"	"puuC"	"+"	1360767	1362254	1488	"M-P2h"	910	43.8544318279863	1	67	0	1	-Inf	"SD"	0	0
"ECK120000034"	"alkB"	"-"	2306713	2307363	651	"M-P2h"	43	4.73655401847011	1	100	0	0.940092165898618	-Inf	"SD"	NA	NA
"ECK120000035"	"amn"	"+"	2053085	2054539	1455	"M-P2h"	18492	911.372498171766	5	131	0	1	-Inf	"SD"	16	29.6296296296296
"ECK120000036"	"ampC"	"-"	4375834	4376967	1134	"M-P2h"	27	1.70736249502992	293	687	416.302765647744	0.729276895943563	5.0661738482814	"AD"	1	2.38095238095238
"ECK120000041"	"ansA"	"+"	1848884	1849900	1017	"M-P2h"	286	20.1660160179935	8	150	0	1	-Inf	"SD"	6	16.2162162162162
"ECK120000042"	"ansB"	"-"	3097704	3098750	1047	"M-P2h"	63	4.31488172096387	27	313	47.9233226837061	0.850047755491882	-0.524358512236345	"SD"	11	29.7297297297297
"ECK120000043"	"apaG"	"-"	51229	51606	378	"M-P2h"	292	55.3944276165264	2	121	0	1	-Inf	"SD"	NA	NA
"ECK120000047"	"apt"	"+"	490636	491187	552	"M-P2h"	95	12.341261512988	3	125	0	0.940217391304348	-Inf	"SD"	16	80
"ECK120000048"	"araA"	"-"	66835	68337	1503	"M-P2h"	22	1.04963602488865	5	169	0	0.676646706586826	-Inf	"SD"	NA	NA
"ECK120000051"	"araD"	"-"	65855	66550	696	"M-P2h"	3	0	0	0	0	0.221264367816092	NA	"NO"	NA	NA
"ECK120000052"	"araE"	"-"	2978786	2980204	1419	"M-P2h"	155	7.83293153110979	4	100	0	0.904862579281184	-Inf	"SD"	NA	NA
"ECK120000054"	"araG"	"-"	1981579	1983093	1515	"M-P2h"	35	1.65664875755379	27	241	70.5394190871369	0.707590759075908	1.03726699138993	"AD"	NA	NA
"ECK120000055"	"araH"	"-"	1980578	1981567	990	"M-P2h"	91	6.591453995964	73	406	165.024630541872	1	1.02356435395029	"AD"	NA	NA
"ECK120000058"	"arcB"	"-"	3348711	3351047	2337	"M-P2h"	1163	35.6858487086999	3	162	0	1	-Inf	"SD"	5	5.68181818181818
"ECK120000060"	"argB"	"+"	4154039	4154812	774	"M-P2h"	554	51.3267577963259	0	0	0	1	-Inf	"SD"	10	37.037037037037
"ECK120000063"	"argF"	"-"	288525	289529	1005	"M-P2h"	614	43.8104119620215	0	0	0	1	-Inf	"SD"	9	24.3243243243243
"ECK120000068"	"argT"	"-"	2425031	2425813	783	"M-P2h"	1468	134.443348650785	0	0	0	1	-Inf	"SD"	12	42.8571428571429
"ECK120000069"	"aroA"	"+"	958035	959318	1284	"M-P2h"	1942	108.45741008148	33	362	85.6353591160221	1	-4.12871659918577	"SD"	6	13.0434782608696
"ECK120000070"	"aroB"	"-"	3515420	3516508	1089	"M-P2h"	868	57.1566640209466	0	0	0	1	-Inf	"SD"	14	35.8974358974359
"ECK120000071"	"aroC"	"-"	2444410	2445495	1086	"M-P2h"	823	54.3431786401513	0	0	0	1	-Inf	"SD"	7	17.9487179487179
"ECK120000072"	"aroD"	"+"	1772710	1773468	759	"M-P2h"	294	27.7766957689453	0	0	0	1	-Inf	"SD"	3	11.1111111111111
"ECK120000073"	"aroE"	"-"	3428042	3428860	819	"M-P2h"	464	40.6264716766094	2	78	0	1	-Inf	"SD"	6	20.6896551724138
"ECK120000076"	"aroH"	"+"	1786459	1787505	1047	"M-P2h"	621	42.5324055352153	18	227	39.647577092511	1	-4.56249364112312	"SD"	2	5.12820512820513
"ECK120000077"	"aroK"	"-"	3516565	3517086	522	"M-P2h"	1774	243.701465095191	0	0	0	1	-Inf	"SD"	12	60
"ECK120000078"	"aroL"	"+"	405629	406153	525	"M-P2h"	105	14.3418449582514	121	969	124.871001031992	1	0.754776420886195	"AD"	4	21.0526315789474
"ECK120000079"	"aroM"	"+"	406652	407329	678	"M-P2h"	64	6.76901236967615	0	0	0	1	-Inf	"SD"	NA	NA
"ECK120000088"	"asnB"	"-"	696736	698400	1665	"M-P2h"	1546	66.5840609773471	6	217	0	1	-Inf	"SD"	22	34.9206349206349
"ECK120000090"	"asnS"	"-"	986808	988208	1401	"M-P2h"	2141	109.585617614619	55	815	58.8957055214724	1	-3.5128802505093	"SD"	39	73.5849056603774
"ECK120000094"	"atpA"	"-"	3916339	3917880	1542	"M-P2h"	3503	162.90364101412	15	213	46.9483568075117	1	-6.34787503927543	"SD"	74	134.545454545455
"ECK120000095"	"atpB"	"-"	3919259	3920074	816	"M-P2h"	2239	196.760973416206	64	822	77.8588807785888	1	-3.94222838215686	"SD"	NA	NA
"ECK120000096"	"atpC"	"-"	3913576	3913995	420	"M-P2h"	679	115.929913412532	0	0	0	1	-Inf	"SD"	4	26.6666666666667
"ECK120000097"	"atpD"	"-"	3914016	3915398	1383	"M-P2h"	3476	180.232296004634	10	79	0	1	-Inf	"SD"	118	236
"ECK120000098"	"atpE"	"-"	3918973	3919212	240	"M-P2h"	2402	717.689824785828	1	100	0	1	-Inf	"SD"	NA	NA
"ECK120000099"	"atpF"	"-"	3918441	3918911	471	"M-P2h"	1854	282.269432617813	0	0	0	1	-Inf	"SD"	16	94.1176470588235
"ECK120000100"	"atpG"	"-"	3915425	3916288	864	"M-P2h"	2155	178.858078038378	1	46	0	1	-Inf	"SD"	18	56.25
"ECK120000101"	"atpH"	"-"	3917893	3918426	534	"M-P2h"	1356	182.09308767218	0	0	0	1	-Inf	"SD"	9	47.3684210526316
